# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
27250000 8.08396 2.48801
27251000 8.11813 -2.89016
27252000 8.16406 -3.00974
27253000 8.19007 -3.00339
27254000 8.12847 -3.09749
27255000 8.0898 -2.85451
27256000 8.09489 -2.94912
27257000 8.10951 -2.99285
27258000 8.0492 -2.73969
27259000 8.08428 -3.02834
27260000 7.94095 -2.63629
27261000 8.11994 -3.0033
27262000 8.18702 -3.10897
27263000 8.08201 -2.93945
27264000 8.05137 -2.67941
27265000 7.99911 -2.52406
27266000 8.0836 -2.94894
27267000 8.12695 -2.90397
27268000 8.19085 -3.21128
27269000 8.21578 -2.84991
27270000 8.17453 -3.17528
27271000 8.13127 -2.89465
27272000 8.05252 -2.85666
27273000 8.05641 -2.78141
27274000 8.22167 -2.7114
27275000 8.10647 -2.96164
27276000 8.17653 -3.01317
27277000 8.17035 -3.01729
27278000 8.20931 -3.04561
27279000 8.24925 -3.16438
27280000 8.127 -2.99962
27281000 8.13806 -3.01494
27282000 8.13811 -3.12412
27283000 8.07112 -2.86853
27284000 8.02787 -2.9002
27285000 8.13646 -2.98379
27286000 8.03898 -2.92375
27287000 8.14731 -2.91226
27288000 8.21669 -3.03363
27289000 8.17082 -2.75625
27290000 8.13389 -3.06371
27291000 8.22069 -3.17067
27292000 8.02115 -2.78416
27293000 8.12999 -3.11728
27294000 7.99054 -2.76876
27295000 8.11245 -3.09774
27296000 8.13831 -3.03223
27297000 8.10523 -3.02883
27298000 8.0389 -2.79749
27299000 8.13405 -3.11291
27300000 8.08358 -3.15119
27301000 8.18095 -3.27608
27302000 8.04312 -2.72689
27303000 8.06927 -2.84336
27304000 8.03036 -2.86917
27305000 8.06874 -2.95508
27306000 8.08018 -3.04868
27307000 8.0205 -2.63564
27308000 8.06794 -2.72559
27309000 8.16174 -2.99389
27310000 8.10877 -2.93967
27311000 8.11689 -2.99022
27312000 8.06751 -2.97
27313000 8.05449 -2.79172
27314000 8.17994 -2.99086
27315000 8.16196 -3.07351
27316000 8.15986 -2.80896
27317000 8.11724 -3.04371
27318000 8.04158 -2.80337
27319000 8.17935 -3.18262
27320000 8.07408 -3.08176
27321000 8.11039 -3.05935
27322000 8.14199 -2.87445
27323000 8.07563 -2.80198
27324000 8.12467 -2.93908
27325000 8.13306 -2.91064
27326000 8.18489 -3.02103
27327000 7.95047 -2.5185
27328000 8.15988 -2.87825
27329000 8.2165 -3.14515
27330000 8.21014 -3.06327
27331000 8.01972 -2.92826
27332000 8.02621 -2.93865
27333000 8.12387 -2.99892
27334000 8.19339 -2.96167
27335000 8.08114 -2.86323
27336000 8.04463 -3.04453
27337000 8.1039 -3.03877
27338000 8.21981 -3.22904
27339000 8.20991 -3.01136
27340000 8.21951 -3.05563
27341000 8.12441 -2.80997
27342000 8.01203 -2.68594
27343000 8.08012 -3.00558
27344000 8.07645 -3.14049
27345000 7.98796 -2.67587
27346000 8.0353 -2.78102
27347000 8.0743 -2.95391
27348000 8.17436 -2.97933
27349000 8.1236 -2.79097
27350000 8.2833 -3.31137
27351000 8.17674 -2.92286
27352000 8.2355 -2.87459
27353000 8.20941 -3.01126
27354000 8.09668 -2.79849
27355000 8.21409 -2.88978
27356000 8.19146 -3.09192
27357000 8.15294 -3.18821
27358000 8.12252 -3.06867
27359000 8.15071 -3.01606
27360000 8.1951 -3.08242
27361000 8.23513 -3.1926
27362000 8.18328 -2.93998
27363000 8.19402 -2.98678
27364000 8.18552 -3.0605
27365000 8.24559 -3.12678
27366000 8.1215 -2.9861
27367000 8.10293 -2.99183
27368000 8.0933 -3.0221
27369000 8.03758 -2.95004
27370000 8.02018 -2.77451
27371000 8.17727 -3.044
27372000 8.33029 -3.10512
27373000 8.14096 -3.12295
27374000 8.19834 -3.04175
27375000 8.13144 -2.54966
27376000 8.19499 -2.91653
27377000 8.14092 -2.74948
27378000 8.01964 -2.84941
27379000 8.20953 -2.97889
27380000 8.21786 -3.31434
27381000 8.17806 -3.10413
27382000 8.27499 -3.25555
27383000 8.14236 -3.07066
27384000 8.16471 -3.14916
27385000 8.04105 -3.13151
27386000 8.16283 -3.09715
27387000 8.20528 -2.86767
27388000 8.13853 -2.98545
27389000 8.10473 -3.09289
27390000 8.24438 -3.20786
27391000 8.13362 -2.81314
27392000 8.10662 -2.97873
27393000 7.99881 -2.79316
27394000 8.01436 -2.68604
27395000 8.13589 -2.92971
27396000 8.14956 -2.93533
27397000 8.09003 -2.76715
27398000 7.99668 -2.73038
27399000 8.21639 -2.82099
27400000 8.12654 -3.13488
27401000 8.02109 -2.82382
27402000 8.08627 -3.02981
27403000 8.04139 -2.72949
27404000 8.0822 -2.91947
27405000 8.05456 -3.08879
27406000 8.07661 -2.91882
27407000 8.10202 -2.86645
27408000 8.18524 -2.98602
27409000 8.14606 -2.97442
27410000 8.09938 -2.91354
27411000 8.09706 -3.06461
27412000 8.20365 -2.73526
27413000 8.02598 -2.73799
27414000 8.1127 -3.06013
27415000 8.24704 -3.10884
27416000 8.06439 -2.53885
27417000 8.14772 -3.08765
27418000 8.25043 -3.0768
27419000 8.15037 -2.96295
27420000 8.16078 -3.06433
27421000 8.08654 -2.91885
27422000 8.12885 -3.0658
27423000 8.07711 -3.02441
27424000 8.08995 -3.13383
27425000 8.06296 -2.91298
27426000 8.08658 -2.97349
27427000 8.21704 -2.91879
27428000 8.16751 -2.92597
27429000 8.10562 -2.9025
27430000 8.05257 -2.72389
27431000 8.13409 -2.83268
27432000 8.16712 -2.86467
27433000 8.22126 -3.08509
27434000 8.18606 -3.03188
27435000 8.08458 -2.68646
27436000 8.09788 -2.90956
27437000 8.16036 -3.10525
27438000 8.01994 -2.74065
27439000 8.20578 -3.09499
27440000 8.09148 -2.66722
27441000 8.06825 -2.78617
27442000 8.13531 -2.8255
27443000 8.08483 -2.84547
27444000 8.04996 -2.7304
27445000 8.13023 -2.87746
27446000 8.18955 -3.15723
27447000 8.06613 -2.99752
27448000 8.17726 -3.04085
27449000 8.10418 -2.80542
27450000 8.09496 -2.70585
27451000 8.10731 -3.01261
27452000 8.1552 -2.93289
27453000 8.03019 -2.85857
27454000 8.11132 -3.17833
27455000 8.08965 -2.92221
27456000 8.09002 -2.90577
27457000 8.02528 -2.86223
27458000 8.0672 -2.75094
27459000 8.01746 -2.81285
27460000 8.05398 -2.80365
27461000 8.07348 -3.00707
27462000 8.12955 -3.08942
27463000 8.12403 -3.08089
27464000 8.03141 -2.98397
27465000 8.02169 -2.88981
27466000 8.08747 -3.0739
27467000 8.00672 -2.85076
27468000 8.09111 -2.77221
27469000 8.10093 -2.77877
27470000 8.04648 -2.75327
27471000 8.16767 -2.97525
27472000 8.14094 -2.96344
27473000 8.20145 -3.07764
27474000 8.07168 -2.78174
27475000 8.11644 -2.90612
27476000 8.23222 -3.08882
27477000 8.1154 -2.84134
27478000 8.00214 -2.67714
27479000 8.16957 -3.09607
27480000 8.04349 -2.8754
27481000 8.08493 -2.84164
27482000 8.1178 -2.84982
27483000 8.06776 -2.77587
27484000 8.218 -2.92894
27485000 8.09498 -3.16984
27486000 8.21829 -3.02299
27487000 8.16743 -2.91286
27488000 8.05461 -2.86144
27489000 7.9935 -2.86277
27490000 8.17058 -2.86086
27491000 8.00927 -2.94778
27492000 8.01584 -2.85039
27493000 8.11971 -2.91925
27494000 8.04132 -2.85252
27495000 8.06063 -2.93959
27496000 8.07695 -2.99615
27497000 8.13984 -2.83776
27498000 8.15527 -2.88679
27499000 8.1781 -2.66723
27500000 8.16805 -2.9068
