# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
3000000 9.09504 1.54891
3001000 9.06814 -3.53585
3002000 9.10446 -3.72562
3003000 9.0578 -3.45867
3004000 9.01789 -3.74938
3005000 8.95491 -3.52375
3006000 8.97953 -3.47319
3007000 8.96497 -3.51204
3008000 9.0167 -3.67627
3009000 8.93751 -3.60875
3010000 8.89824 -3.55929
3011000 9.01637 -3.5419
3012000 8.94375 -3.44136
3013000 9.11509 -3.57189
3014000 9.09584 -3.58019
3015000 9.24239 -3.57614
3016000 9.01838 -3.37498
3017000 9.04786 -3.59041
3018000 9.18343 -3.64918
3019000 8.803 -3.41458
3020000 8.71218 -3.6893
3021000 8.90553 -3.56278
3022000 8.83679 -3.54898
3023000 8.74515 -3.49217
3024000 8.93442 -3.61894
3025000 8.8198 -3.56915
3026000 8.81724 -3.44827
3027000 8.77257 -3.42562
3028000 8.7789 -3.48837
3029000 8.74507 -3.44804
3030000 8.79522 -3.252
3031000 9.00533 -3.58269
3032000 8.98481 -3.54976
3033000 8.90851 -3.45202
3034000 8.82929 -3.59839
3035000 9.00904 -3.74267
3036000 8.93643 -3.77086
3037000 8.81404 -3.42112
3038000 8.83426 -3.57262
3039000 8.80072 -3.51666
3040000 8.96593 -3.72858
3041000 8.768 -3.38852
3042000 9.09722 -3.70239
3043000 9.0443 -3.35706
3044000 8.88488 -3.37315
3045000 8.85864 -3.63739
3046000 8.88634 -3.39862
3047000 8.89018 -3.73561
3048000 8.78147 -3.28771
3049000 8.92621 -3.35729
3050000 8.89646 -3.37806
3051000 8.99796 -3.55708
3052000 8.90638 -3.62699
3053000 8.82961 -3.35388
3054000 8.75094 -3.222
3055000 8.83721 -3.40344
3056000 9.01885 -3.54221
3057000 8.93294 -3.38603
3058000 8.91784 -3.61458
3059000 9.05325 -3.70742
3060000 8.94545 -3.62731
3061000 9.03851 -3.70391
3062000 8.92516 -3.54857
3063000 8.7484 -3.33323
3064000 8.885 -3.61618
3065000 8.95072 -3.76683
3066000 8.96453 -3.5857
3067000 8.83161 -3.58017
3068000 8.88305 -3.52455
3069000 8.79681 -3.6274
3070000 8.90928 -3.44328
3071000 8.83034 -3.5258
3072000 9.02448 -3.58553
3073000 9.0078 -3.61577
3074000 8.7633 -3.3974
3075000 8.89091 -3.59993
3076000 8.80404 -3.65824
3077000 8.81237 -3.46462
3078000 8.9094 -3.3365
3079000 8.92043 -3.45559
3080000 8.89038 -3.62518
3081000 8.92264 -3.66524
3082000 8.86102 -3.53764
3083000 9.10423 -3.90496
3084000 9.07281 -3.4784
3085000 8.82943 -3.58265
3086000 8.98962 -3.52619
3087000 8.9307 -3.59114
3088000 8.92183 -3.58005
3089000 8.81689 -3.64259
3090000 8.81427 -3.39747
3091000 8.8797 -3.75688
3092000 8.70779 -3.49454
3093000 8.88263 -3.52686
3094000 8.80872 -3.15075
3095000 8.83658 -3.66354
3096000 8.98066 -3.56647
3097000 9.11622 -3.64558
3098000 9.07606 -3.64099
3099000 9.03999 -3.55272
3100000 8.98099 -3.63802
3101000 8.97368 -3.54574
3102000 9.11072 -3.59094
3103000 9.04939 -3.59028
3104000 8.90789 -3.34414
3105000 9.02347 -3.52858
3106000 8.88413 -3.55073
3107000 8.91216 -3.46464
3108000 9.03312 -3.58724
3109000 9.20337 -3.77886
3110000 9.13745 -3.76336
3111000 9.09824 -3.58418
3112000 9.07533 -3.80663
3113000 8.94687 -3.61601
3114000 9.02804 -3.5081
3115000 8.95209 -3.46885
3116000 8.9215 -3.50289
3117000 8.84396 -3.55422
3118000 8.82398 -3.51722
3119000 8.92522 -3.59779
3120000 8.96838 -3.71957
3121000 8.72028 -3.46383
3122000 8.9074 -3.64616
3123000 8.93787 -3.76634
3124000 8.92438 -3.57978
3125000 9.02155 -3.76898
3126000 8.99871 -3.60211
3127000 8.98117 -3.37504
3128000 9.04576 -3.33147
3129000 9.00023 -3.48179
3130000 9.17554 -3.73906
3131000 9.04282 -3.67375
3132000 8.87783 -3.60399
3133000 9.14417 -3.87317
3134000 8.88631 -3.52915
3135000 8.83135 -3.56268
3136000 8.83849 -3.47233
3137000 9.00349 -3.72023
3138000 8.85744 -3.57944
3139000 8.83197 -3.64838
