# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
16000000 8.9076 1.50616
16001000 8.8574 -4.50395
16002000 8.88429 -4.48403
16003000 8.91934 -4.51971
16004000 8.90669 -4.45742
16005000 8.78895 -4.46957
16006000 8.88313 -4.33135
16007000 8.86179 -4.24243
16008000 8.86445 -4.18257
16009000 8.9464 -4.36785
16010000 8.97035 -4.43594
16011000 8.93221 -4.54906
16012000 8.88144 -4.36236
16013000 8.98402 -4.36308
16014000 8.87062 -4.37902
16015000 8.9902 -4.39169
16016000 8.92823 -4.51127
16017000 8.89668 -4.44306
16018000 8.87479 -4.36921
16019000 8.82585 -4.3377
16020000 8.91684 -4.44604
16021000 8.90173 -4.56451
16022000 8.82648 -4.37957
16023000 8.90674 -4.34576
16024000 8.80465 -4.08471
16025000 8.85636 -4.30544
16026000 8.93151 -4.50442
16027000 8.84621 -4.2106
16028000 8.91397 -4.44241
16029000 8.85378 -4.35731
16030000 8.9873 -4.60058
16031000 8.9216 -4.41013
16032000 8.85685 -4.42025
16033000 8.87485 -4.38873
16034000 8.88569 -4.32217
16035000 8.93668 -4.46449
16036000 8.87317 -4.485
16037000 8.82834 -4.45179
16038000 8.85792 -4.30792
16039000 8.92497 -4.54155
16040000 8.79013 -4.34333
16041000 8.91629 -4.51035
16042000 8.82228 -4.2291
16043000 8.92729 -4.44516
16044000 8.96916 -4.6429
16045000 8.9124 -4.51274
16046000 8.82395 -4.36582
16047000 8.85732 -4.40963
16048000 8.89309 -4.38452
16049000 8.90284 -4.47481
16050000 8.95852 -4.56343
16051000 8.87698 -4.31957
16052000 8.99696 -4.38208
16053000 8.91145 -4.59755
16054000 8.85881 -4.47588
16055000 8.84335 -4.34903
16056000 8.9448 -4.1619
16057000 8.76447 -4.20091
16058000 8.91643 -4.43404
16059000 8.77883 -4.23
16060000 9.02682 -4.42116
16061000 8.82234 -4.35957
16062000 8.9523 -4.44061
16063000 8.88904 -4.26468
16064000 8.80731 -4.26226
16065000 8.90132 -4.55333
16066000 8.90809 -4.21841
16067000 8.88422 -4.42653
16068000 8.86611 -4.2942
16069000 8.75847 -4.18921
16070000 8.95887 -4.5052
16071000 8.81926 -4.27429
16072000 8.91435 -4.35594
16073000 8.8927 -4.55197
16074000 8.75911 -4.10068
16075000 9.00189 -4.46537
16076000 8.93716 -4.4929
16077000 8.93355 -4.68264
16078000 8.83425 -4.31819
16079000 8.93806 -4.35612
16080000 8.90319 -4.24098
16081000 8.88616 -4.48759
16082000 8.87797 -4.62304
16083000 8.88919 -4.31111
16084000 8.89123 -4.37121
16085000 8.93645 -4.43129
16086000 8.74596 -4.33961
16087000 8.98321 -4.58674
16088000 8.9478 -4.43222
16089000 8.89373 -4.41676
16090000 8.94063 -4.41333
16091000 8.90729 -4.58061
16092000 8.85639 -4.36511
16093000 8.85388 -4.4587
16094000 8.80374 -4.36065
16095000 8.82287 -4.2562
16096000 8.90202 -4.37935
16097000 8.76007 -4.2256
16098000 8.88923 -4.45744
16099000 8.85453 -4.46548
16100000 8.95962 -4.54208
16101000 8.8549 -4.34409
16102000 8.89731 -4.3389
16103000 8.88166 -4.39403
16104000 8.86847 -4.35432
16105000 8.91829 -4.40759
16106000 8.86144 -4.47833
16107000 9.00066 -4.66086
16108000 8.87989 -4.31989
16109000 8.88529 -4.42771
16110000 8.91894 -4.48156
16111000 8.86859 -4.38171
16112000 8.9329 -4.58976
16113000 8.88732 -4.5405
16114000 8.97516 -4.59006
16115000 8.86877 -4.32865
16116000 8.93687 -4.47574
16117000 8.94994 -4.60209
16118000 8.92172 -4.63518
16119000 8.90045 -4.63012
16120000 8.90162 -4.39202
16121000 8.86153 -4.45683
16122000 8.98776 -4.61246
16123000 8.80051 -4.29658
16124000 8.8659 -4.39819
16125000 8.99753 -4.48362
16126000 8.86902 -4.48835
16127000 8.84138 -4.3748
16128000 8.95897 -4.39293
16129000 8.95231 -4.61894
16130000 8.76563 -4.27955
16131000 8.94537 -4.59466
16132000 8.84626 -4.3958
16133000 8.93687 -4.45402
16134000 8.98115 -4.4952
16135000 8.88596 -4.35967
16136000 8.9259 -4.49621
16137000 8.86604 -4.41536
16138000 8.89591 -4.37747
16139000 8.85799 -4.47357
16140000 8.84817 -4.45448
16141000 8.86843 -4.31387
16142000 8.96788 -4.61349
16143000 8.82464 -4.45078
16144000 8.98485 -4.56528
16145000 8.84522 -4.24392
16146000 8.93355 -4.55846
16147000 8.82541 -4.43566
16148000 8.85445 -4.43264
16149000 8.95942 -4.64123
16150000 8.76632 -4.22639
16151000 8.92091 -4.40242
16152000 8.8535 -4.25913
16153000 8.99229 -4.46689
16154000 8.8462 -4.25122
16155000 8.90968 -4.55692
16156000 8.8849 -4.55365
16157000 8.87099 -4.54888
16158000 8.80417 -4.2025
16159000 8.96739 -4.49679
16160000 8.8732 -4.44427
16161000 8.87825 -4.47704
16162000 8.90608 -4.49266
16163000 9.05035 -4.58334
16164000 8.89194 -4.36036
16165000 8.80889 -4.35587
16166000 8.8921 -4.36931
16167000 8.92656 -4.44564
16168000 8.89509 -4.27425
16169000 8.88133 -4.37111
16170000 8.8983 -4.50024
16171000 8.87903 -4.46149
16172000 8.98419 -4.57722
16173000 8.88734 -4.53688
16174000 8.85605 -4.39806
16175000 8.86602 -4.27765
16176000 8.84838 -4.32512
16177000 8.87382 -4.48902
16178000 8.89066 -4.49071
16179000 8.88615 -4.39751
16180000 8.85595 -4.27556
16181000 8.84267 -4.3881
16182000 8.82619 -4.41437
16183000 8.94361 -4.48799
16184000 8.8897 -4.46553
16185000 8.92127 -4.33635
16186000 8.86144 -4.24424
16187000 8.90366 -4.44114
16188000 8.94785 -4.5094
16189000 8.92759 -4.5123
16190000 8.933 -4.47407
16191000 8.8656 -4.44168
16192000 9.04072 -4.5271
16193000 8.87383 -4.32949
16194000 8.87847 -4.44557
16195000 8.91075 -4.41933
16196000 8.81444 -4.39159
16197000 8.82561 -4.37159
16198000 8.89404 -4.42445
16199000 9.00037 -4.48546
16200000 8.84159 -4.29392
16201000 8.97957 -4.56238
16202000 8.8602 -4.51355
16203000 8.93146 -4.47435
16204000 8.83624 -4.46755
16205000 8.94111 -4.36372
16206000 8.90684 -4.49941
16207000 8.91812 -4.49551
16208000 8.90441 -4.55108
16209000 8.9852 -4.58924
16210000 8.82399 -4.29505
16211000 8.8614 -4.35708
16212000 9.00763 -4.52301
16213000 8.77002 -4.24263
16214000 8.95133 -4.52958
16215000 8.86487 -4.57328
16216000 8.86497 -4.26058
16217000 8.86864 -4.35686
16218000 8.96348 -4.46515
16219000 8.82894 -4.29964
16220000 8.85462 -4.45892
16221000 9.00228 -4.55005
16222000 8.86792 -4.33103
16223000 8.86403 -4.54661
16224000 8.86739 -4.34167
16225000 8.87911 -4.48674
16226000 8.91154 -4.40711
16227000 8.95625 -4.51767
16228000 8.87227 -4.3679
16229000 8.82218 -4.33177
16230000 8.93817 -4.48386
16231000 8.79491 -4.15782
16232000 8.86549 -4.36904
16233000 8.94074 -4.58325
16234000 8.79537 -4.2613
16235000 8.97526 -4.35675
16236000 8.85574 -4.41386
16237000 8.87215 -4.53398
16238000 8.93263 -4.56933
16239000 8.8962 -4.41163
16240000 8.86941 -4.39519
16241000 8.889 -4.46003
16242000 8.92079 -4.45984
16243000 8.93317 -4.53869
16244000 8.85682 -4.48524
16245000 8.93828 -4.38665
16246000 8.94437 -4.47949
16247000 8.84484 -4.36832
16248000 8.95597 -4.48292
16249000 8.85171 -4.50876
16250000 8.99833 -4.39909
