# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
19250000 8.88291 1.35828
19251000 8.88391 -4.58216
19252000 8.82746 -4.56883
19253000 8.89798 -4.58613
19254000 8.7769 -4.5721
19255000 8.96485 -4.74819
19256000 9.0267 -4.92938
19257000 8.87147 -4.63338
19258000 8.94973 -4.75613
19259000 8.97321 -4.61235
19260000 8.93318 -4.72219
19261000 8.95233 -4.78879
19262000 8.87503 -4.61218
19263000 9.04706 -4.68573
19264000 8.85198 -4.44201
19265000 8.8154 -4.51845
19266000 8.97302 -4.74435
19267000 8.89125 -4.70037
19268000 8.77369 -4.45114
19269000 8.95882 -4.75704
19270000 8.88687 -4.41974
19271000 8.90997 -4.74269
19272000 8.92468 -4.6261
19273000 8.96488 -4.78913
19274000 8.9465 -4.56036
19275000 8.93142 -4.6822
19276000 8.86492 -4.4844
19277000 8.96692 -4.55185
19278000 8.86236 -4.59883
19279000 8.90242 -4.64558
19280000 8.93581 -4.57094
19281000 8.92461 -4.55512
19282000 8.8182 -4.46919
19283000 8.92401 -4.70025
19284000 8.86529 -4.6178
19285000 8.87744 -4.72111
19286000 8.92751 -4.69664
19287000 8.84384 -4.65026
19288000 8.95897 -4.66509
19289000 8.90949 -4.801
19290000 8.83835 -4.65212
19291000 8.90107 -4.66934
19292000 8.83129 -4.66883
19293000 9.03504 -4.69935
19294000 8.89807 -4.65861
19295000 8.90491 -4.77673
19296000 8.89811 -4.79325
19297000 8.89055 -4.49849
19298000 8.89232 -4.67408
19299000 8.88171 -4.50212
19300000 8.88452 -4.55248
19301000 8.98917 -4.76863
19302000 8.83594 -4.54727
19303000 8.96198 -4.78712
19304000 8.95889 -4.68744
19305000 8.89629 -4.58696
19306000 8.93932 -4.54632
19307000 8.85639 -4.58171
19308000 8.83788 -4.63132
19309000 8.98508 -4.74169
19310000 8.8544 -4.62009
19311000 8.8902 -4.47395
19312000 8.92717 -4.57122
19313000 8.87769 -4.48629
19314000 8.9097 -4.66877
19315000 8.92198 -4.75587
19316000 8.92699 -4.69872
19317000 8.81116 -4.4727
19318000 9.02475 -4.76704
19319000 8.8774 -4.64016
19320000 8.89516 -4.70501
19321000 8.92457 -4.62588
19322000 8.89304 -4.58089
19323000 8.8722 -4.69922
19324000 8.92469 -4.75505
19325000 8.88452 -4.75592
19326000 8.9163 -4.73025
19327000 8.93661 -4.76384
19328000 8.91042 -4.69681
19329000 8.87994 -4.51682
19330000 8.9075 -4.50162
19331000 8.91425 -4.80612
19332000 8.94285 -4.71525
19333000 8.92829 -4.67013
19334000 8.86277 -4.5461
19335000 8.89619 -4.71484
19336000 8.97095 -4.81753
19337000 8.86328 -4.46231
19338000 8.91696 -4.74589
19339000 8.84007 -4.56718
19340000 8.97686 -4.7746
19341000 8.84765 -4.58909
19342000 8.89967 -4.62014
19343000 8.96268 -4.68955
19344000 8.76657 -4.54388
19345000 8.92132 -4.64257
19346000 8.89948 -4.69329
19347000 8.90644 -4.67256
19348000 8.87951 -4.65435
19349000 8.85116 -4.58484
19350000 8.86661 -4.59722
19351000 8.90568 -4.72772
19352000 8.82809 -4.51498
19353000 8.88434 -4.55632
19354000 8.89485 -4.57247
19355000 8.9226 -4.63241
19356000 8.83781 -4.6809
19357000 8.97604 -4.67333
19358000 8.9637 -4.73213
19359000 8.85724 -4.53519
19360000 8.96613 -4.73781
19361000 8.89024 -4.63302
19362000 8.93211 -4.73355
19363000 8.86407 -4.5081
19364000 8.81817 -4.53872
19365000 8.95771 -4.68207
19366000 8.96701 -4.73373
19367000 8.83383 -4.59169
19368000 8.85377 -4.64578
19369000 8.97408 -4.62204
19370000 8.83808 -4.61843
19371000 8.90272 -4.56328
19372000 8.82732 -4.53142
19373000 8.97492 -4.66742
19374000 8.85577 -4.561
19375000 8.89897 -4.54558
19376000 8.93191 -4.76854
19377000 8.83195 -4.43616
19378000 9.00486 -4.75084
19379000 8.8499 -4.58039
19380000 8.98135 -4.91007
19381000 8.86703 -4.72285
19382000 8.85158 -4.64679
19383000 8.91562 -4.70195
19384000 8.96952 -4.62223
19385000 8.85782 -4.63366
19386000 8.93323 -4.69758
19387000 8.87291 -4.66742
19388000 8.92272 -4.62182
19389000 8.8736 -4.5067
19390000 8.94157 -4.71716
19391000 8.95909 -4.789
19392000 8.88165 -4.73336
19393000 8.93567 -4.79864
19394000 8.91244 -4.523
19395000 8.88655 -4.7529
19396000 8.93994 -4.82313
19397000 8.86807 -4.77447
19398000 8.86628 -4.78149
19399000 8.85427 -4.59378
19400000 8.84365 -4.68461
19401000 8.83636 -4.5649
19402000 8.86225 -4.62483
19403000 8.91101 -4.58023
19404000 8.84407 -4.49891
19405000 8.92916 -4.73002
19406000 8.90303 -4.63331
19407000 8.9994 -4.77039
19408000 8.83287 -4.6071
19409000 8.86982 -4.75797
19410000 8.98399 -4.82861
19411000 8.99977 -4.83323
19412000 9.00525 -4.77526
19413000 8.88122 -4.63927
19414000 9.16212 -4.9953
19415000 8.81747 -4.69735
19416000 8.86448 -4.59064
19417000 8.88477 -4.65275
19418000 8.99099 -4.59536
19419000 8.8591 -4.6428
19420000 8.88826 -4.76982
19421000 8.99407 -4.90383
19422000 8.86476 -4.67782
19423000 8.90809 -4.75587
19424000 8.92201 -4.71802
19425000 8.90278 -4.60694
19426000 8.85013 -4.65195
19427000 8.94628 -4.84225
19428000 8.84084 -4.55651
19429000 8.96539 -4.87092
19430000 8.89928 -4.68919
19431000 8.93074 -4.65626
19432000 9.03349 -4.9244
19433000 8.9186 -4.75936
19434000 8.923 -4.74747
19435000 8.88721 -4.42164
19436000 8.82502 -4.52464
19437000 8.89671 -4.73134
19438000 8.9126 -4.70117
19439000 8.86972 -4.73874
19440000 8.90354 -4.58509
19441000 8.83434 -4.55407
19442000 8.92204 -4.73307
19443000 8.9477 -4.64462
19444000 8.86932 -4.70718
19445000 8.91906 -4.69418
19446000 8.91752 -4.6923
19447000 9.02501 -4.874
19448000 8.88408 -4.59143
19449000 8.8489 -4.52026
19450000 8.89233 -4.70113
19451000 8.85399 -4.56726
19452000 8.93166 -4.61174
19453000 8.82943 -4.62007
19454000 9.04442 -4.87926
19455000 8.8234 -4.55226
19456000 8.84313 -4.58198
19457000 8.90484 -4.73136
19458000 8.86432 -4.45883
19459000 8.82938 -4.49095
19460000 8.84769 -4.45322
19461000 8.94962 -4.56128
19462000 8.98659 -4.80258
19463000 8.93639 -4.79028
19464000 8.92932 -4.78556
19465000 8.89337 -4.68376
19466000 8.9389 -4.91375
19467000 8.87667 -4.72823
19468000 8.94518 -4.67445
19469000 8.8887 -4.51981
19470000 8.96766 -4.88553
19471000 8.87277 -4.60633
19472000 8.8824 -4.58798
19473000 8.9109 -4.59056
19474000 8.91295 -4.72692
19475000 8.84092 -4.72114
19476000 9.01169 -4.76931
19477000 8.92969 -4.63147
19478000 8.87564 -4.59092
19479000 8.92131 -4.70467
19480000 8.90289 -4.63824
19481000 8.95031 -4.7879
19482000 8.84638 -4.59608
19483000 9.01823 -4.77686
19484000 8.91725 -4.74497
19485000 8.81169 -4.72851
19486000 8.89964 -4.64495
19487000 8.84406 -4.52028
19488000 8.90001 -4.7113
19489000 8.93736 -4.73768
19490000 8.88844 -4.52561
19491000 8.97588 -4.83999
19492000 8.83821 -4.555
19493000 8.95922 -4.83934
19494000 8.87444 -4.63662
19495000 8.97893 -4.68986
19496000 8.86627 -4.72598
19497000 8.89078 -4.64742
19498000 8.99749 -4.83769
19499000 8.86211 -4.6268
19500000 8.95787 -4.71112
