# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
19250000 10.8595 1.25011
19251000 10.8362 -4.61044
19252000 10.7776 -4.53472
19253000 10.7822 -4.46494
19254000 10.9238 -4.79458
19255000 10.8493 -4.52541
19256000 10.8279 -4.40617
19257000 10.8545 -4.46181
19258000 10.7664 -4.3425
19259000 10.8611 -4.40835
19260000 10.8722 -4.45466
19261000 10.8197 -4.30344
19262000 10.8998 -4.65595
19263000 10.8866 -4.61553
19264000 10.8102 -4.43616
19265000 10.8903 -4.61614
19266000 10.8748 -4.65065
19267000 10.8051 -4.44306
19268000 10.7474 -4.3616
19269000 10.7355 -4.35911
19270000 10.8457 -4.59824
19271000 10.8807 -4.73744
19272000 10.8248 -4.42157
19273000 10.7985 -4.35194
19274000 10.7956 -4.5067
19275000 10.8281 -4.50784
19276000 10.8288 -4.45704
19277000 10.8223 -4.49715
19278000 10.8778 -4.60944
19279000 10.7256 -4.47135
19280000 10.9404 -4.5911
19281000 10.9487 -4.52421
19282000 10.8196 -4.61817
19283000 10.8697 -4.52321
19284000 10.8871 -4.69765
19285000 10.7359 -4.38354
19286000 10.8507 -4.70709
19287000 10.8416 -4.45278
19288000 10.8907 -4.54817
19289000 10.979 -4.75653
19290000 10.8554 -4.70301
19291000 10.884 -4.52635
19292000 10.8746 -4.50408
19293000 10.9793 -4.66231
19294000 10.9635 -4.7441
19295000 10.7725 -4.56537
19296000 10.8482 -4.64591
19297000 10.8418 -4.57394
19298000 10.8841 -4.70165
19299000 10.7618 -4.3647
19300000 10.7616 -4.48918
19301000 10.8508 -4.63565
19302000 10.7349 -4.52639
19303000 10.8236 -4.5119
19304000 10.7807 -4.51724
19305000 10.7511 -4.55302
19306000 10.8002 -4.47857
19307000 10.6953 -4.29025
19308000 10.6771 -4.45908
19309000 10.8945 -4.7093
19310000 10.7433 -4.59879
19311000 10.757 -4.66135
19312000 10.8634 -4.5206
19313000 10.7726 -4.45785
19314000 10.7655 -4.56259
19315000 10.7483 -4.64501
19316000 10.7707 -4.51018
19317000 10.7218 -4.53774
19318000 10.7348 -4.43491
19319000 10.8064 -4.54974
19320000 10.8175 -4.65666
19321000 10.7179 -4.46099
19322000 10.7593 -4.38159
19323000 10.7565 -4.48287
19324000 10.7216 -4.44765
19325000 10.769 -4.54981
19326000 10.7799 -4.5551
19327000 10.7103 -4.39251
19328000 10.8046 -4.49755
19329000 10.8217 -4.47826
19330000 10.9015 -4.57905
19331000 10.7477 -4.54785
19332000 10.8916 -4.65579
19333000 10.7969 -4.46388
19334000 10.9299 -4.58852
19335000 10.8584 -4.70926
19336000 10.7398 -4.33154
19337000 10.8438 -4.59225
19338000 10.7928 -4.50745
19339000 10.8793 -4.69418
19340000 10.74 -4.53111
19341000 10.7922 -4.55393
19342000 10.7947 -4.56763
19343000 10.8801 -4.6523
19344000 10.7985 -4.43142
19345000 10.6979 -4.43503
19346000 10.7871 -4.42362
19347000 10.8715 -4.65467
19348000 10.7107 -4.47838
19349000 10.8704 -4.73643
19350000 10.8093 -4.5473
19351000 10.7327 -4.48823
19352000 10.751 -4.43296
19353000 10.8672 -4.59038
19354000 10.8291 -4.62502
19355000 10.7356 -4.45219
19356000 10.7529 -4.55505
19357000 10.7876 -4.61242
19358000 10.8042 -4.51585
19359000 10.8822 -4.6353
19360000 10.8265 -4.61612
19361000 10.7982 -4.58585
19362000 10.8288 -4.4696
19363000 10.7791 -4.57629
19364000 10.801 -4.35504
19365000 10.8229 -4.47355
19366000 10.7923 -4.55346
19367000 10.8869 -4.68562
19368000 10.6892 -4.53158
19369000 10.8408 -4.58109
19370000 10.7659 -4.50137
19371000 10.6966 -4.40531
19372000 10.8184 -4.55615
19373000 10.8094 -4.60893
19374000 10.8357 -4.56693
19375000 10.7619 -4.63563
19376000 10.7023 -4.52398
19377000 10.7567 -4.581
19378000 10.8142 -4.45456
19379000 10.8477 -4.60578
19380000 10.8161 -4.56881
19381000 10.9923 -4.88774
19382000 10.8989 -4.4706
19383000 10.8617 -4.79754
19384000 10.7855 -4.64919
19385000 10.8738 -4.81933
19386000 10.7495 -4.48828
19387000 10.7852 -4.50938
19388000 10.7453 -4.50475
19389000 10.8068 -4.59512
19390000 10.8398 -4.43393
19391000 10.7868 -4.52813
19392000 10.7695 -4.42829
19393000 10.7577 -4.49455
19394000 10.8369 -4.62551
19395000 10.8566 -4.55884
19396000 10.7708 -4.32926
19397000 10.8379 -4.66037
19398000 10.6158 -4.34167
19399000 10.791 -4.57585
19400000 10.7703 -4.52785
19401000 10.9123 -4.57076
19402000 10.932 -4.74567
19403000 10.7919 -4.59569
19404000 10.7461 -4.54971
19405000 10.8275 -4.49691
19406000 10.8087 -4.48893
19407000 10.8635 -4.78038
19408000 10.7465 -4.47717
19409000 10.8175 -4.50806
19410000 10.8025 -4.38419
19411000 10.7976 -4.60911
19412000 10.76 -4.43284
19413000 10.7949 -4.44739
19414000 10.8583 -4.56519
19415000 10.6953 -4.3184
19416000 10.79 -4.46827
19417000 10.7164 -4.47045
19418000 10.7685 -4.50628
19419000 10.8606 -4.63112
19420000 10.68 -4.3848
19421000 10.7574 -4.456
19422000 10.7137 -4.46244
19423000 10.8044 -4.63443
19424000 10.923 -4.61604
19425000 10.7372 -4.41121
19426000 10.7544 -4.48011
19427000 10.7206 -4.41033
19428000 10.7755 -4.50993
19429000 10.7593 -4.48483
19430000 10.8317 -4.77416
19431000 10.6502 -4.36392
19432000 10.7784 -4.54491
19433000 10.8748 -4.60579
19434000 10.8189 -4.64884
19435000 10.7639 -4.47754
19436000 10.8492 -4.56384
19437000 10.8632 -4.63431
19438000 10.8237 -4.53375
19439000 10.8514 -4.51487
19440000 10.8254 -4.60042
19441000 10.8095 -4.50519
19442000 10.7341 -4.44309
19443000 10.8699 -4.72942
19444000 10.6372 -4.35184
19445000 10.7912 -4.67908
19446000 10.7132 -4.54438
19447000 10.8388 -4.65707
19448000 10.753 -4.43911
19449000 10.8991 -4.5881
19450000 10.7964 -4.56731
19451000 10.8168 -4.45912
19452000 10.6436 -4.38994
19453000 10.8656 -4.70647
19454000 10.8219 -4.57536
19455000 10.8923 -4.62644
19456000 10.8253 -4.5982
19457000 10.9212 -4.77634
19458000 10.68 -4.40267
19459000 10.6998 -4.52171
19460000 10.7808 -4.41859
19461000 10.8518 -4.69952
19462000 10.8643 -4.5766
19463000 10.8015 -4.6494
19464000 10.8245 -4.5716
19465000 10.6452 -4.49972
19466000 10.8058 -4.58175
19467000 10.8243 -4.55153
19468000 10.8862 -4.5959
19469000 10.7204 -4.40973
19470000 10.7548 -4.47748
19471000 10.6767 -4.45011
19472000 10.6817 -4.45595
19473000 10.7522 -4.5166
19474000 10.8655 -4.65502
19475000 10.7316 -4.52569
19476000 10.8168 -4.62529
19477000 10.7915 -4.49512
19478000 10.6679 -4.29527
19479000 10.7399 -4.55726
19480000 10.8391 -4.49395
19481000 10.7364 -4.62073
19482000 10.72 -4.42435
19483000 10.7761 -4.5365
19484000 10.6953 -4.32497
19485000 10.7784 -4.52636
19486000 10.9185 -4.65814
19487000 10.791 -4.64626
19488000 10.7621 -4.49356
19489000 10.8031 -4.63495
19490000 10.779 -4.41125
19491000 10.7936 -4.60192
19492000 10.8083 -4.60811
19493000 10.6904 -4.3951
19494000 10.862 -4.58472
19495000 10.8921 -4.60042
19496000 10.8889 -4.72918
19497000 10.8413 -4.68267
19498000 10.8588 -4.58158
19499000 10.9132 -4.69256
19500000 10.7683 -4.46116
