# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
15250000 8.42081 2.53081
15251000 8.36929 -3.23678
15252000 8.43551 -3.5756
15253000 8.35492 -3.31125
15254000 8.36746 -3.59375
15255000 8.36716 -3.30549
15256000 8.36322 -3.1974
15257000 8.32173 -3.20163
15258000 8.42958 -3.43832
15259000 8.31331 -2.94331
15260000 8.39354 -3.32675
15261000 8.30484 -3.1874
15262000 8.36132 -3.32844
15263000 8.40809 -3.39935
15264000 8.4108 -3.49676
15265000 8.37088 -3.40872
15266000 8.35584 -3.42598
15267000 8.42623 -3.36899
15268000 8.38438 -3.38448
15269000 8.36562 -3.15956
15270000 8.38724 -3.56681
15271000 8.34706 -3.43729
15272000 8.31225 -3.13475
15273000 8.43558 -3.50564
15274000 8.3847 -3.36475
15275000 8.36398 -3.46537
15276000 8.37842 -3.40763
15277000 8.35702 -3.28138
15278000 8.35566 -3.36905
15279000 8.34439 -3.40463
15280000 8.41782 -3.34257
15281000 8.43233 -3.50784
15282000 8.36143 -3.25427
15283000 8.33508 -3.49858
15284000 8.29087 -3.17924
15285000 8.30721 -3.34089
15286000 8.3574 -3.31164
15287000 8.36749 -3.24822
15288000 8.40479 -3.34736
15289000 8.38307 -3.53636
15290000 8.37048 -3.1947
15291000 8.34669 -3.05721
15292000 8.2969 -3.15714
15293000 8.34571 -3.27339
15294000 8.39305 -3.52764
15295000 8.25961 -3.15574
15296000 8.41365 -3.40723
15297000 8.41728 -3.41972
15298000 8.40157 -3.5862
15299000 8.35099 -3.31253
15300000 8.27631 -3.03455
15301000 8.42636 -3.40044
15302000 8.31376 -3.24683
15303000 8.39529 -3.32798
15304000 8.36699 -3.1612
15305000 8.33888 -3.28067
15306000 8.43067 -3.37209
15307000 8.32764 -3.23306
15308000 8.33955 -3.25835
15309000 8.33462 -3.31379
15310000 8.35621 -3.27737
15311000 8.3354 -3.13606
15312000 8.46072 -3.56177
15313000 8.37789 -3.26318
15314000 8.35555 -3.21263
15315000 8.29859 -3.23112
15316000 8.31744 -3.31555
15317000 8.38241 -3.56129
15318000 8.33866 -3.29548
15319000 8.35542 -3.32928
15320000 8.42653 -3.34858
15321000 8.31777 -3.29316
15322000 8.42268 -3.52829
15323000 8.38558 -3.47548
15324000 8.33952 -3.46232
15325000 8.41369 -3.43855
15326000 8.40401 -3.27874
15327000 8.32134 -3.32841
15328000 8.37822 -3.29604
15329000 8.3286 -3.47126
15330000 8.45154 -3.51641
15331000 8.33765 -3.3764
15332000 8.3878 -3.45354
15333000 8.43323 -3.51302
15334000 8.44091 -3.54259
15335000 8.33062 -3.24891
15336000 8.41756 -3.45367
15337000 8.35372 -3.21224
15338000 8.45946 -3.5899
15339000 8.40572 -3.47451
15340000 8.38738 -3.4052
15341000 8.37023 -3.25606
15342000 8.40248 -3.52305
15343000 8.31812 -3.27977
15344000 8.3129 -3.10105
15345000 8.32955 -3.39786
15346000 8.38942 -3.28723
15347000 8.32596 -3.21419
15348000 8.43198 -3.48644
15349000 8.39405 -3.59385
15350000 8.42195 -3.4027
15351000 8.43989 -3.63304
15352000 8.35197 -3.33644
15353000 8.35286 -3.30943
15354000 8.38423 -3.37349
15355000 8.43455 -3.44858
15356000 8.44389 -3.5824
15357000 8.41473 -3.53604
15358000 8.33995 -3.19445
15359000 8.37158 -3.33714
15360000 8.50307 -3.56626
15361000 8.40179 -3.32578
15362000 8.35205 -3.40463
15363000 8.29965 -3.10679
15364000 8.44931 -3.53533
15365000 8.43529 -3.36417
15366000 8.31327 -3.36209
15367000 8.40106 -3.4991
15368000 8.37404 -3.41439
15369000 8.3456 -3.34324
15370000 8.36836 -3.4218
15371000 8.40621 -3.52777
15372000 8.41664 -3.4031
15373000 8.40026 -3.42738
15374000 8.34065 -3.15611
15375000 8.43273 -3.47188
15376000 8.32384 -3.47843
15377000 8.33437 -3.38276
15378000 8.37941 -3.32633
15379000 8.42277 -3.42988
15380000 8.32838 -3.32454
15381000 8.2542 -3.04421
15382000 8.34814 -3.42698
15383000 8.34601 -3.32641
15384000 8.35787 -3.36301
15385000 8.37246 -3.41925
