# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
4000000 8.56802 1.40713
4001000 8.5933 -5.05867
4002000 8.55713 -4.98089
4003000 8.54374 -4.94885
4004000 8.54107 -4.9484
4005000 8.5331 -4.90227
4006000 8.57271 -5.05534
4007000 8.59893 -5.09038
4008000 8.57562 -4.96162
4009000 8.55583 -4.88611
4010000 8.54324 -4.90315
4011000 8.55718 -4.86222
4012000 8.56952 -4.98937
4013000 8.56755 -4.99394
4014000 8.58648 -4.98946
4015000 8.52343 -4.85291
4016000 8.53316 -4.86727
4017000 8.52333 -4.83446
4018000 8.56325 -4.99495
4019000 8.54849 -5.02163
4020000 8.56227 -4.90427
4021000 8.58859 -4.94176
4022000 8.60658 -5.06695
4023000 8.59107 -5.03194
4024000 8.6009 -5.0814
4025000 8.62908 -5.10053
4026000 8.6139 -4.9829
4027000 8.58031 -4.95155
4028000 8.53715 -4.84215
4029000 8.56998 -4.89269
4030000 8.5723 -4.99271
4031000 8.56547 -5.00716
4032000 8.54914 -4.90783
4033000 8.54002 -4.93188
4034000 8.57422 -4.96763
4035000 8.53044 -4.94166
4036000 8.55508 -4.94505
4037000 8.55002 -4.93235
4038000 8.5339 -4.9796
4039000 8.58977 -5.0943
4040000 8.55365 -4.92104
4041000 8.56582 -4.90157
4042000 8.53297 -4.86523
4043000 8.61946 -5.03242
4044000 8.56032 -4.88408
4045000 8.5493 -4.99493
4046000 8.52543 -4.90552
4047000 8.5262 -4.8389
4048000 8.52066 -4.92488
4049000 8.58101 -5.00398
4050000 8.56913 -4.91282
4051000 8.56175 -4.93766
4052000 8.50853 -4.83072
4053000 8.51893 -4.94522
4054000 8.53787 -4.95366
4055000 8.51795 -4.95229
4056000 8.54904 -4.85989
4057000 8.53804 -4.93747
4058000 8.58449 -5.01509
4059000 8.56421 -4.9405
4060000 8.52619 -4.98171
4061000 8.6099 -5.06737
4062000 8.61532 -4.99877
4063000 8.58821 -4.96333
4064000 8.56876 -5.07887
4065000 8.52679 -4.90749
4066000 8.55281 -5.0077
4067000 8.57013 -4.99464
4068000 8.54927 -4.90644
4069000 8.60369 -4.96994
4070000 8.53818 -4.96559
4071000 8.56245 -4.87007
4072000 8.57092 -4.86982
4073000 8.53341 -4.95163
4074000 8.54048 -4.90882
4075000 8.51726 -4.89658
4076000 8.54072 -4.9231
4077000 8.6225 -5.10898
4078000 8.56351 -4.99069
4079000 8.56752 -4.93797
4080000 8.59455 -5.00666
4081000 8.52598 -4.87784
4082000 8.52258 -5.01575
4083000 8.57563 -4.97699
4084000 8.537 -4.89575
4085000 8.52847 -4.91463
4086000 8.55894 -4.95879
4087000 8.57196 -4.93254
4088000 8.57454 -4.96944
4089000 8.57032 -5.04047
4090000 8.59258 -4.9911
4091000 8.52493 -4.95712
4092000 8.57583 -4.9655
4093000 8.58741 -4.94631
4094000 8.56551 -4.90235
4095000 8.54127 -4.89527
4096000 8.53765 -4.83355
4097000 8.49799 -4.8387
4098000 8.58193 -5.00167
4099000 8.49718 -4.87707
4100000 8.48625 -4.69811
4101000 8.61154 -5.07497
4102000 8.6161 -4.99374
4103000 8.5643 -4.92259
4104000 8.59189 -4.97069
4105000 8.58201 -4.95713
4106000 8.52338 -4.9632
4107000 8.57693 -4.97489
4108000 8.5767 -4.94367
4109000 8.57689 -4.9161
4110000 8.55678 -4.89329
4111000 8.54966 -4.9226
4112000 8.54743 -4.87371
4113000 8.55529 -5.07741
4114000 8.51164 -4.88071
4115000 8.54442 -4.96327
4116000 8.58122 -5.06906
4117000 8.55316 -4.9408
4118000 8.54995 -4.87935
4119000 8.55973 -4.9327
4120000 8.56551 -4.89917
4121000 8.54791 -5.00216
4122000 8.56976 -4.98165
4123000 8.55742 -4.90042
4124000 8.52666 -4.93369
4125000 8.50559 -4.80056
4126000 8.57835 -5.02568
4127000 8.50074 -4.91067
4128000 8.4981 -4.83756
4129000 8.57668 -4.91551
4130000 8.49895 -4.8286
4131000 8.55793 -4.94121
