# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
10000000 8.32201 0.556087
10001000 8.2978 -5.33443
10002000 8.30225 -5.3694
10003000 8.30064 -5.35164
10004000 8.2925 -5.35005
10005000 8.31182 -5.39157
10006000 8.30671 -5.37928
10007000 8.30678 -5.37668
10008000 8.29365 -5.33064
10009000 8.30224 -5.33903
10010000 8.28773 -5.30076
10011000 8.30411 -5.3491
10012000 8.31546 -5.39093
10013000 8.31221 -5.37107
10014000 8.30228 -5.37325
10015000 8.31444 -5.38579
10016000 8.28703 -5.30925
10017000 8.29713 -5.35759
10018000 8.28425 -5.31746
10019000 8.30507 -5.37901
10020000 8.29969 -5.37318
10021000 8.30073 -5.37532
10022000 8.30185 -5.34451
10023000 8.29743 -5.3549
10024000 8.30584 -5.35656
10025000 8.31186 -5.37914
10026000 8.30098 -5.34431
10027000 8.29223 -5.31324
10028000 8.30281 -5.35366
10029000 8.2939 -5.33027
10030000 8.29772 -5.32725
10031000 8.30639 -5.37466
10032000 8.30726 -5.37302
10033000 8.30672 -5.3668
10034000 8.30571 -5.37369
10035000 8.30132 -5.33554
10036000 8.29951 -5.35451
10037000 8.30758 -5.3836
10038000 8.30335 -5.35186
10039000 8.29722 -5.33774
10040000 8.30897 -5.39214
10041000 8.30049 -5.35768
10042000 8.28318 -5.31245
10043000 8.29003 -5.32281
10044000 8.29171 -5.34204
10045000 8.29142 -5.35641
10046000 8.29779 -5.35224
10047000 8.29745 -5.35688
10048000 8.29484 -5.32741
10049000 8.30767 -5.36042
10050000 8.30372 -5.34076
10051000 8.30188 -5.35423
10052000 8.29906 -5.34419
10053000 8.28851 -5.31956
10054000 8.30088 -5.34205
10055000 8.30589 -5.38551
10056000 8.31299 -5.39304
10057000 8.30012 -5.35961
10058000 8.29711 -5.33841
10059000 8.29668 -5.34146
10060000 8.28957 -5.33649
10061000 8.29537 -5.33422
10062000 8.31392 -5.38151
10063000 8.29778 -5.34252
10064000 8.29566 -5.33368
10065000 8.30262 -5.39147
10066000 8.29814 -5.34681
10067000 8.29332 -5.34045
10068000 8.29846 -5.36477
10069000 8.30463 -5.37894
