# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
10250000 8.61832 1.02863
10251000 8.61896 -5.28154
10252000 8.65519 -5.31755
10253000 8.63172 -5.27483
10254000 8.6269 -5.33093
10255000 8.59265 -5.2166
10256000 8.63056 -5.27066
10257000 8.62671 -5.31199
10258000 8.61639 -5.27023
10259000 8.63475 -5.34719
10260000 8.63298 -5.33648
10261000 8.60876 -5.26075
10262000 8.62685 -5.24509
10263000 8.64051 -5.27352
10264000 8.63196 -5.25923
10265000 8.61831 -5.29646
10266000 8.5982 -5.24447
10267000 8.6117 -5.23319
10268000 8.63699 -5.33863
10269000 8.59033 -5.28667
10270000 8.63792 -5.30428
10271000 8.60149 -5.31099
10272000 8.6252 -5.20333
10273000 8.63607 -5.27341
10274000 8.6267 -5.28171
10275000 8.61999 -5.23801
10276000 8.64167 -5.27073
10277000 8.61234 -5.30119
10278000 8.61855 -5.34177
10279000 8.62689 -5.29708
10280000 8.5876 -5.24786
10281000 8.65515 -5.26202
10282000 8.64681 -5.25858
10283000 8.62553 -5.3103
10284000 8.60152 -5.28452
10285000 8.59508 -5.27425
10286000 8.64836 -5.32242
10287000 8.59706 -5.25886
10288000 8.6179 -5.28512
10289000 8.60933 -5.34699
10290000 8.64396 -5.2794
10291000 8.67983 -5.37428
10292000 8.6259 -5.31253
10293000 8.56534 -5.27594
10294000 8.60093 -5.2547
10295000 8.6427 -5.33912
10296000 8.65429 -5.34222
10297000 8.62727 -5.26316
10298000 8.60877 -5.26186
10299000 8.63374 -5.33517
10300000 8.64033 -5.28193
10301000 8.67537 -5.2713
10302000 8.65727 -5.29053
10303000 8.63738 -5.25446
10304000 8.59829 -5.23409
10305000 8.60536 -5.2169
10306000 8.66564 -5.34692
10307000 8.64267 -5.25718
10308000 8.65604 -5.30113
10309000 8.68485 -5.41529
10310000 8.58699 -5.24459
10311000 8.61301 -5.30125
10312000 8.59792 -5.24353
10313000 8.66379 -5.34593
10314000 8.66328 -5.31925
10315000 8.64217 -5.31233
10316000 8.62758 -5.22431
10317000 8.63156 -5.32291
10318000 8.64733 -5.24029
10319000 8.63363 -5.25486
10320000 8.64991 -5.26716
10321000 8.6238 -5.26088
10322000 8.6019 -5.26929
10323000 8.62599 -5.29481
10324000 8.60963 -5.27124
10325000 8.65091 -5.34796
10326000 8.65699 -5.30724
10327000 8.67705 -5.31348
10328000 8.6326 -5.20266
10329000 8.6225 -5.30715
10330000 8.64651 -5.27929
10331000 8.6325 -5.28044
10332000 8.62143 -5.29383
10333000 8.65791 -5.36745
10334000 8.60684 -5.26606
10335000 8.62362 -5.27902
10336000 8.59294 -5.25024
10337000 8.66448 -5.31082
10338000 8.60831 -5.24349
10339000 8.6104 -5.26818
10340000 8.61859 -5.23079
10341000 8.58021 -5.23318
10342000 8.61146 -5.29265
10343000 8.61255 -5.32122
10344000 8.61292 -5.24397
10345000 8.65672 -5.32977
10346000 8.65347 -5.37472
10347000 8.64784 -5.31286
10348000 8.62316 -5.2299
10349000 8.66506 -5.32832
10350000 8.61791 -5.31441
10351000 8.63142 -5.30643
10352000 8.60414 -5.23473
10353000 8.62744 -5.24998
10354000 8.60722 -5.28254
10355000 8.59186 -5.24605
10356000 8.66492 -5.39345
10357000 8.60593 -5.21357
10358000 8.62762 -5.30668
10359000 8.61952 -5.22365
10360000 8.647 -5.30445
10361000 8.66675 -5.25605
10362000 8.64569 -5.29131
10363000 8.63533 -5.30313
10364000 8.63493 -5.31611
10365000 8.59984 -5.28407
10366000 8.60864 -5.24725
10367000 8.62279 -5.31507
10368000 8.65729 -5.25936
10369000 8.65827 -5.26944
10370000 8.61084 -5.31889
10371000 8.60514 -5.24647
10372000 8.58621 -5.22442
10373000 8.60648 -5.28255
10374000 8.64364 -5.3338
10375000 8.63007 -5.28329
10376000 8.61273 -5.29344
10377000 8.63102 -5.25984
10378000 8.66122 -5.30807
10379000 8.63842 -5.31918
10380000 8.57473 -5.28365
10381000 8.57608 -5.26874
10382000 8.6339 -5.29596
10383000 8.60055 -5.21926
10384000 8.64111 -5.31125
10385000 8.59524 -5.20862
10386000 8.64084 -5.30159
10387000 8.60354 -5.24382
10388000 8.61258 -5.18437
10389000 8.62777 -5.29948
10390000 8.6488 -5.35208
10391000 8.67268 -5.28784
10392000 8.6401 -5.32887
10393000 8.67077 -5.30174
10394000 8.61556 -5.31427
10395000 8.59396 -5.23236
10396000 8.6073 -5.27947
10397000 8.62186 -5.28985
10398000 8.62014 -5.33417
10399000 8.62263 -5.29836
10400000 8.60159 -5.29492
10401000 8.61124 -5.2672
10402000 8.61877 -5.26205
10403000 8.63365 -5.29873
10404000 8.62406 -5.26334
10405000 8.65527 -5.28892
10406000 8.6302 -5.26587
10407000 8.63862 -5.27329
10408000 8.6466 -5.3043
10409000 8.60455 -5.31673
10410000 8.60193 -5.29336
10411000 8.61422 -5.30643
10412000 8.58036 -5.24378
10413000 8.64371 -5.30936
10414000 8.59427 -5.2857
10415000 8.65055 -5.30619
10416000 8.6386 -5.29677
10417000 8.63383 -5.28054
10418000 8.61885 -5.25179
10419000 8.67244 -5.33432
10420000 8.64062 -5.323
10421000 8.62691 -5.32157
10422000 8.61624 -5.24752
10423000 8.62361 -5.31204
10424000 8.63916 -5.27827
10425000 8.66273 -5.36303
10426000 8.62237 -5.29069
10427000 8.64006 -5.28475
10428000 8.64032 -5.28051
10429000 8.68118 -5.30868
10430000 8.61745 -5.24885
10431000 8.60478 -5.23962
10432000 8.61631 -5.34134
10433000 8.59182 -5.2685
10434000 8.58281 -5.23085
10435000 8.62581 -5.31099
10436000 8.64067 -5.27047
10437000 8.65903 -5.34519
10438000 8.62797 -5.26529
10439000 8.6034 -5.32179
10440000 8.63513 -5.33138
10441000 8.62722 -5.28338
10442000 8.61145 -5.28837
10443000 8.64392 -5.28962
10444000 8.61819 -5.2827
10445000 8.61127 -5.25514
10446000 8.63467 -5.27915
10447000 8.60126 -5.27118
10448000 8.67593 -5.36989
10449000 8.61868 -5.31248
10450000 8.616 -5.28148
10451000 8.60794 -5.29196
10452000 8.68495 -5.40943
10453000 8.6124 -5.27252
10454000 8.60036 -5.29246
10455000 8.61795 -5.28065
10456000 8.58698 -5.26882
10457000 8.636 -5.24756
10458000 8.6194 -5.2416
10459000 8.65732 -5.28066
10460000 8.62972 -5.30296
10461000 8.60843 -5.1674
10462000 8.65841 -5.33625
10463000 8.63014 -5.29045
10464000 8.65674 -5.28584
10465000 8.6072 -5.26092
10466000 8.614 -5.35776
10467000 8.63749 -5.35204
10468000 8.65446 -5.27472
10469000 8.66105 -5.31759
10470000 8.63439 -5.32261
10471000 8.62948 -5.22678
10472000 8.6347 -5.26297
10473000 8.6445 -5.32923
10474000 8.5984 -5.18766
10475000 8.62376 -5.2277
10476000 8.59631 -5.2411
10477000 8.63422 -5.25822
10478000 8.60704 -5.26726
10479000 8.60544 -5.2797
10480000 8.65995 -5.3099
10481000 8.61584 -5.26442
10482000 8.59702 -5.30421
10483000 8.58744 -5.2307
10484000 8.6431 -5.32046
10485000 8.61696 -5.29793
10486000 8.64308 -5.29828
10487000 8.65739 -5.29561
10488000 8.61639 -5.26528
10489000 8.65079 -5.30002
10490000 8.60412 -5.30187
10491000 8.64696 -5.27546
10492000 8.65442 -5.33098
10493000 8.61596 -5.3129
10494000 8.65445 -5.3166
10495000 8.65531 -5.24674
10496000 8.65217 -5.33295
10497000 8.60903 -5.32916
10498000 8.66693 -5.40225
10499000 8.63319 -5.30387
10500000 8.65483 -5.26099
