# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1750000 8.31104 0.932224
1751000 8.35813 -4.99432
1752000 8.31175 -4.85473
1753000 8.32752 -4.90547
1754000 8.34775 -4.96504
1755000 8.30991 -4.83949
1756000 8.29424 -4.76125
1757000 8.29491 -4.77404
1758000 8.30268 -4.78504
1759000 8.28149 -4.73341
1760000 8.29613 -4.77653
1761000 8.32669 -4.84966
1762000 8.30631 -4.80989
1763000 8.29814 -4.75274
1764000 8.31056 -4.86686
1765000 8.28626 -4.71499
1766000 8.30031 -4.81837
1767000 8.30372 -4.8053
1768000 8.32233 -4.94154
1769000 8.32154 -4.91774
1770000 8.29605 -4.83898
1771000 8.29594 -4.82354
1772000 8.31071 -4.83794
1773000 8.30018 -4.80513
1774000 8.28744 -4.73504
1775000 8.2998 -4.78958
1776000 8.3079 -4.77888
1777000 8.30137 -4.77986
1778000 8.30861 -4.84844
1779000 8.29817 -4.83494
1780000 8.29191 -4.81293
1781000 8.30308 -4.81112
1782000 8.29392 -4.77584
1783000 8.31565 -4.8339
1784000 8.32252 -4.89254
1785000 8.28792 -4.79038
1786000 8.28687 -4.76164
1787000 8.30221 -4.80682
1788000 8.32159 -4.83878
1789000 8.29501 -4.77562
1790000 8.34094 -4.96713
1791000 8.33803 -4.92961
1792000 8.3114 -4.87163
1793000 8.31571 -4.86393
1794000 8.337 -4.95419
1795000 8.35026 -5.02789
1796000 8.33094 -4.88311
1797000 8.28768 -4.79238
1798000 8.2852 -4.74885
1799000 8.31098 -4.85017
1800000 8.30634 -4.85721
1801000 8.33227 -4.89593
1802000 8.32826 -4.91123
1803000 8.29209 -4.84581
1804000 8.30866 -4.84112
1805000 8.3046 -4.80912
1806000 8.3302 -4.91768
1807000 8.31919 -4.86777
1808000 8.31673 -4.88068
1809000 8.30301 -4.77858
1810000 8.30526 -4.83712
1811000 8.28864 -4.80678
1812000 8.30869 -4.84076
1813000 8.32163 -4.8718
1814000 8.29892 -4.79932
1815000 8.29299 -4.82173
1816000 8.31904 -4.85247
1817000 8.30059 -4.83905
1818000 8.28432 -4.78515
1819000 8.28708 -4.80362
1820000 8.32197 -4.89791
1821000 8.30182 -4.84108
1822000 8.31603 -4.82406
1823000 8.33304 -4.92828
1824000 8.31326 -4.85396
1825000 8.29249 -4.80286
1826000 8.28756 -4.75131
1827000 8.28434 -4.77457
1828000 8.32927 -4.89102
1829000 8.33023 -4.95137
1830000 8.27869 -4.79009
1831000 8.31071 -4.85549
1832000 8.31103 -4.80823
1833000 8.31763 -4.88271
1834000 8.35588 -4.93153
1835000 8.3451 -4.99101
1836000 8.31722 -4.89475
1837000 8.31005 -4.86168
1838000 8.30513 -4.83171
1839000 8.29711 -4.79761
1840000 8.28841 -4.81001
1841000 8.30686 -4.84538
1842000 8.30619 -4.82758
1843000 8.30626 -4.83164
1844000 8.30785 -4.85367
1845000 8.29147 -4.77543
1846000 8.28565 -4.71445
1847000 8.27974 -4.74428
1848000 8.2956 -4.81607
1849000 8.31148 -4.88676
1850000 8.33614 -4.94832
1851000 8.30965 -4.88012
1852000 8.30588 -4.87893
1853000 8.30489 -4.84652
1854000 8.32657 -4.88155
1855000 8.29863 -4.78817
1856000 8.29308 -4.83472
1857000 8.29747 -4.83855
1858000 8.31334 -4.84437
1859000 8.3313 -4.90575
1860000 8.30744 -4.78548
1861000 8.28622 -4.77124
1862000 8.30844 -4.87402
1863000 8.31324 -4.86468
