# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
16500000 8.19966 1.65613
16501000 8.18224 -4.14669
16502000 8.20792 -4.21351
16503000 8.18362 -4.10145
16504000 8.18221 -4.16209
16505000 8.19944 -4.21836
16506000 8.19867 -4.19716
16507000 8.17159 -4.1543
16508000 8.19357 -4.15299
16509000 8.1683 -4.11534
16510000 8.21187 -4.2577
16511000 8.19706 -4.17772
16512000 8.26015 -4.36504
16513000 8.19599 -4.11653
16514000 8.17369 -4.1337
16515000 8.20279 -4.17431
16516000 8.19068 -4.17261
16517000 8.1754 -4.1396
16518000 8.14727 -4.0301
16519000 8.20771 -4.21415
16520000 8.17419 -4.21012
16521000 8.20331 -4.25003
16522000 8.229 -4.33534
16523000 8.20401 -4.18162
16524000 8.18739 -4.08764
16525000 8.19626 -4.17848
16526000 8.16236 -3.98692
16527000 8.16913 -4.07135
16528000 8.19865 -4.21293
16529000 8.15293 -4.08058
16530000 8.18044 -4.02314
16531000 8.21066 -4.20242
16532000 8.17135 -4.07222
16533000 8.19343 -4.1776
16534000 8.23124 -4.35671
16535000 8.18151 -4.07716
16536000 8.18965 -4.19113
16537000 8.18228 -4.1436
16538000 8.18771 -4.14643
16539000 8.18316 -4.13076
16540000 8.19683 -4.2181
16541000 8.18382 -4.15646
16542000 8.19811 -4.22967
16543000 8.22162 -4.25985
16544000 8.18759 -4.14908
16545000 8.18257 -4.2185
16546000 8.17906 -4.09547
16547000 8.2113 -4.27027
16548000 8.22673 -4.22818
16549000 8.19802 -4.15677
16550000 8.20157 -4.19271
16551000 8.19369 -4.23552
16552000 8.20414 -4.2026
16553000 8.19961 -4.18517
16554000 8.15016 -4.04036
16555000 8.18386 -4.11858
16556000 8.20296 -4.19003
16557000 8.18929 -4.13209
16558000 8.19366 -4.1992
16559000 8.2007 -4.16732
16560000 8.21883 -4.30853
16561000 8.16518 -4.06079
16562000 8.20768 -4.22786
16563000 8.19361 -4.16421
16564000 8.20745 -4.21257
16565000 8.18054 -4.19648
16566000 8.19618 -4.13501
16567000 8.19103 -4.18519
16568000 8.21535 -4.24445
16569000 8.18285 -4.14211
16570000 8.16242 -4.07683
16571000 8.21337 -4.22227
16572000 8.15016 -3.96471
16573000 8.20875 -4.25406
16574000 8.21214 -4.19317
16575000 8.17551 -4.08975
16576000 8.21944 -4.27229
16577000 8.20388 -4.22644
16578000 8.19678 -4.21485
16579000 8.19209 -4.18134
16580000 8.1435 -4.03621
16581000 8.17494 -4.11845
16582000 8.18559 -4.15978
16583000 8.18262 -4.13445
16584000 8.19448 -4.10775
16585000 8.18346 -4.15505
16586000 8.21469 -4.20779
16587000 8.14806 -4.06163
16588000 8.20881 -4.23516
16589000 8.16854 -4.12009
16590000 8.2204 -4.27513
16591000 8.18964 -4.147
16592000 8.21466 -4.27436
16593000 8.17554 -4.04677
16594000 8.16874 -4.11683
16595000 8.18299 -4.14107
16596000 8.21818 -4.22794
16597000 8.18802 -4.10396
16598000 8.19497 -4.22251
16599000 8.15964 -4.10001
16600000 8.19717 -4.20857
16601000 8.17083 -4.14921
16602000 8.19783 -4.2207
16603000 8.20599 -4.14047
16604000 8.18651 -4.15623
16605000 8.19367 -4.14626
16606000 8.17007 -4.12828
16607000 8.20511 -4.20987
16608000 8.15905 -4.11567
16609000 8.20023 -4.26095
16610000 8.13676 -3.97302
16611000 8.20509 -4.26825
16612000 8.22839 -4.28087
16613000 8.16495 -4.06585
16614000 8.2008 -4.17435
16615000 8.17922 -4.06265
16616000 8.20832 -4.27768
16617000 8.18051 -4.19161
16618000 8.17792 -4.09891
16619000 8.19111 -4.13542
16620000 8.19994 -4.18227
16621000 8.18625 -4.18699
16622000 8.15958 -4.0347
16623000 8.19693 -4.1764
16624000 8.19337 -4.15739
16625000 8.21503 -4.16028
16626000 8.17778 -4.13508
16627000 8.19881 -4.22508
16628000 8.2041 -4.22691
16629000 8.20662 -4.20047
16630000 8.20851 -4.2669
16631000 8.18455 -4.22833
16632000 8.17916 -4.10173
16633000 8.1766 -4.05913
16634000 8.18463 -4.20308
16635000 8.22148 -4.26854
16636000 8.19936 -4.21748
16637000 8.20026 -4.15461
16638000 8.19599 -4.20951
16639000 8.17938 -4.14545
16640000 8.19819 -4.21948
16641000 8.17947 -4.12689
16642000 8.20419 -4.19661
16643000 8.15654 -4.06706
16644000 8.24 -4.34312
16645000 8.17466 -4.03254
16646000 8.1906 -4.19907
16647000 8.22197 -4.24895
16648000 8.15198 -4.09247
16649000 8.24431 -4.3365
16650000 8.15636 -4.06491
16651000 8.19705 -4.1702
16652000 8.20883 -4.26145
16653000 8.15656 -4.03324
16654000 8.20438 -4.16789
16655000 8.19115 -4.26146
16656000 8.19375 -4.2352
16657000 8.16942 -4.13873
16658000 8.15852 -4.09478
16659000 8.21943 -4.2605
16660000 8.19077 -4.19991
16661000 8.18854 -4.1655
16662000 8.19506 -4.21765
16663000 8.16834 -4.09188
16664000 8.23335 -4.36524
16665000 8.16364 -4.06328
16666000 8.19286 -4.15043
16667000 8.21851 -4.2594
16668000 8.22422 -4.27202
16669000 8.20246 -4.15317
16670000 8.20035 -4.19438
16671000 8.21236 -4.22115
16672000 8.15989 -4.09601
16673000 8.20553 -4.18275
16674000 8.21551 -4.28058
16675000 8.17964 -4.10515
16676000 8.19972 -4.21125
16677000 8.22799 -4.29525
16678000 8.16597 -4.01165
16679000 8.19461 -4.1967
16680000 8.18289 -4.12992
16681000 8.1773 -4.14545
16682000 8.1957 -4.16413
16683000 8.18412 -4.16411
16684000 8.18555 -4.12607
16685000 8.17092 -4.12404
16686000 8.22333 -4.26592
16687000 8.19541 -4.20113
16688000 8.17532 -4.07815
16689000 8.22237 -4.32263
16690000 8.20138 -4.18878
16691000 8.19959 -4.13813
16692000 8.1957 -4.14875
16693000 8.21848 -4.3038
16694000 8.21108 -4.20749
16695000 8.17508 -4.17634
16696000 8.21255 -4.22953
16697000 8.20241 -4.22508
16698000 8.1635 -4.05526
16699000 8.25232 -4.3348
16700000 8.1827 -4.18695
16701000 8.20518 -4.18413
16702000 8.20628 -4.25835
16703000 8.16235 -4.0869
16704000 8.193 -4.19906
16705000 8.15222 -4.05383
16706000 8.17111 -4.10917
16707000 8.19485 -4.25758
16708000 8.16374 -4.04986
16709000 8.21994 -4.29695
16710000 8.15469 -4.00901
16711000 8.22786 -4.27243
16712000 8.17202 -4.07464
16713000 8.1874 -4.20142
16714000 8.19779 -4.20046
16715000 8.17919 -4.17911
16716000 8.18436 -4.17545
16717000 8.1943 -4.17463
16718000 8.18536 -4.11738
16719000 8.21029 -4.19225
16720000 8.21499 -4.27232
16721000 8.20032 -4.20562
16722000 8.16746 -4.07751
16723000 8.20206 -4.24691
16724000 8.20654 -4.23135
16725000 8.19687 -4.13348
16726000 8.21481 -4.19788
16727000 8.19105 -4.07273
16728000 8.19664 -4.18879
16729000 8.19689 -4.16955
16730000 8.20865 -4.19037
16731000 8.18542 -4.1167
16732000 8.22443 -4.27887
16733000 8.21462 -4.30967
16734000 8.16128 -4.0411
16735000 8.19694 -4.16156
16736000 8.16698 -4.11967
16737000 8.20177 -4.19571
16738000 8.17908 -4.13879
16739000 8.24067 -4.32258
16740000 8.18658 -4.1893
16741000 8.1841 -4.14811
16742000 8.17367 -4.10011
16743000 8.20261 -4.15064
16744000 8.20604 -4.23684
16745000 8.1887 -4.05676
16746000 8.2168 -4.29175
16747000 8.20703 -4.20807
16748000 8.21382 -4.19553
16749000 8.14056 -4.02783
16750000 8.17152 -4.03865
