# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
19500000 8.30757 2.21817
19501000 8.27865 -4.15661
19502000 8.2545 -3.96189
19503000 8.23657 -3.99637
19504000 8.29972 -4.24823
19505000 8.30036 -4.26506
19506000 8.23692 -3.96817
19507000 8.25392 -4.10443
19508000 8.29409 -4.06663
19509000 8.23732 -4.08565
19510000 8.30834 -4.1168
19511000 8.27937 -4.17641
19512000 8.28105 -4.08546
19513000 8.26571 -3.90492
19514000 8.22909 -3.93703
19515000 8.21445 -4.02538
19516000 8.24707 -4.0474
19517000 8.26356 -4.13066
19518000 8.22793 -3.98765
19519000 8.24288 -4.00663
19520000 8.27019 -4.09581
19521000 8.21187 -3.88867
19522000 8.2833 -4.10688
19523000 8.30904 -4.15325
19524000 8.23598 -3.98258
19525000 8.28712 -4.05893
19526000 8.26913 -4.06727
19527000 8.26384 -4.0115
19528000 8.24523 -3.8756
19529000 8.22376 -3.98787
19530000 8.22831 -3.83927
19531000 8.25511 -3.98159
19532000 8.25778 -4.14388
19533000 8.24426 -4.04601
19534000 8.25352 -4.15711
19535000 8.21838 -3.8498
19536000 8.27557 -4.06015
19537000 8.27761 -4.04421
19538000 8.2359 -3.87691
19539000 8.25527 -4.03469
19540000 8.26819 -4.05237
19541000 8.26179 -4.06031
19542000 8.26671 -4.01413
19543000 8.26197 -4.08439
19544000 8.27373 -4.04684
19545000 8.26638 -4.02638
19546000 8.21741 -3.99382
19547000 8.25658 -3.97043
19548000 8.20057 -4.01012
19549000 8.29312 -4.01661
19550000 8.26014 -4.14363
19551000 8.26195 -4.00796
19552000 8.22616 -4.06937
19553000 8.28098 -4.21396
19554000 8.24302 -4.02545
19555000 8.23858 -4.03382
19556000 8.2085 -3.89818
19557000 8.29885 -4.0696
19558000 8.22021 -3.98664
19559000 8.24435 -4.04678
19560000 8.20193 -3.89318
19561000 8.21339 -3.91164
19562000 8.23729 -3.95077
19563000 8.3035 -4.16603
19564000 8.26481 -4.0647
19565000 8.23669 -3.90573
19566000 8.26868 -3.95208
19567000 8.26917 -4.07732
19568000 8.25523 -4.13532
19569000 8.21921 -3.91762
19570000 8.24731 -3.96965
19571000 8.21669 -3.95868
19572000 8.23016 -3.85371
19573000 8.27127 -4.10051
19574000 8.29131 -4.1215
19575000 8.25799 -4.0303
19576000 8.27406 -4.02045
19577000 8.23564 -4.08439
19578000 8.25125 -4.05148
19579000 8.2704 -4.13708
19580000 8.24544 -4.09394
19581000 8.27825 -4.11213
19582000 8.19884 -4.11751
19583000 8.27432 -4.14586
19584000 8.2346 -4.15736
19585000 8.25883 -3.99284
19586000 8.2697 -4.22252
19587000 8.22869 -4.01093
19588000 8.24558 -3.99633
19589000 8.24142 -4.05499
19590000 8.22576 -4.01264
19591000 8.23746 -4.01229
19592000 8.31386 -4.15702
19593000 8.27194 -4.09681
19594000 8.29141 -4.00928
19595000 8.24837 -4.00472
19596000 8.22623 -3.95225
19597000 8.2554 -4.09787
19598000 8.17949 -3.89859
19599000 8.25051 -4.11399
19600000 8.26764 -4.13768
19601000 8.234 -3.94268
19602000 8.30505 -4.09614
19603000 8.21783 -3.98193
19604000 8.30597 -4.04922
19605000 8.22063 -3.91568
19606000 8.28853 -4.13639
19607000 8.2677 -4.14527
19608000 8.24382 -3.8994
19609000 8.2349 -4.0029
19610000 8.27255 -3.96863
19611000 8.22521 -3.93519
19612000 8.23474 -3.96878
19613000 8.22594 -4.11639
19614000 8.26595 -4.05457
19615000 8.21398 -4.05226
19616000 8.23089 -3.93262
19617000 8.28072 -4.27933
19618000 8.28408 -4.06684
19619000 8.25109 -4.13218
19620000 8.27104 -3.94106
19621000 8.27777 -4.04205
19622000 8.26308 -4.12206
19623000 8.25297 -3.94063
19624000 8.26868 -4.18952
19625000 8.23368 -3.93639
19626000 8.35332 -4.27826
19627000 8.2331 -3.97473
19628000 8.25074 -3.95627
19629000 8.28054 -4.14817
19630000 8.23827 -4.13768
19631000 8.21703 -4.06321
19632000 8.21268 -3.91162
19633000 8.19436 -3.93271
19634000 8.26142 -3.97788
19635000 8.24655 -3.99679
19636000 8.25469 -3.98707
19637000 8.2234 -4.01877
19638000 8.25881 -3.91688
19639000 8.22499 -4.04035
19640000 8.24319 -4.21378
19641000 8.24252 -4.06163
19642000 8.24151 -4.03882
19643000 8.20106 -3.96171
19644000 8.21394 -3.9928
19645000 8.21012 -3.99432
19646000 8.22832 -3.95496
19647000 8.23306 -3.9563
19648000 8.28458 -4.09831
19649000 8.22474 -3.91333
19650000 8.26463 -4.03903
19651000 8.20088 -3.80538
19652000 8.2515 -4.10013
19653000 8.28023 -4.0273
19654000 8.17657 -3.95829
19655000 8.28955 -4.18808
19656000 8.29168 -4.17659
19657000 8.28089 -4.07793
19658000 8.24353 -4.12694
19659000 8.21701 -4.10466
19660000 8.27665 -3.94049
19661000 8.24967 -4.06588
19662000 8.25119 -4.03628
19663000 8.21433 -3.87553
19664000 8.24376 -4.14021
19665000 8.25213 -3.94785
19666000 8.17463 -3.98107
19667000 8.22773 -4.00394
19668000 8.20918 -3.89862
19669000 8.23446 -3.96137
19670000 8.2177 -4.01329
19671000 8.21795 -4.09123
19672000 8.21303 -3.91588
19673000 8.27199 -4.09549
19674000 8.25969 -4.03183
19675000 8.24331 -3.99156
19676000 8.26148 -4.08959
19677000 8.2629 -3.95332
19678000 8.29278 -3.97991
19679000 8.26564 -4.1048
19680000 8.24891 -3.99697
19681000 8.22555 -4.04252
19682000 8.17734 -3.92443
19683000 8.2489 -4.02977
19684000 8.23452 -3.99
19685000 8.27394 -4.14897
19686000 8.26246 -3.95959
19687000 8.32942 -4.23661
19688000 8.283 -4.18276
19689000 8.26296 -4.18853
19690000 8.21995 -3.99184
19691000 8.23694 -3.95567
19692000 8.22459 -3.8852
19693000 8.24733 -4.01375
19694000 8.29275 -4.07299
19695000 8.27991 -4.08875
19696000 8.23018 -3.9243
19697000 8.36387 -4.32193
19698000 8.1662 -3.87326
19699000 8.21271 -4.02993
19700000 8.27578 -3.9722
19701000 8.21777 -3.96181
19702000 8.25587 -4.11019
19703000 8.24365 -3.97931
19704000 8.20359 -4.00465
19705000 8.19519 -3.79723
19706000 8.22657 -4.02543
19707000 8.26408 -4.07224
19708000 8.25887 -4.08579
19709000 8.26363 -4.07469
19710000 8.19798 -3.82341
19711000 8.25399 -3.92696
19712000 8.27934 -4.18855
19713000 8.17385 -3.86083
19714000 8.26265 -4.00748
19715000 8.27434 -4.16469
19716000 8.21142 -3.92862
19717000 8.24415 -3.99265
19718000 8.26557 -4.06016
19719000 8.25136 -4.19502
19720000 8.17079 -3.82925
19721000 8.25963 -4.09741
19722000 8.25519 -4.03701
19723000 8.25018 -3.98396
19724000 8.28022 -4.20497
19725000 8.25173 -4.14615
19726000 8.22382 -4.05343
19727000 8.26827 -4.14035
19728000 8.26398 -4.06543
19729000 8.25319 -3.9945
19730000 8.28399 -4.06788
19731000 8.21618 -3.93256
19732000 8.24197 -3.94759
19733000 8.19801 -3.92513
19734000 8.29968 -4.1774
19735000 8.27885 -4.09525
19736000 8.18687 -3.87666
19737000 8.24 -4.04324
19738000 8.19652 -3.98154
19739000 8.19829 -3.96782
19740000 8.24364 -4.00016
19741000 8.28446 -4.14806
19742000 8.24653 -4.04537
19743000 8.23714 -3.9283
19744000 8.27223 -4.10388
19745000 8.26751 -3.97862
19746000 8.27889 -4.13739
19747000 8.25083 -4.05234
19748000 8.2357 -3.9166
19749000 8.23599 -3.99885
19750000 8.33967 -4.24147
