# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
43750000 8.19677 0.778246
43751000 8.19282 -5.08806
43752000 8.19287 -5.10864
43753000 8.20679 -5.12935
43754000 8.19656 -5.10293
43755000 8.19846 -5.08878
43756000 8.18999 -5.08346
43757000 8.1841 -5.06524
43758000 8.19664 -5.10391
43759000 8.19517 -5.08203
43760000 8.20882 -5.12605
43761000 8.1948 -5.09338
43762000 8.18857 -5.07948
43763000 8.19277 -5.08047
43764000 8.20116 -5.10331
43765000 8.19685 -5.10186
43766000 8.19744 -5.0909
43767000 8.1905 -5.08575
43768000 8.18714 -5.05423
43769000 8.19397 -5.0777
43770000 8.19844 -5.0861
43771000 8.19315 -5.08743
43772000 8.18898 -5.0726
43773000 8.1901 -5.0883
43774000 8.2012 -5.08717
43775000 8.19862 -5.08296
43776000 8.19642 -5.09249
43777000 8.20044 -5.10492
43778000 8.19763 -5.11388
43779000 8.19729 -5.10654
43780000 8.20125 -5.11266
43781000 8.19964 -5.10861
43782000 8.19391 -5.08695
43783000 8.18242 -5.05315
43784000 8.19448 -5.08496
43785000 8.18983 -5.07926
43786000 8.19399 -5.09732
43787000 8.19778 -5.10443
43788000 8.1975 -5.09041
43789000 8.2025 -5.10464
43790000 8.19143 -5.09347
43791000 8.19863 -5.10503
43792000 8.19848 -5.1088
43793000 8.2028 -5.0906
43794000 8.19743 -5.10144
43795000 8.1971 -5.11346
43796000 8.19097 -5.07093
43797000 8.19718 -5.09233
43798000 8.1914 -5.07681
43799000 8.19994 -5.09864
43800000 8.19976 -5.09213
43801000 8.19172 -5.08554
43802000 8.19605 -5.09808
43803000 8.19607 -5.0952
43804000 8.20171 -5.10253
43805000 8.19302 -5.07189
43806000 8.19655 -5.08175
43807000 8.19889 -5.10481
43808000 8.1893 -5.07062
43809000 8.19777 -5.10314
43810000 8.19446 -5.10069
43811000 8.20209 -5.11276
43812000 8.19492 -5.09714
43813000 8.198 -5.09866
43814000 8.19322 -5.08635
43815000 8.19493 -5.09074
43816000 8.19965 -5.08743
43817000 8.18701 -5.0724
43818000 8.19162 -5.0862
43819000 8.18949 -5.08139
43820000 8.20107 -5.07979
43821000 8.19661 -5.09488
43822000 8.19966 -5.08036
43823000 8.18981 -5.08994
43824000 8.2018 -5.09381
43825000 8.20239 -5.09973
43826000 8.20373 -5.10393
43827000 8.20169 -5.12748
43828000 8.1966 -5.09868
43829000 8.19911 -5.11307
43830000 8.20558 -5.11765
43831000 8.19881 -5.09114
43832000 8.19721 -5.11047
43833000 8.19089 -5.07964
43834000 8.20283 -5.10272
43835000 8.20014 -5.1003
43836000 8.19364 -5.08284
43837000 8.19629 -5.0952
43838000 8.19457 -5.09203
43839000 8.19512 -5.10414
43840000 8.20047 -5.10421
43841000 8.19532 -5.08933
43842000 8.19588 -5.09005
43843000 8.19629 -5.10144
43844000 8.19664 -5.09775
43845000 8.19555 -5.08429
43846000 8.19123 -5.07848
43847000 8.2016 -5.09935
43848000 8.1968 -5.10561
43849000 8.20851 -5.1277
43850000 8.19391 -5.08915
43851000 8.20129 -5.10826
43852000 8.19634 -5.09174
43853000 8.19867 -5.09763
43854000 8.19337 -5.08443
43855000 8.19823 -5.08633
43856000 8.19465 -5.09604
43857000 8.19917 -5.10742
43858000 8.19136 -5.08611
43859000 8.19536 -5.09719
43860000 8.19644 -5.0924
43861000 8.19768 -5.10227
43862000 8.19714 -5.10086
43863000 8.19768 -5.11131
43864000 8.19803 -5.10288
43865000 8.19762 -5.0917
43866000 8.20104 -5.10434
43867000 8.19863 -5.10609
43868000 8.19176 -5.08553
43869000 8.19333 -5.09289
43870000 8.19985 -5.10278
43871000 8.20122 -5.10426
43872000 8.1981 -5.10384
43873000 8.19955 -5.09568
43874000 8.1946 -5.09364
43875000 8.20218 -5.1044
43876000 8.20317 -5.10743
43877000 8.19863 -5.10272
43878000 8.19172 -5.07421
43879000 8.19228 -5.08813
43880000 8.19336 -5.08474
43881000 8.19846 -5.10015
43882000 8.20052 -5.09266
43883000 8.19761 -5.11009
43884000 8.19791 -5.08587
43885000 8.19704 -5.10306
43886000 8.20302 -5.09581
43887000 8.19109 -5.08637
43888000 8.19379 -5.09405
43889000 8.19451 -5.08355
43890000 8.19122 -5.09827
43891000 8.20145 -5.09602
43892000 8.19121 -5.09574
43893000 8.19317 -5.07251
43894000 8.18931 -5.07116
43895000 8.1966 -5.08495
43896000 8.20188 -5.11666
43897000 8.19765 -5.1072
43898000 8.19705 -5.10443
43899000 8.20342 -5.10994
43900000 8.19943 -5.10515
43901000 8.19105 -5.0586
43902000 8.1954 -5.09069
43903000 8.20088 -5.10594
43904000 8.1968 -5.10535
43905000 8.2071 -5.10538
43906000 8.19056 -5.08361
43907000 8.20276 -5.09352
43908000 8.19063 -5.0953
43909000 8.2016 -5.09772
43910000 8.19541 -5.09605
43911000 8.20384 -5.10508
43912000 8.1946 -5.09036
43913000 8.1975 -5.09857
43914000 8.1973 -5.09711
43915000 8.19685 -5.08703
43916000 8.19459 -5.08791
43917000 8.20174 -5.10872
43918000 8.19771 -5.08875
43919000 8.20909 -5.12215
43920000 8.1948 -5.09772
43921000 8.20492 -5.12094
43922000 8.1928 -5.08279
43923000 8.19443 -5.07987
43924000 8.19625 -5.096
43925000 8.19533 -5.08862
43926000 8.20016 -5.10547
43927000 8.19699 -5.08119
43928000 8.19085 -5.0695
43929000 8.19449 -5.07621
43930000 8.19235 -5.07025
43931000 8.1982 -5.09482
43932000 8.19484 -5.07244
43933000 8.18768 -5.07056
43934000 8.2007 -5.09822
43935000 8.19759 -5.08479
43936000 8.19659 -5.07945
43937000 8.19251 -5.0789
43938000 8.20043 -5.10823
43939000 8.18704 -5.06772
43940000 8.20189 -5.1038
43941000 8.2025 -5.09463
43942000 8.19876 -5.09287
43943000 8.19991 -5.08206
43944000 8.19482 -5.11495
43945000 8.2013 -5.08859
43946000 8.19692 -5.10368
43947000 8.2023 -5.11201
43948000 8.19396 -5.08446
43949000 8.20141 -5.10862
43950000 8.19461 -5.08771
43951000 8.19581 -5.0975
43952000 8.20254 -5.11512
43953000 8.1897 -5.08159
43954000 8.20035 -5.10832
43955000 8.19399 -5.09047
43956000 8.19396 -5.08601
43957000 8.19232 -5.09668
43958000 8.20176 -5.10316
43959000 8.20035 -5.09292
43960000 8.19885 -5.09727
43961000 8.19795 -5.09172
43962000 8.18838 -5.07757
43963000 8.1947 -5.07687
43964000 8.19271 -5.07239
43965000 8.19924 -5.10057
43966000 8.18669 -5.05454
43967000 8.19545 -5.09383
43968000 8.19424 -5.08845
43969000 8.19493 -5.08348
43970000 8.19592 -5.08171
43971000 8.1931 -5.07827
43972000 8.19145 -5.09016
43973000 8.19269 -5.08836
43974000 8.20035 -5.10165
43975000 8.19902 -5.10279
43976000 8.20048 -5.08981
43977000 8.19867 -5.10515
43978000 8.19571 -5.0884
43979000 8.19539 -5.09093
43980000 8.20023 -5.1036
43981000 8.19787 -5.09889
43982000 8.18925 -5.07746
43983000 8.20275 -5.11453
43984000 8.19924 -5.10973
43985000 8.2066 -5.12068
43986000 8.19467 -5.10133
43987000 8.19372 -5.07942
43988000 8.19062 -5.07709
43989000 8.19449 -5.0859
43990000 8.19802 -5.10845
43991000 8.19266 -5.0832
43992000 8.19813 -5.09538
43993000 8.19711 -5.08367
43994000 8.19772 -5.10229
43995000 8.19402 -5.10794
43996000 8.19741 -5.09584
43997000 8.19185 -5.09145
43998000 8.20035 -5.09196
43999000 8.19755 -5.10101
44000000 8.20145 -5.10722
