# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
20500000 10.6499 1.7425
20501000 10.7147 -4.85782
20502000 10.6121 -4.50356
20503000 10.6734 -4.78652
20504000 10.6306 -4.55198
20505000 10.6691 -4.71163
20506000 10.6793 -4.70525
20507000 10.7154 -4.74264
20508000 10.611 -4.52162
20509000 10.7033 -4.68498
20510000 10.6822 -4.64887
20511000 10.6745 -4.59634
20512000 10.7038 -4.75132
20513000 10.7 -4.67653
20514000 10.6171 -4.5146
20515000 10.7035 -4.66968
20516000 10.6626 -4.5569
20517000 10.7073 -4.68084
20518000 10.6597 -4.65576
20519000 10.7144 -4.81655
20520000 10.6287 -4.57697
20521000 10.6203 -4.53353
20522000 10.6565 -4.57975
20523000 10.6648 -4.59871
20524000 10.6593 -4.53879
20525000 10.6704 -4.58535
20526000 10.7104 -4.70866
20527000 10.646 -4.55039
20528000 10.6146 -4.5724
20529000 10.6879 -4.77215
20530000 10.6342 -4.62504
20531000 10.6213 -4.49736
20532000 10.6574 -4.59023
20533000 10.7071 -4.6108
20534000 10.6794 -4.66621
20535000 10.6256 -4.49226
20536000 10.6634 -4.61211
20537000 10.6901 -4.69013
20538000 10.638 -4.57687
20539000 10.7618 -4.85834
20540000 10.6748 -4.72076
20541000 10.6132 -4.47249
20542000 10.653 -4.65408
20543000 10.6818 -4.68686
20544000 10.6738 -4.57268
20545000 10.6773 -4.73088
20546000 10.5939 -4.42939
20547000 10.6276 -4.49915
20548000 10.7022 -4.69886
20549000 10.69 -4.67311
20550000 10.6956 -4.66576
20551000 10.6756 -4.62608
20552000 10.6746 -4.64542
20553000 10.6184 -4.45087
20554000 10.6214 -4.49562
20555000 10.6735 -4.69524
20556000 10.6486 -4.56712
20557000 10.6106 -4.4913
20558000 10.6049 -4.50911
20559000 10.6657 -4.60383
20560000 10.5708 -4.45691
20561000 10.584 -4.4617
20562000 10.6633 -4.63081
20563000 10.6629 -4.6152
20564000 10.657 -4.56576
20565000 10.6563 -4.65256
20566000 10.6174 -4.49895
20567000 10.5697 -4.51212
20568000 10.6269 -4.51709
20569000 10.6334 -4.60343
20570000 10.6315 -4.57067
20571000 10.6227 -4.50828
20572000 10.6411 -4.52716
20573000 10.6774 -4.7527
20574000 10.6652 -4.64125
20575000 10.6402 -4.57748
20576000 10.6876 -4.64024
20577000 10.6731 -4.62549
20578000 10.651 -4.56681
20579000 10.6233 -4.54463
20580000 10.707 -4.63276
20581000 10.7057 -4.67291
20582000 10.678 -4.67117
20583000 10.6618 -4.56547
20584000 10.6894 -4.67373
20585000 10.6181 -4.56018
20586000 10.6408 -4.53172
20587000 10.6653 -4.64334
20588000 10.6376 -4.49361
20589000 10.6922 -4.71296
20590000 10.654 -4.52833
20591000 10.6676 -4.5854
20592000 10.5915 -4.41832
20593000 10.6218 -4.58229
20594000 10.6322 -4.54305
20595000 10.6513 -4.6539
20596000 10.5727 -4.37629
20597000 10.6654 -4.74915
20598000 10.6588 -4.64474
20599000 10.6705 -4.66405
20600000 10.6393 -4.64615
20601000 10.6798 -4.65759
20602000 10.6854 -4.62548
20603000 10.6835 -4.68981
