# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1250000 8.67046 1.01691
1251000 8.58768 -4.22263
1252000 8.54935 -4.0397
1253000 8.52984 -4.04217
1254000 8.64464 -4.45885
1255000 8.58715 -4.19128
1256000 8.54685 -4.06299
1257000 8.52615 -4.08238
1258000 8.54078 -4.04412
1259000 8.56731 -4.11242
1260000 8.56291 -4.19194
1261000 8.54729 -4.05656
1262000 8.53086 -4.04019
1263000 8.54549 -3.99431
1264000 8.56184 -4.23445
1265000 8.57616 -4.13748
1266000 8.58414 -4.22499
1267000 8.53465 -4.07216
1268000 8.6012 -4.33225
1269000 8.57249 -4.28165
1270000 8.52939 -4.09271
1271000 8.53591 -4.03107
1272000 8.55437 -4.13668
1273000 8.60396 -4.3185
1274000 8.56342 -3.98913
1275000 8.56108 -3.99573
1276000 8.60586 -4.06918
1277000 8.57557 -4.16312
1278000 8.56584 -4.15943
1279000 8.55339 -4.09997
1280000 8.55758 -4.09142
1281000 8.6311 -4.24533
1282000 8.56849 -4.18232
1283000 8.56071 -4.15286
1284000 8.57758 -4.22941
1285000 8.53959 -4.11573
1286000 8.51034 -4.04223
1287000 8.51823 -3.97243
1288000 8.56878 -4.13036
1289000 8.61491 -4.29369
1290000 8.54167 -4.10036
1291000 8.54605 -4.12999
1292000 8.51127 -4.08011
1293000 8.50702 -3.98688
1294000 8.57075 -4.22456
1295000 8.56333 -4.24191
1296000 8.54174 -4.05653
1297000 8.52845 -4.07131
1298000 8.5507 -4.05177
1299000 8.56724 -4.09265
1300000 8.5506 -4.04429
1301000 8.59532 -4.14279
1302000 8.56535 -4.1974
1303000 8.52303 -4.09937
1304000 8.54053 -3.92257
1305000 8.52101 -4.03781
1306000 8.54954 -4.06389
1307000 8.5727 -4.15791
1308000 8.59647 -4.19828
1309000 8.59423 -4.17538
1310000 8.57142 -4.24208
1311000 8.5877 -4.15627
1312000 8.62078 -4.20776
1313000 8.59368 -4.14814
1314000 8.59473 -4.1397
1315000 8.55769 -4.24874
1316000 8.58157 -4.13506
1317000 8.57027 -4.24006
1318000 8.61083 -4.36404
1319000 8.5532 -4.16688
1320000 8.52323 -4.02732
1321000 8.62182 -4.22111
1322000 8.5945 -4.04206
1323000 8.51826 -4.01716
1324000 8.54767 -4.04043
1325000 8.53847 -4.11384
1326000 8.56647 -4.17936
1327000 8.56264 -4.22128
1328000 8.58276 -4.12707
1329000 8.51965 -4.01818
1330000 8.5652 -4.11473
1331000 8.53271 -4.05609
1332000 8.54587 -4.11062
1333000 8.56301 -4.17752
1334000 8.59403 -4.0711
1335000 8.55575 -4.1352
1336000 8.58602 -4.2276
1337000 8.51719 -4.07262
1338000 8.60473 -4.14172
1339000 8.61038 -4.36319
1340000 8.542 -4.16554
1341000 8.51052 -4.06781
1342000 8.54391 -4.02315
1343000 8.59244 -4.2354
1344000 8.56371 -4.12894
1345000 8.50043 -4.06658
1346000 8.57252 -4.16038
1347000 8.55048 -4.17233
1348000 8.52289 -4.08482
1349000 8.57297 -4.11476
1350000 8.53513 -3.99337
1351000 8.5645 -4.14713
1352000 8.65322 -4.37785
1353000 8.60871 -4.24848
1354000 8.56407 -4.17835
1355000 8.54678 -4.08664
1356000 8.49779 -4.01409
1357000 8.58573 -4.21541
1358000 8.56377 -4.13686
1359000 8.58472 -4.31854
1360000 8.58841 -4.21922
1361000 8.58562 -4.11116
1362000 8.54194 -4.11468
1363000 8.55673 -4.05814
1364000 8.52187 -3.99446
1365000 8.58964 -4.06478
1366000 8.59835 -4.28447
1367000 8.5667 -4.20647
1368000 8.53281 -4.1075
1369000 8.54527 -4.09412
1370000 8.6009 -4.14125
1371000 8.58827 -4.19713
1372000 8.57269 -4.08391
1373000 8.52268 -4.02007
1374000 8.54181 -3.95371
1375000 8.4977 -3.90034
1376000 8.53572 -4.10573
1377000 8.58536 -4.22118
1378000 8.60921 -4.21991
1379000 8.55919 -4.09552
1380000 8.58362 -4.19551
1381000 8.53404 -4.07605
1382000 8.58418 -4.12429
1383000 8.57544 -4.20242
1384000 8.55397 -4.07709
1385000 8.52208 -4.08773
1386000 8.57269 -4.09953
1387000 8.51046 -4.01705
1388000 8.52745 -4.06676
1389000 8.50846 -3.96682
1390000 8.58254 -4.244
1391000 8.59297 -4.25209
1392000 8.55523 -4.14832
1393000 8.56231 -4.07649
1394000 8.5583 -4.0917
1395000 8.56715 -4.06633
1396000 8.55303 -4.10495
1397000 8.52881 -4.12604
1398000 8.53808 -4.16289
1399000 8.59691 -4.17646
1400000 8.59286 -4.23975
1401000 8.59016 -4.14623
1402000 8.53267 -4.18515
1403000 8.55329 -4.11082
1404000 8.55678 -4.19068
1405000 8.53429 -4.11847
1406000 8.59509 -4.26655
1407000 8.5815 -4.22634
1408000 8.55515 -4.18507
1409000 8.54854 -4.06453
1410000 8.5357 -4.04567
1411000 8.56227 -4.18814
1412000 8.63629 -4.32371
1413000 8.53695 -4.06826
1414000 8.56006 -4.10416
1415000 8.56259 -4.1154
1416000 8.54046 -4.07294
1417000 8.58022 -4.20273
1418000 8.5551 -4.08329
1419000 8.54802 -4.07403
1420000 8.55888 -4.08779
1421000 8.57475 -4.12895
1422000 8.52462 -4.00292
1423000 8.51187 -4.04707
1424000 8.59435 -4.2539
1425000 8.51613 -4.0541
1426000 8.46048 -3.89273
1427000 8.51453 -3.90742
1428000 8.55325 -4.08652
1429000 8.59621 -4.24249
1430000 8.57749 -4.24294
1431000 8.5477 -4.12073
1432000 8.51528 -4.00006
1433000 8.53818 -4.16409
1434000 8.61557 -4.27565
1435000 8.56644 -4.04328
1436000 8.56222 -4.09882
1437000 8.53082 -4.13486
1438000 8.53229 -3.95574
1439000 8.5531 -4.16028
1440000 8.57726 -4.00717
1441000 8.55891 -4.01074
1442000 8.58995 -4.08806
1443000 8.53964 -4.04556
1444000 8.58818 -4.19433
1445000 8.56906 -4.27363
1446000 8.55802 -4.09054
1447000 8.58669 -4.12377
1448000 8.5848 -4.1662
1449000 8.53816 -4.0684
1450000 8.5323 -4.09753
1451000 8.49419 -3.88505
1452000 8.52737 -4.03875
1453000 8.61246 -4.32677
1454000 8.5563 -4.14399
1455000 8.49641 -4.06543
1456000 8.54545 -4.1862
1457000 8.54821 -4.0887
1458000 8.55845 -4.14583
1459000 8.54773 -4.09335
1460000 8.53719 -4.17187
1461000 8.55979 -3.96071
1462000 8.507 -4.08114
1463000 8.54953 -4.10469
1464000 8.50831 -4.01573
1465000 8.57997 -4.31366
1466000 8.54464 -4.08232
1467000 8.51686 -3.98405
1468000 8.57362 -4.05367
1469000 8.51985 -4.06193
1470000 8.5546 -4.36278
1471000 8.51572 -4.01883
1472000 8.59359 -4.17339
1473000 8.57737 -4.21906
1474000 8.52973 -4.00854
1475000 8.55253 -4.13979
1476000 8.56044 -4.12857
1477000 8.52647 -3.89646
1478000 8.54525 -4.0496
1479000 8.54711 -4.10163
1480000 8.61804 -4.20638
1481000 8.54192 -4.01143
1482000 8.50888 -4.0324
1483000 8.52149 -3.99534
1484000 8.53394 -4.01652
1485000 8.55399 -4.15435
1486000 8.56984 -4.17807
1487000 8.61758 -4.34556
1488000 8.55333 -4.07959
1489000 8.52601 -4.11948
1490000 8.56095 -4.1191
1491000 8.54336 -4.12619
1492000 8.5705 -4.19411
1493000 8.59396 -4.13273
1494000 8.5498 -4.11771
1495000 8.55189 -4.00274
1496000 8.5514 -4.18679
1497000 8.57691 -4.14872
1498000 8.56221 -4.08144
1499000 8.54011 -4.00877
1500000 8.62683 -4.31262
