# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1000000 8.46278 1.63117
1001000 8.41837 -3.83176
1002000 8.41479 -3.77239
1003000 8.40929 -3.75668
1004000 8.42846 -3.91724
1005000 8.43389 -3.86067
1006000 8.40843 -3.69195
1007000 8.35075 -3.56999
1008000 8.38371 -3.69404
1009000 8.40308 -3.69898
1010000 8.3945 -3.7028
1011000 8.43723 -3.89326
1012000 8.45077 -3.81813
1013000 8.3872 -3.59239
1014000 8.42314 -3.79651
1015000 8.41115 -3.79193
1016000 8.40599 -3.79659
1017000 8.37446 -3.7087
1018000 8.41855 -3.84818
1019000 8.37086 -3.68831
1020000 8.39528 -3.71587
1021000 8.43678 -3.82854
1022000 8.41818 -3.72036
1023000 8.40102 -3.88332
1024000 8.45982 -3.76397
1025000 8.4311 -3.76677
1026000 8.41899 -3.6498
1027000 8.44293 -3.81135
1028000 8.43712 -3.92463
1029000 8.39995 -3.84919
1030000 8.38811 -3.63487
1031000 8.49809 -3.98249
1032000 8.41822 -3.70691
1033000 8.39259 -3.67328
1034000 8.40171 -3.78658
1035000 8.36718 -3.71032
1036000 8.36407 -3.74823
1037000 8.38169 -3.61995
1038000 8.36287 -3.65774
1039000 8.42565 -3.86451
1040000 8.42685 -3.79635
1041000 8.41953 -3.84347
1042000 8.41986 -3.77245
1043000 8.42016 -3.74561
1044000 8.37384 -3.65239
1045000 8.39064 -3.76693
1046000 8.38288 -3.61761
1047000 8.37686 -3.65602
1048000 8.38147 -3.61871
1049000 8.40155 -3.74103
1050000 8.38288 -3.56566
1051000 8.40624 -3.69026
1052000 8.42803 -3.86277
1053000 8.37832 -3.64999
1054000 8.39634 -3.65197
1055000 8.41838 -3.74686
1056000 8.37393 -3.55418
1057000 8.39116 -3.67931
1058000 8.38583 -3.66028
1059000 8.40883 -3.67028
1060000 8.44053 -3.90269
1061000 8.44273 -3.83031
1062000 8.4134 -3.80432
1063000 8.44997 -3.80727
1064000 8.45035 -3.77608
1065000 8.42393 -3.92119
1066000 8.39505 -3.66181
1067000 8.36609 -3.70603
1068000 8.45333 -3.92377
1069000 8.43175 -3.82488
1070000 8.48971 -3.9472
1071000 8.41728 -3.83808
1072000 8.3627 -3.55621
1073000 8.38694 -3.76513
1074000 8.39733 -3.76059
1075000 8.38399 -3.59905
1076000 8.39651 -3.71744
1077000 8.42725 -3.8478
1078000 8.45692 -3.79471
1079000 8.39215 -3.70267
1080000 8.39504 -3.70131
1081000 8.39386 -3.68987
1082000 8.39912 -3.63496
1083000 8.36572 -3.67302
1084000 8.45485 -3.84562
1085000 8.38525 -3.71521
1086000 8.4432 -3.80542
1087000 8.39246 -3.80081
1088000 8.37506 -3.65371
1089000 8.37819 -3.69513
1090000 8.35615 -3.62928
1091000 8.37893 -3.71913
1092000 8.41978 -3.68565
1093000 8.42405 -3.79768
