# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
3250000 8.0716 1.88983
3251000 8.12146 -4.23782
3252000 8.09932 -4.14297
3253000 8.09385 -4.09699
3254000 8.10088 -4.13056
3255000 8.0912 -4.06465
3256000 8.10857 -4.13593
3257000 8.10359 -4.14312
3258000 8.09269 -4.13549
3259000 8.09937 -4.14861
3260000 8.09807 -4.10497
3261000 8.06709 -4.11378
3262000 8.12891 -4.22325
3263000 8.09899 -4.12266
3264000 8.09701 -4.13467
3265000 8.10208 -4.15247
3266000 8.08478 -4.09681
3267000 8.08365 -4.05093
3268000 8.10385 -4.18463
3269000 8.10346 -4.24713
3270000 8.09174 -4.05096
3271000 8.07979 -4.04439
3272000 8.09371 -4.14919
3273000 8.08662 -4.11605
3274000 8.10081 -4.10125
3275000 8.08066 -4.04607
3276000 8.09063 -4.08092
3277000 8.0857 -4.03074
3278000 8.07158 -4.04356
3279000 8.06956 -4.09089
3280000 8.11 -4.15694
3281000 8.07311 -4.00059
3282000 8.10106 -4.16515
3283000 8.06064 -3.98361
3284000 8.10456 -4.14715
3285000 8.05995 -4.00821
3286000 8.10556 -4.13351
3287000 8.08678 -4.09646
3288000 8.09817 -4.11394
3289000 8.09763 -4.13431
3290000 8.06884 -4.07098
3291000 8.10036 -4.17877
3292000 8.11586 -4.21552
3293000 8.06946 -4.03914
3294000 8.11666 -4.19805
3295000 8.0691 -4.02465
3296000 8.10086 -4.11191
3297000 8.07249 -4.05281
3298000 8.10887 -4.12807
3299000 8.09822 -4.15223
3300000 8.07426 -4.06585
3301000 8.09697 -4.10202
3302000 8.06445 -4.07112
3303000 8.06469 -4.0339
3304000 8.07688 -4.05464
3305000 8.06313 -4.01547
3306000 8.08861 -4.09917
3307000 8.09035 -4.07788
3308000 8.09547 -4.11129
3309000 8.09885 -4.10373
3310000 8.08358 -4.13113
3311000 8.10284 -4.16115
3312000 8.11565 -4.1867
3313000 8.09654 -4.16509
3314000 8.10446 -4.17193
3315000 8.08429 -4.10518
3316000 8.08502 -4.07622
3317000 8.10567 -4.1696
3318000 8.09633 -4.13164
3319000 8.06143 -4.04002
3320000 8.09408 -4.15445
3321000 8.0773 -4.07561
3322000 8.12137 -4.17321
3323000 8.09952 -4.11985
3324000 8.07928 -4.08303
3325000 8.10797 -4.18106
3326000 8.08803 -4.0978
3327000 8.09115 -4.11745
3328000 8.10294 -4.05964
3329000 8.07824 -4.0633
3330000 8.08908 -4.05649
3331000 8.07973 -4.09909
3332000 8.09866 -4.16016
3333000 8.11632 -4.21792
3334000 8.08494 -4.04228
3335000 8.07803 -4.07053
