# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
3750000 7.6884 1.97944
3751000 7.694 -4.27369
3752000 7.64584 -4.06199
3753000 7.61788 -3.98853
3754000 7.65942 -4.12193
3755000 7.67932 -4.14392
3756000 7.67943 -4.17018
3757000 7.64695 -4.00955
3758000 7.64162 -4.0599
3759000 7.65278 -4.09669
3760000 7.6586 -4.0208
3761000 7.65658 -4.05573
3762000 7.66727 -4.13506
3763000 7.65548 -4.00064
3764000 7.66567 -4.1042
3765000 7.63216 -3.93547
3766000 7.66296 -4.08214
3767000 7.6578 -4.08188
3768000 7.65217 -4.04295
3769000 7.66416 -4.16994
3770000 7.65853 -4.11871
3771000 7.68256 -4.20188
3772000 7.6907 -4.21888
3773000 7.66433 -4.19981
3774000 7.69199 -4.16263
3775000 7.6632 -4.07859
3776000 7.57953 -3.83938
3777000 7.6681 -4.12285
3778000 7.62279 -3.86828
3779000 7.62632 -3.95984
3780000 7.68266 -4.1512
3781000 7.67596 -4.16054
3782000 7.6434 -4.03614
3783000 7.67044 -4.1036
3784000 7.64991 -4.07772
3785000 7.61961 -3.96997
3786000 7.65691 -4.0718
3787000 7.68126 -4.27576
3788000 7.65556 -4.07951
3789000 7.69094 -4.20887
3790000 7.63113 -3.99498
3791000 7.63973 -4.01743
3792000 7.6341 -4.00301
3793000 7.64178 -3.98442
3794000 7.64363 -4.07563
3795000 7.64552 -4.02623
3796000 7.64525 -4.04736
3797000 7.64688 -4.03821
3798000 7.67928 -4.19233
3799000 7.67365 -4.13737
3800000 7.64468 -4.04772
3801000 7.66274 -4.02996
3802000 7.66702 -4.14182
3803000 7.656 -4.11632
3804000 7.63426 -3.97602
3805000 7.6357 -3.9781
3806000 7.64391 -3.92243
3807000 7.63097 -3.97388
3808000 7.65706 -4.0653
3809000 7.65294 -4.06775
3810000 7.64056 -4.0963
3811000 7.65491 -4.04503
3812000 7.67044 -4.11964
3813000 7.67618 -4.11966
3814000 7.68936 -4.24718
3815000 7.63521 -4.05026
3816000 7.6783 -4.14895
3817000 7.669 -4.16678
3818000 7.65328 -4.08413
3819000 7.65993 -4.09251
3820000 7.67239 -4.14936
3821000 7.63942 -3.99906
3822000 7.68065 -4.10509
3823000 7.65009 -4.06033
3824000 7.64203 -4.06647
3825000 7.66145 -4.06122
3826000 7.65694 -4.09642
3827000 7.65941 -4.11882
3828000 7.64071 -3.93615
3829000 7.64265 -4.0788
3830000 7.68037 -4.19208
3831000 7.66105 -4.10846
3832000 7.64603 -4.05343
3833000 7.67952 -4.1586
3834000 7.65792 -4.13018
3835000 7.6939 -4.23309
3836000 7.64663 -4.12238
3837000 7.64856 -4.07826
3838000 7.67256 -4.10912
3839000 7.65955 -4.14494
3840000 7.65475 -4.10101
3841000 7.67232 -4.19046
3842000 7.69252 -4.24549
3843000 7.70987 -4.25889
3844000 7.66 -4.09857
3845000 7.68002 -4.15714
3846000 7.66888 -4.08379
3847000 7.66581 -4.16837
3848000 7.67383 -4.19797
3849000 7.64501 -3.97836
3850000 7.65595 -4.05292
3851000 7.65725 -4.1396
3852000 7.65464 -4.1264
3853000 7.62536 -4.04244
3854000 7.66058 -4.12694
3855000 7.67189 -4.0924
3856000 7.63414 -4.03625
3857000 7.68521 -4.20889
3858000 7.70129 -4.21859
3859000 7.64249 -4.01412
3860000 7.66075 -4.06335
3861000 7.66029 -4.08407
3862000 7.65629 -4.03471
3863000 7.6866 -4.18766
3864000 7.70029 -4.23077
3865000 7.64683 -4.06567
3866000 7.65651 -4.16147
3867000 7.65401 -4.11809
3868000 7.66994 -4.13108
3869000 7.67864 -4.22197
3870000 7.623 -3.93441
3871000 7.62069 -3.95781
3872000 7.66142 -4.10103
3873000 7.66735 -4.06992
3874000 7.68283 -4.17431
3875000 7.62747 -4.0014
3876000 7.63777 -3.98056
3877000 7.66919 -4.19545
3878000 7.66952 -4.17192
3879000 7.63999 -3.95707
3880000 7.6347 -4.03645
3881000 7.63902 -4.04215
3882000 7.64202 -3.99479
3883000 7.63577 -4.02876
3884000 7.67588 -4.18839
3885000 7.66159 -4.11845
3886000 7.66765 -4.10992
3887000 7.64793 -4.03358
3888000 7.65942 -4.11256
3889000 7.64104 -4.05403
3890000 7.68206 -4.18145
3891000 7.64634 -4.08002
3892000 7.65151 -4.10749
3893000 7.65415 -4.10141
3894000 7.66403 -4.08389
3895000 7.69015 -4.21579
3896000 7.66225 -4.12383
3897000 7.66673 -4.1259
3898000 7.65548 -4.12099
3899000 7.66875 -4.10379
3900000 7.67774 -4.15864
3901000 7.68603 -4.15368
3902000 7.6711 -4.14996
3903000 7.68392 -4.23296
3904000 7.64119 -4.0497
3905000 7.66657 -4.18827
3906000 7.62737 -4.04785
3907000 7.67302 -4.13922
3908000 7.65966 -4.0512
3909000 7.65365 -4.14011
3910000 7.63874 -4.02573
3911000 7.67647 -4.14993
3912000 7.63525 -4.0574
3913000 7.63285 -3.98427
3914000 7.64621 -4.0434
3915000 7.64754 -4.0857
3916000 7.64236 -4.00524
3917000 7.64897 -4.06268
3918000 7.65276 -4.00923
3919000 7.65418 -4.04893
3920000 7.65419 -4.05071
3921000 7.65295 -4.0283
3922000 7.66155 -4.11794
3923000 7.68926 -4.26762
3924000 7.67059 -4.1999
3925000 7.67331 -4.15571
3926000 7.64698 -4.06329
3927000 7.65041 -4.02936
3928000 7.64946 -4.10841
3929000 7.6683 -4.07576
3930000 7.6579 -4.07966
3931000 7.60492 -3.9313
3932000 7.64152 -4.01629
3933000 7.6399 -4.03784
3934000 7.62168 -3.97525
3935000 7.65681 -4.0954
3936000 7.65259 -4.11146
3937000 7.65772 -4.09841
3938000 7.67039 -4.0835
3939000 7.69054 -4.27316
3940000 7.63801 -3.97242
3941000 7.64545 -4.02915
3942000 7.67571 -4.11341
3943000 7.6518 -4.10707
3944000 7.68685 -4.18337
3945000 7.66227 -4.1422
3946000 7.66068 -4.06958
3947000 7.67127 -4.16245
3948000 7.66075 -4.0856
3949000 7.65459 -4.06576
3950000 7.66422 -4.10431
3951000 7.63057 -3.94751
3952000 7.66215 -4.04999
3953000 7.68061 -4.21057
3954000 7.63335 -4.03796
3955000 7.64324 -4.12112
3956000 7.64444 -4.09945
3957000 7.65179 -4.10447
3958000 7.63522 -3.94271
3959000 7.6814 -4.17435
3960000 7.6697 -4.18581
3961000 7.65901 -4.05915
3962000 7.62946 -3.94195
3963000 7.65008 -4.10825
3964000 7.67241 -4.18305
3965000 7.62251 -4.03681
3966000 7.64405 -4.06379
3967000 7.66483 -4.18346
3968000 7.6695 -4.09102
3969000 7.66557 -4.15624
3970000 7.62968 -3.99958
3971000 7.67216 -4.07727
3972000 7.66445 -4.13439
3973000 7.66498 -4.20137
3974000 7.70671 -4.23013
3975000 7.6444 -4.03373
3976000 7.65137 -4.05151
3977000 7.67752 -4.12214
3978000 7.64571 -3.98044
3979000 7.65506 -4.04946
3980000 7.6599 -4.12603
3981000 7.63036 -4.0118
3982000 7.62484 -3.95147
3983000 7.63861 -4.02463
3984000 7.65834 -4.07385
3985000 7.65122 -4.09395
3986000 7.63635 -4.01911
3987000 7.67406 -4.23338
3988000 7.65839 -4.04906
3989000 7.65539 -4.13825
3990000 7.70325 -4.26524
3991000 7.62847 -3.98296
3992000 7.69279 -4.27553
3993000 7.66767 -4.11312
3994000 7.6233 -3.92683
3995000 7.68722 -4.14294
3996000 7.68445 -4.1793
3997000 7.65854 -4.06015
3998000 7.62307 -3.99804
3999000 7.67151 -4.17175
4000000 7.66122 -4.03443
