# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
7250000 7.15573 1.91068
7251000 7.1599 -4.19982
7252000 7.15874 -4.17032
7253000 7.17107 -4.23719
7254000 7.17251 -4.2389
7255000 7.15703 -4.17009
7256000 7.15698 -4.15836
7257000 7.16716 -4.22973
7258000 7.16047 -4.18396
7259000 7.16187 -4.16118
7260000 7.17373 -4.2339
7261000 7.15675 -4.16892
7262000 7.1656 -4.19551
7263000 7.15973 -4.17433
7264000 7.16405 -4.19782
7265000 7.1665 -4.2045
7266000 7.15946 -4.17895
7267000 7.16022 -4.173
7268000 7.15507 -4.17208
7269000 7.15713 -4.16924
7270000 7.16459 -4.2081
7271000 7.15801 -4.17909
7272000 7.16221 -4.18177
7273000 7.16817 -4.2444
7274000 7.17096 -4.23938
7275000 7.14994 -4.13712
7276000 7.16396 -4.18738
7277000 7.16538 -4.21427
7278000 7.15497 -4.15543
7279000 7.17897 -4.27251
7280000 7.15863 -4.17889
7281000 7.15901 -4.17091
7282000 7.1552 -4.14115
7283000 7.16917 -4.22055
7284000 7.16714 -4.21143
7285000 7.15615 -4.1885
7286000 7.15917 -4.16598
7287000 7.16407 -4.19769
7288000 7.16208 -4.17965
7289000 7.16219 -4.20571
7290000 7.16077 -4.18109
7291000 7.15507 -4.15427
7292000 7.16074 -4.17145
7293000 7.16815 -4.20659
7294000 7.16899 -4.2317
7295000 7.16013 -4.19442
7296000 7.1674 -4.21075
7297000 7.16013 -4.18294
7298000 7.16342 -4.20985
7299000 7.16156 -4.17706
7300000 7.16519 -4.19256
7301000 7.15854 -4.17119
7302000 7.16475 -4.20843
7303000 7.18376 -4.28519
7304000 7.1612 -4.18718
7305000 7.15797 -4.19062
7306000 7.16803 -4.19724
7307000 7.16548 -4.21001
7308000 7.15052 -4.14326
7309000 7.15856 -4.17021
7310000 7.16877 -4.22584
7311000 7.15931 -4.15989
7312000 7.15927 -4.18997
7313000 7.16006 -4.16771
7314000 7.15757 -4.18651
7315000 7.15551 -4.16554
7316000 7.17859 -4.2608
7317000 7.15784 -4.18848
7318000 7.18014 -4.2804
7319000 7.1479 -4.14214
7320000 7.17312 -4.23435
7321000 7.14741 -4.12621
7322000 7.16136 -4.15297
7323000 7.15982 -4.20075
7324000 7.16796 -4.21013
7325000 7.1716 -4.21762
7326000 7.14992 -4.1395
7327000 7.17924 -4.25941
7328000 7.16638 -4.19819
7329000 7.17204 -4.24144
7330000 7.15985 -4.17714
7331000 7.16803 -4.214
7332000 7.15846 -4.19959
7333000 7.15351 -4.17316
7334000 7.1607 -4.16768
7335000 7.16888 -4.21842
7336000 7.16531 -4.18547
7337000 7.16672 -4.21051
7338000 7.16591 -4.20632
7339000 7.15359 -4.14643
7340000 7.16678 -4.18988
7341000 7.15811 -4.17123
7342000 7.16888 -4.20812
7343000 7.15462 -4.14267
7344000 7.16489 -4.19221
7345000 7.15015 -4.14885
7346000 7.15979 -4.17688
7347000 7.1616 -4.17084
7348000 7.15818 -4.18203
7349000 7.16301 -4.19724
7350000 7.15705 -4.17277
7351000 7.17144 -4.2549
7352000 7.16616 -4.20872
7353000 7.16556 -4.20722
7354000 7.15208 -4.1447
7355000 7.16637 -4.2304
7356000 7.1644 -4.19565
7357000 7.15502 -4.15601
7358000 7.16524 -4.19445
7359000 7.17635 -4.26084
7360000 7.15923 -4.18269
7361000 7.15763 -4.16003
7362000 7.16238 -4.18133
7363000 7.17073 -4.25021
7364000 7.15606 -4.16647
7365000 7.16037 -4.1612
7366000 7.17204 -4.2636
7367000 7.14722 -4.11681
7368000 7.16259 -4.20292
7369000 7.15842 -4.17618
7370000 7.16197 -4.185
7371000 7.17154 -4.23934
7372000 7.15407 -4.14315
7373000 7.16416 -4.20529
7374000 7.17916 -4.25432
7375000 7.15637 -4.14853
7376000 7.16732 -4.20844
7377000 7.16885 -4.21327
7378000 7.16366 -4.22504
7379000 7.14948 -4.12883
7380000 7.17428 -4.25714
7381000 7.1548 -4.15637
7382000 7.16622 -4.2105
7383000 7.16503 -4.19791
7384000 7.16033 -4.17271
7385000 7.15695 -4.17306
7386000 7.17611 -4.28972
7387000 7.16109 -4.18616
7388000 7.15656 -4.16208
7389000 7.17622 -4.25375
7390000 7.16222 -4.19001
7391000 7.15511 -4.15076
7392000 7.1625 -4.20464
7393000 7.15672 -4.17283
7394000 7.15382 -4.17036
7395000 7.16715 -4.21764
7396000 7.17143 -4.25286
7397000 7.15736 -4.17008
7398000 7.15446 -4.17753
7399000 7.16338 -4.1865
7400000 7.16934 -4.23978
7401000 7.16117 -4.1847
7402000 7.16152 -4.19714
7403000 7.17014 -4.23949
7404000 7.1581 -4.16574
7405000 7.15817 -4.17404
7406000 7.16236 -4.23013
7407000 7.15349 -4.14842
7408000 7.16682 -4.20168
7409000 7.16621 -4.2066
7410000 7.16132 -4.1878
7411000 7.15286 -4.15428
7412000 7.17865 -4.27527
7413000 7.15685 -4.15513
7414000 7.15223 -4.16467
7415000 7.16844 -4.2357
7416000 7.16351 -4.1759
7417000 7.15858 -4.16599
7418000 7.16397 -4.19587
7419000 7.16856 -4.21962
7420000 7.14926 -4.13137
