# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
13500000 7.95917 1.78687
13501000 7.94896 -4.27913
13502000 7.9568 -4.29404
13503000 7.96245 -4.31095
13504000 7.95906 -4.29347
13505000 7.95446 -4.30557
13506000 7.95521 -4.31861
13507000 7.94917 -4.28007
13508000 7.95562 -4.29047
13509000 7.96108 -4.28734
13510000 7.9598 -4.29295
13511000 7.95435 -4.29774
13512000 7.9518 -4.2971
13513000 7.95371 -4.29944
13514000 7.9627 -4.31837
13515000 7.95972 -4.29173
13516000 7.9584 -4.3006
13517000 7.95599 -4.30565
13518000 7.95314 -4.30962
13519000 7.95873 -4.31134
13520000 7.95985 -4.29767
13521000 7.96404 -4.31784
13522000 7.95333 -4.29188
13523000 7.95325 -4.30057
13524000 7.95467 -4.2902
13525000 7.95901 -4.3081
13526000 7.95891 -4.28238
13527000 7.96153 -4.29557
13528000 7.95656 -4.31366
13529000 7.94452 -4.27617
13530000 7.95746 -4.30577
13531000 7.96089 -4.3017
13532000 7.95978 -4.29133
13533000 7.95959 -4.30578
13534000 7.94698 -4.2914
13535000 7.95361 -4.30649
13536000 7.96166 -4.30948
13537000 7.95634 -4.2864
13538000 7.96107 -4.30617
13539000 7.95792 -4.29824
13540000 7.95018 -4.29674
13541000 7.95564 -4.32265
13542000 7.95411 -4.29249
13543000 7.96397 -4.30889
13544000 7.96286 -4.30487
13545000 7.95675 -4.2935
13546000 7.95326 -4.29799
13547000 7.95209 -4.30678
13548000 7.95668 -4.29821
13549000 7.96239 -4.30032
13550000 7.96268 -4.31043
13551000 7.95107 -4.28817
13552000 7.95102 -4.3041
13553000 7.95145 -4.296
13554000 7.96016 -4.30235
13555000 7.9627 -4.29806
13556000 7.96103 -4.3031
13557000 7.95412 -4.30279
13558000 7.95128 -4.31049
13559000 7.94844 -4.27896
13560000 7.96178 -4.32049
13561000 7.96381 -4.29236
13562000 7.96527 -4.31143
13563000 7.95185 -4.28818
13564000 7.95038 -4.30079
13565000 7.95339 -4.30201
13566000 7.95781 -4.29592
13567000 7.964 -4.29856
13568000 7.96199 -4.30095
13569000 7.94925 -4.29678
13570000 7.94462 -4.28443
13571000 7.95638 -4.29508
13572000 7.96319 -4.29626
13573000 7.96415 -4.3153
13574000 7.95715 -4.29451
13575000 7.95297 -4.3064
13576000 7.95056 -4.29643
13577000 7.95399 -4.28923
13578000 7.96009 -4.30498
13579000 7.96398 -4.31587
13580000 7.96145 -4.29959
13581000 7.95355 -4.29084
13582000 7.9454 -4.29362
13583000 7.95373 -4.2945
13584000 7.96166 -4.2934
13585000 7.96663 -4.30774
13586000 7.95877 -4.30677
13587000 7.95586 -4.31233
13588000 7.94818 -4.29241
13589000 7.95161 -4.29384
13590000 7.95898 -4.29531
13591000 7.96143 -4.30713
13592000 7.96048 -4.30246
13593000 7.95517 -4.30013
13594000 7.94567 -4.28208
13595000 7.95264 -4.30371
13596000 7.95955 -4.2961
13597000 7.96061 -4.30131
13598000 7.96127 -4.30393
13599000 7.9544 -4.30507
13600000 7.94858 -4.29054
13601000 7.95241 -4.29876
13602000 7.96705 -4.32935
13603000 7.96185 -4.30245
13604000 7.95802 -4.30073
13605000 7.95258 -4.28256
13606000 7.9541 -4.31471
13607000 7.95368 -4.29979
13608000 7.95995 -4.30171
13609000 7.96126 -4.28648
13610000 7.95858 -4.30312
13611000 7.95305 -4.2977
13612000 7.94778 -4.30053
13613000 7.9521 -4.2949
13614000 7.95979 -4.30509
13615000 7.96211 -4.29446
13616000 7.95718 -4.29845
13617000 7.95091 -4.28828
13618000 7.95317 -4.30578
13619000 7.952 -4.29934
13620000 7.95891 -4.29092
13621000 7.96284 -4.3033
13622000 7.95785 -4.29749
13623000 7.95233 -4.30112
13624000 7.94706 -4.28579
13625000 7.95106 -4.28739
13626000 7.95996 -4.30245
13627000 7.96334 -4.30721
13628000 7.95776 -4.30996
13629000 7.95304 -4.29518
13630000 7.94825 -4.29104
13631000 7.94959 -4.28696
13632000 7.96029 -4.30109
13633000 7.96252 -4.29939
13634000 7.96051 -4.2957
13635000 7.95626 -4.31055
13636000 7.95089 -4.31132
13637000 7.95017 -4.29233
13638000 7.96103 -4.30908
13639000 7.96079 -4.29762
13640000 7.95948 -4.30742
13641000 7.94791 -4.27764
13642000 7.95118 -4.29984
13643000 7.95408 -4.29528
13644000 7.96308 -4.30302
13645000 7.95807 -4.2814
13646000 7.95445 -4.28754
13647000 7.94689 -4.26997
13648000 7.95174 -4.3037
13649000 7.96098 -4.31765
13650000 7.96187 -4.31807
13651000 7.96086 -4.3012
13652000 7.9573 -4.30192
13653000 7.94865 -4.28405
13654000 7.9538 -4.30369
13655000 7.95439 -4.2986
13656000 7.9574 -4.3109
13657000 7.96298 -4.30366
13658000 7.96176 -4.30657
13659000 7.94823 -4.28442
13660000 7.94854 -4.29371
13661000 7.95783 -4.29455
13662000 7.96036 -4.29464
13663000 7.96187 -4.30887
13664000 7.95773 -4.30202
13665000 7.94915 -4.29651
13666000 7.95253 -4.29452
13667000 7.95911 -4.30285
13668000 7.95812 -4.28763
13669000 7.96116 -4.31637
13670000 7.95689 -4.29027
13671000 7.95182 -4.29802
13672000 7.95289 -4.3165
13673000 7.95712 -4.2969
13674000 7.96148 -4.30458
13675000 7.95953 -4.29416
13676000 7.95763 -4.30935
13677000 7.94739 -4.28574
13678000 7.94863 -4.29291
13679000 7.95807 -4.29133
13680000 7.96753 -4.30605
13681000 7.9617 -4.30631
13682000 7.95345 -4.31028
