# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
6250000 8.14285 1.68412
6251000 8.12119 -4.08824
6252000 8.13079 -4.11073
6253000 8.13149 -4.1269
6254000 8.13161 -4.13236
6255000 8.12998 -4.17442
6256000 8.09568 -4.00409
6257000 8.11348 -4.00123
6258000 8.09525 -3.99832
6259000 8.13343 -4.07381
6260000 8.10795 -4.05826
6261000 8.13819 -4.16014
6262000 8.11959 -4.06921
6263000 8.11941 -4.04953
6264000 8.14479 -4.19895
6265000 8.12088 -4.07368
6266000 8.13846 -4.10529
6267000 8.0824 -3.93389
6268000 8.14311 -4.16343
6269000 8.08624 -4.00818
6270000 8.12402 -4.08381
6271000 8.09548 -4.02718
6272000 8.15247 -4.18203
6273000 8.12492 -4.10315
6274000 8.11177 -4.03566
6275000 8.13068 -4.0465
6276000 8.09601 -3.95389
6277000 8.12728 -4.0834
6278000 8.08844 -4.00045
6279000 8.16643 -4.21972
6280000 8.0836 -3.93725
6281000 8.1414 -4.10723
6282000 8.1007 -4.02332
6283000 8.13311 -4.11311
6284000 8.10729 -4.04115
6285000 8.13436 -4.15645
6286000 8.10467 -4.06258
6287000 8.1057 -4.05092
6288000 8.14395 -4.12081
6289000 8.12526 -4.1391
6290000 8.12436 -4.08619
6291000 8.10211 -4.04217
6292000 8.12104 -4.05475
6293000 8.16039 -4.20222
6294000 8.10834 -4.09863
6295000 8.14776 -4.22338
6296000 8.1269 -4.08773
6297000 8.14009 -4.17078
6298000 8.12161 -4.06936
6299000 8.13795 -4.12164
6300000 8.1053 -4.0259
6301000 8.1407 -4.1024
6302000 8.0845 -3.98997
6303000 8.1421 -4.11751
6304000 8.10124 -4.03358
6305000 8.16219 -4.24151
6306000 8.10027 -4.00958
6307000 8.12239 -4.06411
6308000 8.10302 -4.0483
6309000 8.10573 -4.0095
6310000 8.09037 -4.05121
6311000 8.10027 -3.98951
6312000 8.11073 -3.98418
6313000 8.1164 -4.04552
6314000 8.10924 -4.0456
6315000 8.1052 -4.09231
6316000 8.16967 -4.20899
6317000 8.1109 -4.06155
6318000 8.14249 -4.18267
6319000 8.11694 -4.10838
6320000 8.12112 -4.10194
6321000 8.11532 -4.05728
6322000 8.13569 -4.10692
6323000 8.1026 -4.08739
6324000 8.16457 -4.1937
6325000 8.10384 -4.0366
6326000 8.11075 -4.01739
6327000 8.11995 -4.07492
6328000 8.10897 -3.98457
6329000 8.13337 -4.06118
6330000 8.08649 -3.93222
6331000 8.12906 -4.0705
6332000 8.08107 -3.98894
6333000 8.14439 -4.19667
6334000 8.12359 -4.09121
6335000 8.11574 -4.07719
6336000 8.12392 -4.07857
6337000 8.13242 -4.13888
6338000 8.11229 -4.07974
6339000 8.11639 -4.0672
6340000 8.12671 -4.12597
6341000 8.12475 -4.12761
6342000 8.10986 -4.01847
6343000 8.11103 -4.0255
6344000 8.13299 -4.09439
6345000 8.12424 -4.11657
6346000 8.15491 -4.17362
6347000 8.1174 -4.10906
6348000 8.09423 -4.00359
6349000 8.1119 -4.04167
6350000 8.12667 -4.10986
6351000 8.10322 -4.03148
6352000 8.11999 -4.05324
6353000 8.09248 -3.93737
6354000 8.12832 -4.08283
6355000 8.09279 -3.97518
6356000 8.12686 -4.09012
6357000 8.10128 -4.03371
6358000 8.13939 -4.12367
6359000 8.10514 -4.05185
6360000 8.13016 -4.12333
6361000 8.09842 -4.01069
