# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1750000 7.2582 1.69407
1751000 7.22165 -4.06778
1752000 7.21754 -4.0456
1753000 7.22947 -4.0974
1754000 7.24192 -4.18855
1755000 7.22509 -4.07007
1756000 7.24065 -4.12953
1757000 7.21665 -4.05901
1758000 7.23522 -4.14181
1759000 7.20948 -3.97749
1760000 7.22622 -4.04197
1761000 7.24046 -4.14151
1762000 7.2336 -4.0899
1763000 7.23102 -4.07851
1764000 7.24836 -4.1854
1765000 7.21363 -4.02049
1766000 7.22979 -4.07264
1767000 7.23739 -4.09789
1768000 7.21906 -4.08775
1769000 7.23367 -4.10307
1770000 7.23471 -4.12559
1771000 7.21418 -4.0483
1772000 7.22145 -4.06108
1773000 7.21015 -4.01258
1774000 7.24277 -4.12806
1775000 7.22223 -4.06662
1776000 7.25766 -4.17873
1777000 7.2184 -4.05435
1778000 7.23289 -4.13605
1779000 7.23551 -4.10084
1780000 7.22838 -4.08233
1781000 7.23045 -4.09316
1782000 7.22596 -4.04882
1783000 7.21511 -4.03464
1784000 7.22668 -4.10577
1785000 7.2059 -4.00101
1786000 7.2428 -4.14716
1787000 7.23174 -4.08099
1788000 7.22262 -4.05074
1789000 7.23213 -4.10676
1790000 7.23411 -4.10698
1791000 7.20331 -3.99708
1792000 7.22942 -4.10419
1793000 7.24863 -4.17639
1794000 7.21381 -4.00223
1795000 7.22178 -4.08719
1796000 7.22367 -4.04775
1797000 7.22545 -4.09195
1798000 7.2354 -4.11293
1799000 7.242 -4.11391
1800000 7.22049 -4.03738
1801000 7.24917 -4.17248
1802000 7.22165 -4.03536
1803000 7.22819 -4.08502
1804000 7.24071 -4.12666
1805000 7.2448 -4.14907
1806000 7.23527 -4.09867
1807000 7.24484 -4.15272
1808000 7.24313 -4.14494
1809000 7.23393 -4.07374
1810000 7.21761 -4.04865
1811000 7.24169 -4.16023
1812000 7.24223 -4.13695
1813000 7.23923 -4.09287
1814000 7.2255 -4.0704
1815000 7.22679 -4.0915
1816000 7.23482 -4.06544
1817000 7.22499 -4.07151
1818000 7.21493 -4.03368
1819000 7.21417 -4.06407
1820000 7.22134 -4.04795
1821000 7.23021 -4.11307
1822000 7.23766 -4.09606
1823000 7.20971 -4.0224
1824000 7.23364 -4.08551
1825000 7.23466 -4.08852
1826000 7.22706 -4.08129
1827000 7.23947 -4.1458
1828000 7.20307 -3.95177
1829000 7.23401 -4.12441
1830000 7.2318 -4.12558
1831000 7.23532 -4.10005
1832000 7.23438 -4.10383
1833000 7.25541 -4.21967
1834000 7.22268 -4.03123
1835000 7.23546 -4.11784
1836000 7.2397 -4.13575
1837000 7.23291 -4.10321
1838000 7.22328 -4.04786
1839000 7.2321 -4.13295
1840000 7.22943 -4.08558
1841000 7.21409 -4.04886
1842000 7.23222 -4.10302
1843000 7.19616 -3.9267
1844000 7.2441 -4.13336
1845000 7.21791 -3.99651
1846000 7.21207 -3.99585
1847000 7.21685 -4.03545
1848000 7.23823 -4.16343
1849000 7.22915 -4.06091
1850000 7.2121 -4.02288
1851000 7.21676 -4.02898
1852000 7.21444 -4.01262
1853000 7.25277 -4.17751
1854000 7.23115 -4.0941
1855000 7.24193 -4.1386
1856000 7.22846 -4.09572
1857000 7.25018 -4.19267
1858000 7.22797 -4.09778
1859000 7.20729 -3.98774
1860000 7.22598 -4.07176
1861000 7.22191 -4.04678
1862000 7.23639 -4.10022
1863000 7.22391 -4.07277
1864000 7.23483 -4.08022
1865000 7.24222 -4.10986
1866000 7.2313 -4.10583
1867000 7.21089 -4.03336
1868000 7.2249 -4.09527
1869000 7.21548 -4.01576
1870000 7.21431 -4.00405
1871000 7.25275 -4.19659
1872000 7.23203 -4.09848
1873000 7.25021 -4.15939
1874000 7.23702 -4.10616
1875000 7.23479 -4.07531
1876000 7.21392 -4.03356
1877000 7.24327 -4.1653
1878000 7.23544 -4.12893
1879000 7.2198 -4.06
1880000 7.2279 -4.07931
1881000 7.23331 -4.12255
1882000 7.21141 -4.0039
1883000 7.24204 -4.1494
1884000 7.22817 -4.08779
1885000 7.24433 -4.18509
1886000 7.22896 -4.0813
1887000 7.23585 -4.12942
1888000 7.25143 -4.17371
1889000 7.21799 -4.06037
1890000 7.22941 -4.10357
1891000 7.23214 -4.12814
1892000 7.2087 -4.02905
1893000 7.22243 -4.03708
1894000 7.23519 -4.11993
1895000 7.23264 -4.08216
1896000 7.23777 -4.14473
1897000 7.21642 -4.04035
1898000 7.24303 -4.13896
1899000 7.24422 -4.15133
1900000 7.23152 -4.10925
1901000 7.21467 -4.00674
1902000 7.22269 -4.06372
1903000 7.23363 -4.05861
1904000 7.21592 -4.04247
1905000 7.22508 -4.05936
1906000 7.22341 -4.07231
1907000 7.20632 -3.96885
1908000 7.23407 -4.10965
1909000 7.22476 -4.06869
1910000 7.23357 -4.10593
1911000 7.22324 -4.09345
1912000 7.22945 -4.08658
1913000 7.20064 -3.96859
1914000 7.24426 -4.17107
1915000 7.21743 -4.03224
1916000 7.23414 -4.10515
1917000 7.22313 -4.11043
1918000 7.24559 -4.15048
1919000 7.24292 -4.12023
1920000 7.22439 -4.05485
1921000 7.22183 -4.08838
1922000 7.21805 -4.05956
1923000 7.2228 -4.04592
1924000 7.23748 -4.1324
