# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
4750000 9.04992 1.74166
4751000 9.30076 -3.9612
4752000 9.16002 -3.73863
4753000 9.31242 -3.97353
4754000 9.24005 -3.86292
4755000 9.25139 -3.68302
4756000 9.29914 -3.86134
4757000 9.16683 -3.72735
4758000 9.17605 -3.92794
4759000 9.24765 -3.79784
4760000 9.33628 -3.90941
4761000 9.21161 -3.66179
4762000 9.16325 -3.79958
4763000 9.11376 -3.67575
4764000 9.25584 -3.92214
4765000 9.11381 -3.83511
4766000 9.07463 -3.74391
4767000 9.00755 -3.7103
4768000 9.24547 -4.01352
4769000 9.06882 -3.71913
4770000 9.09808 -3.72315
4771000 9.14793 -3.91684
4772000 9.1148 -3.79845
4773000 9.14142 -3.69169
4774000 9.24147 -3.94375
4775000 9.16507 -3.88986
4776000 9.16884 -3.77929
4777000 9.36837 -3.88089
4778000 9.14584 -3.77391
4779000 9.22362 -4.0279
4780000 9.27213 -3.69153
4781000 9.36355 -3.89444
4782000 9.20552 -3.88206
4783000 9.16518 -3.77883
4784000 9.20734 -4.01315
4785000 9.1249 -3.99312
4786000 9.04567 -3.80701
4787000 9.16341 -3.8179
4788000 9.11108 -3.80744
4789000 9.19566 -3.74525
4790000 9.22712 -3.7883
4791000 9.23376 -3.80604
4792000 9.20663 -3.93099
4793000 9.13865 -3.86145
4794000 9.29184 -3.7853
4795000 9.1248 -3.88562
4796000 9.23549 -3.91451
4797000 9.16558 -3.7799
4798000 9.24982 -3.81056
4799000 9.18555 -4.05929
4800000 9.39417 -4.17123
4801000 9.2205 -3.77758
4802000 9.29046 -3.94795
4803000 9.10973 -3.47958
4804000 9.18035 -3.83066
4805000 9.13241 -3.77573
4806000 9.19219 -3.62235
4807000 9.13827 -3.87488
4808000 9.26109 -3.88952
4809000 9.36763 -3.94104
4810000 9.32315 -3.88203
4811000 9.19062 -3.95199
4812000 9.29533 -4.04902
4813000 9.14123 -3.62603
4814000 9.22945 -3.90055
4815000 9.08237 -3.66918
4816000 9.02586 -3.64847
4817000 9.0166 -3.83497
4818000 9.08451 -3.78903
4819000 9.20265 -3.90623
4820000 9.17205 -4.04601
4821000 9.11666 -3.75832
4822000 9.21614 -3.94413
4823000 9.18546 -3.80743
4824000 9.16265 -3.91039
4825000 9.11264 -3.67903
4826000 9.06067 -3.7179
4827000 9.03323 -3.79212
4828000 9.11991 -3.80496
4829000 9.04255 -3.80132
4830000 9.15364 -3.94374
4831000 9.16438 -3.97934
4832000 9.09508 -3.97286
4833000 9.25418 -3.99898
4834000 9.15534 -3.83475
4835000 9.16497 -4.03611
4836000 9.14951 -3.85848
4837000 9.13996 -3.82333
4838000 9.05745 -3.79709
4839000 9.13205 -4.00792
4840000 9.11901 -3.77058
4841000 9.00185 -3.78638
4842000 9.02344 -3.60377
4843000 9.13023 -3.76766
4844000 9.02239 -3.83031
4845000 9.19659 -3.98656
4846000 9.01288 -3.75952
4847000 9.06952 -3.76976
4848000 9.0726 -3.92616
4849000 9.08092 -3.98611
4850000 8.99355 -3.78592
4851000 9.21803 -3.89789
4852000 9.10404 -3.91082
4853000 9.08722 -3.88781
4854000 9.15043 -3.78141
4855000 9.25069 -3.98927
4856000 9.14198 -4.01267
4857000 9.15267 -3.79562
4858000 9.21958 -3.9049
4859000 9.24221 -3.925
4860000 9.22437 -4.03462
4861000 9.23205 -3.95929
4862000 9.07703 -3.68563
4863000 9.20397 -3.87299
4864000 9.24407 -3.83207
4865000 9.18037 -3.869
4866000 9.27012 -3.78218
4867000 9.18566 -3.8025
4868000 9.18272 -3.76206
4869000 9.19116 -3.68442
4870000 9.31775 -3.86503
4871000 9.3023 -3.86289
4872000 9.19369 -3.77509
4873000 9.36455 -4.06465
4874000 9.29104 -3.56076
4875000 9.2683 -3.80135
4876000 9.12614 -3.59426
4877000 9.05084 -3.74227
4878000 9.10023 -3.94162
4879000 9.33511 -3.73271
4880000 9.18718 -3.89566
4881000 9.07895 -3.86579
4882000 9.20382 -3.8551
4883000 9.23527 -3.89966
4884000 9.10261 -3.62997
4885000 8.91071 -3.69364
4886000 9.23173 -3.95514
4887000 9.14608 -3.63046
4888000 9.21152 -4.01712
4889000 9.08695 -3.8471
4890000 9.15552 -3.88495
4891000 9.11568 -3.90893
4892000 9.18063 -3.99198
4893000 9.21893 -3.75324
4894000 9.12016 -3.82668
4895000 9.1894 -3.88204
4896000 9.12316 -3.77079
4897000 9.15421 -3.73543
4898000 9.1954 -3.73215
4899000 9.1959 -3.87905
4900000 9.16363 -3.83936
4901000 9.09859 -3.71348
4902000 9.11315 -3.78668
4903000 9.19222 -3.86081
4904000 9.18367 -3.66841
4905000 9.17201 -3.84355
4906000 9.13488 -3.81489
4907000 9.23451 -3.98524
4908000 9.22162 -3.71037
4909000 9.13972 -3.54505
4910000 9.29774 -3.59825
4911000 9.23892 -3.76289
4912000 9.13566 -4.05458
4913000 9.09551 -3.78775
4914000 9.15489 -3.67971
4915000 9.18997 -3.72203
4916000 9.24605 -3.78649
4917000 9.18066 -3.90677
4918000 9.09234 -3.8043
4919000 9.31908 -3.99169
4920000 9.11282 -3.72432
4921000 9.09215 -3.96363
4922000 9.01103 -3.6343
4923000 9.08931 -3.94779
4924000 9.16813 -3.91284
4925000 9.18819 -3.75779
4926000 9.02451 -3.739
4927000 9.05149 -3.80291
4928000 9.0234 -3.60143
4929000 9.03113 -3.79293
4930000 9.11613 -3.77511
4931000 9.2557 -3.89403
4932000 9.13096 -3.67053
4933000 9.13526 -3.75471
4934000 9.15151 -3.77354
4935000 9.2512 -3.82986
4936000 9.11978 -3.69719
4937000 9.25637 -3.61624
4938000 9.10809 -3.6083
4939000 9.06627 -3.87891
4940000 9.10232 -3.78307
4941000 9.06411 -3.91252
4942000 8.98515 -3.82049
4943000 9.21897 -4.00691
4944000 9.1023 -3.77437
4945000 9.00102 -3.80018
4946000 9.12377 -3.79485
4947000 9.0864 -3.71332
4948000 9.20726 -3.89226
4949000 9.163 -3.81462
4950000 9.1636 -3.83432
4951000 9.18938 -3.73955
4952000 9.33395 -3.85402
4953000 9.02612 -3.68656
4954000 9.1162 -3.78243
4955000 9.31302 -3.87286
4956000 9.11234 -3.65244
4957000 9.45471 -4.08636
4958000 9.1482 -3.6578
4959000 9.34872 -4.03157
4960000 9.18649 -3.7564
4961000 9.32232 -3.86826
4962000 9.38352 -3.8327
4963000 9.27856 -3.7977
4964000 9.37987 -4.164
4965000 9.14464 -3.95164
4966000 9.19832 -3.86459
4967000 9.28991 -3.87516
4968000 9.20193 -3.82721
4969000 9.11578 -3.66189
4970000 9.25244 -3.90142
4971000 9.18654 -3.85692
4972000 9.1646 -3.71836
4973000 9.20311 -3.96946
4974000 9.18451 -3.77001
4975000 9.10788 -3.68537
4976000 9.19209 -3.79982
4977000 9.23013 -3.72813
4978000 9.22429 -3.7499
4979000 9.11337 -3.81662
4980000 9.16265 -3.72928
4981000 9.17477 -3.65092
4982000 9.19387 -3.759
4983000 9.32679 -4.0654
4984000 9.26359 -3.77687
4985000 9.25107 -3.90532
4986000 9.22857 -3.65739
4987000 9.27045 -3.96385
4988000 9.3135 -3.78724
4989000 9.32838 -4.03011
4990000 9.19242 -3.79979
4991000 9.30557 -3.85341
4992000 9.26078 -3.82402
4993000 9.30458 -3.82738
4994000 9.27163 -3.82678
4995000 9.16133 -3.64864
4996000 9.14857 -3.7339
4997000 9.22884 -3.78156
4998000 9.26905 -3.79397
4999000 9.38263 -3.97512
5000000 9.31782 -3.89003
