# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
5750000 8.57568 1.13059
5751000 8.52594 -4.15151
5752000 8.60124 -4.25314
5753000 8.56443 -4.17009
5754000 8.64066 -4.43513
5755000 8.5935 -4.24635
5756000 8.52308 -4.12204
5757000 8.50397 -4.05799
5758000 8.52285 -4.01972
5759000 8.51092 -3.90982
5760000 8.55006 -4.07414
5761000 8.56735 -4.23462
5762000 8.5512 -4.00732
5763000 8.51193 -4.00033
5764000 8.49777 -4.02302
5765000 8.53916 -4.09594
5766000 8.54621 -4.12509
5767000 8.53661 -4.0899
5768000 8.58494 -4.24225
5769000 8.53052 -4.15233
5770000 8.4986 -4.00225
5771000 8.5078 -4.08782
5772000 8.57801 -4.17091
5773000 8.56402 -4.18705
5774000 8.58658 -4.01992
5775000 8.57 -4.0389
5776000 8.55195 -4.13115
5777000 8.57835 -4.21463
5778000 8.54233 -4.17454
5779000 8.53538 -4.16951
5780000 8.58146 -4.18089
5781000 8.61208 -4.24477
5782000 8.519 -4.04653
5783000 8.5446 -4.10204
5784000 8.54155 -4.15257
5785000 8.48003 -3.96007
5786000 8.452 -3.96301
5787000 8.52925 -4.14358
5788000 8.52927 -4.05372
5789000 8.59086 -4.26372
5790000 8.58559 -4.23522
5791000 8.56532 -4.25093
5792000 8.53027 -4.15744
5793000 8.50554 -3.9826
5794000 8.54215 -4.05571
5795000 8.6077 -4.30964
5796000 8.5474 -4.09812
5797000 8.58041 -4.2454
5798000 8.57286 -4.11284
5799000 8.52036 -4.10794
5800000 8.5251 -4.06733
5801000 8.60541 -4.17525
5802000 8.562 -4.22152
5803000 8.50295 -3.99859
5804000 8.5491 -4.07655
5805000 8.55141 -4.14012
5806000 8.57034 -4.11256
5807000 8.52054 -4.03174
5808000 8.53906 -4.15919
5809000 8.51567 -3.97249
5810000 8.49612 -4.08947
5811000 8.59726 -4.30357
5812000 8.59952 -4.14731
5813000 8.57116 -4.13063
5814000 8.54961 -4.13279
5815000 8.55669 -4.24459
5816000 8.55937 -4.09891
5817000 8.49938 -4.09413
5818000 8.56336 -4.28354
5819000 8.53553 -4.18693
5820000 8.53755 -4.15306
5821000 8.56114 -4.21449
5822000 8.50391 -3.87653
5823000 8.48923 -4.0769
5824000 8.51864 -4.0759
5825000 8.53753 -4.12674
5826000 8.52447 -4.05095
5827000 8.52685 -4.13344
5828000 8.55599 -4.13062
5829000 8.49085 -4.04824
5830000 8.56485 -4.07724
5831000 8.53201 -4.11338
5832000 8.56462 -4.17214
5833000 8.5276 -4.048
5834000 8.59381 -4.24143
5835000 8.52382 -4.07909
5836000 8.55721 -4.18418
5837000 8.5453 -4.11334
5838000 8.58076 -4.26575
5839000 8.52468 -4.10114
5840000 8.54865 -4.26766
5841000 8.52456 -4.16041
5842000 8.54463 -4.13656
5843000 8.53896 -4.08066
5844000 8.53341 -4.0432
5845000 8.49805 -4.05072
5846000 8.51746 -3.99636
5847000 8.47957 -3.95526
5848000 8.53154 -4.1009
5849000 8.57067 -4.22337
5850000 8.50549 -3.99204
5851000 8.48554 -3.96275
5852000 8.5659 -4.1314
5853000 8.59773 -4.21319
5854000 8.52267 -4.0821
5855000 8.54727 -4.12552
5856000 8.52072 -4.13808
5857000 8.55959 -4.20541
5858000 8.52996 -4.05721
5859000 8.60149 -4.26475
5860000 8.58756 -4.28146
5861000 8.56065 -4.18137
5862000 8.54008 -4.16728
5863000 8.49317 -3.99511
5864000 8.52759 -4.0515
5865000 8.54167 -4.11685
5866000 8.61114 -4.36228
5867000 8.5832 -4.3306
5868000 8.48382 -4.04164
5869000 8.50798 -4.04334
5870000 8.59914 -4.23818
5871000 8.60071 -4.29225
5872000 8.53853 -4.01675
5873000 8.51465 -4.11827
5874000 8.54422 -4.17916
5875000 8.55956 -4.15046
5876000 8.55688 -4.15829
5877000 8.48763 -4.00237
5878000 8.52817 -4.12646
5879000 8.59124 -4.13912
5880000 8.57216 -4.30644
5881000 8.52103 -4.23658
5882000 8.55256 -4.09565
5883000 8.57166 -4.15208
5884000 8.53968 -4.23726
5885000 8.44527 -3.9318
5886000 8.51906 -3.94829
5887000 8.54607 -4.13202
5888000 8.5102 -4.0687
5889000 8.46284 -3.97988
5890000 8.62131 -4.2343
5891000 8.5928 -4.35583
5892000 8.51001 -4.02956
5893000 8.49963 -3.96242
5894000 8.53897 -4.13241
5895000 8.59587 -4.20467
5896000 8.50407 -4.00374
5897000 8.51848 -4.09285
5898000 8.53853 -4.18119
5899000 8.56144 -4.18621
5900000 8.5382 -4.19144
5901000 8.54185 -4.05213
5902000 8.54932 -4.19177
5903000 8.55759 -4.15723
5904000 8.54779 -4.07197
5905000 8.51303 -4.0921
5906000 8.4942 -4.0854
5907000 8.57857 -4.15051
