# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
20000000 10.6334 1.85249
20001000 10.7257 -4.69258
20002000 10.6566 -4.50386
20003000 10.6707 -4.56173
20004000 10.6633 -4.61077
20005000 10.6811 -4.63271
20006000 10.7081 -4.6394
20007000 10.6017 -4.41902
20008000 10.7246 -4.61664
20009000 10.6461 -4.44314
20010000 10.6727 -4.55002
20011000 10.6639 -4.59785
20012000 10.6933 -4.58465
20013000 10.6849 -4.60572
20014000 10.6972 -4.69102
20015000 10.6837 -4.58
20016000 10.6662 -4.48012
20017000 10.7164 -4.56802
20018000 10.6721 -4.5951
20019000 10.7295 -4.69721
20020000 10.7067 -4.68074
20021000 10.6348 -4.47964
20022000 10.6649 -4.51967
20023000 10.74 -4.73765
20024000 10.6097 -4.35258
20025000 10.6738 -4.56626
20026000 10.661 -4.46707
20027000 10.6585 -4.50009
20028000 10.6858 -4.52756
20029000 10.6828 -4.57368
20030000 10.7566 -4.74677
20031000 10.7056 -4.56762
20032000 10.709 -4.62786
20033000 10.7034 -4.54827
20034000 10.6826 -4.62738
20035000 10.6918 -4.56544
20036000 10.6457 -4.45887
20037000 10.6541 -4.55394
20038000 10.7079 -4.62256
20039000 10.6639 -4.55807
20040000 10.6517 -4.55135
20041000 10.687 -4.5589
20042000 10.6756 -4.52836
20043000 10.662 -4.49323
20044000 10.7153 -4.63157
20045000 10.6794 -4.61485
20046000 10.6541 -4.38649
20047000 10.637 -4.48541
20048000 10.7345 -4.66009
20049000 10.6542 -4.62082
20050000 10.6919 -4.55831
20051000 10.6588 -4.48167
20052000 10.6957 -4.59751
20053000 10.7077 -4.60087
20054000 10.6729 -4.48416
20055000 10.677 -4.56665
20056000 10.665 -4.50218
20057000 10.6876 -4.61035
20058000 10.6654 -4.50085
20059000 10.6409 -4.56236
20060000 10.6363 -4.58673
20061000 10.6258 -4.40982
20062000 10.5957 -4.24273
20063000 10.7632 -4.69739
20064000 10.7384 -4.68924
20065000 10.6487 -4.52818
20066000 10.6531 -4.45649
20067000 10.7275 -4.75801
20068000 10.7209 -4.61017
20069000 10.6751 -4.60487
20070000 10.6917 -4.5876
20071000 10.6704 -4.61476
20072000 10.6335 -4.50798
20073000 10.6447 -4.48424
20074000 10.6693 -4.5111
20075000 10.6201 -4.41401
20076000 10.6989 -4.60733
20077000 10.6462 -4.49668
20078000 10.7479 -4.66376
20079000 10.6867 -4.57693
20080000 10.6244 -4.3942
20081000 10.7218 -4.63565
20082000 10.6602 -4.47191
20083000 10.762 -4.71465
20084000 10.6733 -4.45939
20085000 10.6741 -4.57172
20086000 10.7646 -4.73964
20087000 10.6649 -4.51874
20088000 10.6894 -4.45688
20089000 10.7093 -4.67199
20090000 10.6928 -4.49743
20091000 10.6399 -4.4831
20092000 10.7069 -4.58461
20093000 10.6792 -4.5652
20094000 10.6094 -4.36335
20095000 10.6673 -4.42957
20096000 10.7525 -4.65627
20097000 10.7082 -4.51961
20098000 10.5783 -4.29523
20099000 10.6463 -4.40908
20100000 10.6383 -4.37594
20101000 10.6747 -4.51588
20102000 10.6929 -4.53065
20103000 10.6695 -4.50272
20104000 10.6888 -4.604
20105000 10.6573 -4.56829
20106000 10.6852 -4.65382
20107000 10.6515 -4.49606
20108000 10.7591 -4.7941
20109000 10.6241 -4.47737
20110000 10.6817 -4.62169
20111000 10.7286 -4.71949
20112000 10.6138 -4.36739
20113000 10.6702 -4.47803
20114000 10.7293 -4.5965
20115000 10.7083 -4.6247
20116000 10.7043 -4.6278
20117000 10.5812 -4.32841
20118000 10.673 -4.57093
20119000 10.6938 -4.56974
20120000 10.6894 -4.62427
20121000 10.677 -4.67271
20122000 10.5819 -4.45728
20123000 10.6039 -4.548
20124000 10.6697 -4.51804
20125000 10.6519 -4.41784
20126000 10.6875 -4.5254
20127000 10.7071 -4.52859
20128000 10.6412 -4.58268
20129000 10.6929 -4.54132
20130000 10.658 -4.47216
20131000 10.7063 -4.55355
20132000 10.7585 -4.79367
20133000 10.6784 -4.50702
20134000 10.7064 -4.66477
20135000 10.688 -4.64434
20136000 10.7722 -4.74128
20137000 10.6782 -4.50413
20138000 10.6753 -4.59125
20139000 10.7149 -4.69086
20140000 10.6671 -4.4623
20141000 10.7348 -4.73493
20142000 10.6805 -4.55979
20143000 10.7735 -4.79093
20144000 10.7155 -4.56781
20145000 10.6839 -4.52655
20146000 10.6277 -4.49525
20147000 10.63 -4.4747
20148000 10.6878 -4.63697
20149000 10.6874 -4.55378
20150000 10.6683 -4.56182
20151000 10.7734 -4.82003
20152000 10.7078 -4.6385
20153000 10.6625 -4.57234
20154000 10.7422 -4.70314
20155000 10.6668 -4.57755
20156000 10.6321 -4.43398
20157000 10.7072 -4.61451
20158000 10.6922 -4.57587
20159000 10.7121 -4.51541
20160000 10.6742 -4.49079
20161000 10.7233 -4.72202
20162000 10.6566 -4.54241
20163000 10.654 -4.53653
20164000 10.6847 -4.60189
20165000 10.6646 -4.58048
20166000 10.6837 -4.65711
20167000 10.6576 -4.55979
20168000 10.6927 -4.59041
20169000 10.6462 -4.45478
20170000 10.722 -4.65869
20171000 10.6947 -4.65257
20172000 10.6449 -4.52443
20173000 10.6991 -4.64341
20174000 10.6876 -4.64441
20175000 10.7244 -4.66319
20176000 10.6619 -4.57426
20177000 10.7111 -4.60371
20178000 10.6893 -4.5499
20179000 10.6232 -4.48511
20180000 10.668 -4.55629
20181000 10.6881 -4.54458
20182000 10.7153 -4.6247
20183000 10.7486 -4.69314
20184000 10.6942 -4.61949
20185000 10.6042 -4.34277
20186000 10.7397 -4.71854
20187000 10.6987 -4.57054
20188000 10.7289 -4.66278
20189000 10.7028 -4.6695
20190000 10.6875 -4.53439
20191000 10.7007 -4.58714
20192000 10.7346 -4.64283
20193000 10.6545 -4.46607
20194000 10.629 -4.40498
20195000 10.739 -4.71514
20196000 10.6564 -4.5253
20197000 10.704 -4.64079
20198000 10.6602 -4.4699
20199000 10.7237 -4.6464
20200000 10.7014 -4.57486
20201000 10.7287 -4.60574
20202000 10.6943 -4.62824
20203000 10.6873 -4.60518
20204000 10.6484 -4.53691
20205000 10.6662 -4.56566
20206000 10.6895 -4.65941
20207000 10.6418 -4.46299
20208000 10.6903 -4.55187
20209000 10.6997 -4.60886
20210000 10.6445 -4.50942
20211000 10.7061 -4.66696
20212000 10.7278 -4.56443
20213000 10.679 -4.54293
20214000 10.6582 -4.50559
20215000 10.7063 -4.71342
20216000 10.5963 -4.38986
20217000 10.7389 -4.7516
20218000 10.6236 -4.4368
20219000 10.6708 -4.49547
20220000 10.6974 -4.62825
20221000 10.686 -4.57764
20222000 10.6556 -4.54209
20223000 10.7206 -4.67528
20224000 10.7195 -4.60743
20225000 10.5951 -4.36772
20226000 10.7022 -4.55059
20227000 10.6907 -4.45914
20228000 10.7269 -4.52673
20229000 10.6328 -4.4592
20230000 10.7072 -4.53846
20231000 10.6914 -4.51439
20232000 10.6819 -4.58771
20233000 10.7016 -4.62602
20234000 10.6335 -4.47707
20235000 10.7041 -4.63653
20236000 10.708 -4.61686
20237000 10.7554 -4.6827
20238000 10.6632 -4.51642
20239000 10.7427 -4.74865
20240000 10.6384 -4.49503
20241000 10.7075 -4.66231
20242000 10.668 -4.49812
20243000 10.6187 -4.43351
20244000 10.6392 -4.44687
20245000 10.7584 -4.6885
20246000 10.74 -4.64936
20247000 10.7108 -4.56849
20248000 10.7325 -4.60926
20249000 10.7158 -4.57116
20250000 10.7812 -4.69478
