# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
24500000 8.56579 1.6692
24501000 8.60831 -4.67124
24502000 8.54898 -4.64224
24503000 8.602 -4.7941
24504000 8.62581 -4.80814
24505000 8.59546 -4.75922
24506000 8.51931 -4.52528
24507000 8.63618 -4.82098
24508000 8.53775 -4.59037
24509000 8.61809 -4.61673
24510000 8.67137 -4.74727
24511000 8.52356 -4.60508
24512000 8.56822 -4.75341
24513000 8.57349 -4.62547
24514000 8.55126 -4.57297
24515000 8.59802 -4.75877
24516000 8.50424 -4.48764
24517000 8.58681 -4.6445
24518000 8.55151 -4.62038
24519000 8.58156 -4.62118
24520000 8.62657 -4.7468
24521000 8.58077 -4.7161
24522000 8.55363 -4.56991
24523000 8.57244 -4.72841
24524000 8.59591 -4.68913
24525000 8.49852 -4.54038
24526000 8.62228 -4.70347
24527000 8.57684 -4.55046
24528000 8.58896 -4.66448
24529000 8.59691 -4.5771
24530000 8.64188 -4.812
24531000 8.54421 -4.60913
24532000 8.61648 -4.67228
24533000 8.56422 -4.55805
24534000 8.56821 -4.68875
24535000 8.47926 -4.5314
24536000 8.50484 -4.54584
24537000 8.59238 -4.69584
24538000 8.60839 -4.77123
24539000 8.64342 -4.84397
24540000 8.58289 -4.72983
24541000 8.53531 -4.52824
24542000 8.56504 -4.68824
24543000 8.5249 -4.54921
24544000 8.55856 -4.64967
24545000 8.54848 -4.62601
24546000 8.58943 -4.70042
24547000 8.54089 -4.50682
24548000 8.52286 -4.53534
24549000 8.61159 -4.66084
24550000 8.56004 -4.62948
24551000 8.57165 -4.67692
24552000 8.52341 -4.52924
24553000 8.48171 -4.50771
24554000 8.54752 -4.59044
24555000 8.51678 -4.59496
24556000 8.57313 -4.57005
24557000 8.53479 -4.60798
24558000 8.52039 -4.55323
24559000 8.54717 -4.56891
24560000 8.60389 -4.72938
24561000 8.55459 -4.62785
24562000 8.55477 -4.6816
24563000 8.51214 -4.52425
24564000 8.5711 -4.56904
24565000 8.57672 -4.64617
24566000 8.56763 -4.60607
24567000 8.60627 -4.66433
24568000 8.55854 -4.60981
24569000 8.57455 -4.58582
24570000 8.61093 -4.8235
24571000 8.56321 -4.61426
24572000 8.53898 -4.61241
24573000 8.61767 -4.69234
24574000 8.55997 -4.70556
24575000 8.60618 -4.67796
24576000 8.58482 -4.68191
24577000 8.52306 -4.67208
24578000 8.55729 -4.55418
