# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
250000 8.82077 1.5953
251000 8.74939 -4.0103
252000 8.86771 -4.05011
253000 8.9007 -4.33149
254000 8.77765 -4.23504
255000 8.84043 -4.18929
256000 8.76113 -4.13536
257000 8.83212 -4.1326
258000 8.85859 -4.16206
259000 8.75982 -4.21011
260000 8.86986 -4.06891
261000 8.8255 -4.04696
262000 8.85285 -4.17809
263000 8.78357 -3.99287
264000 8.91131 -4.14182
265000 8.87476 -4.23681
266000 8.79572 -3.9198
267000 8.78305 -4.09206
268000 8.86195 -4.37604
269000 8.77319 -3.99784
270000 8.81515 -4.22688
271000 8.88864 -4.33619
272000 8.81731 -4.35152
273000 8.92009 -4.3521
274000 8.78642 -3.9189
275000 8.80617 -4.00268
276000 8.78867 -4.28918
277000 8.78923 -3.93461
278000 8.80022 -4.17636
279000 8.85311 -4.17298
280000 8.85526 -4.10399
281000 8.76968 -4.07565
282000 8.78649 -4.10472
283000 8.8859 -4.12149
284000 8.83695 -4.07979
285000 8.85211 -4.35187
286000 8.78897 -4.22897
287000 8.80368 -3.91852
288000 8.85905 -4.17968
289000 8.93423 -4.51064
290000 8.75523 -3.9968
291000 8.80531 -4.0357
292000 8.80402 -4.00356
293000 8.90807 -4.29138
294000 8.7693 -4.04536
295000 8.79046 -4.23485
296000 8.80911 -4.06686
297000 8.80134 -4.22761
298000 8.78437 -4.21147
299000 8.83868 -4.05304
300000 8.80431 -4.14646
301000 8.82443 -4.10411
302000 8.85731 -4.22942
303000 8.83833 -4.23168
304000 8.80463 -4.12094
305000 8.74542 -4.11062
306000 8.84627 -4.00656
307000 8.85818 -4.12285
308000 8.91257 -4.22692
309000 8.72922 -4.09132
310000 8.85492 -4.2718
311000 8.73475 -4.06307
312000 8.87692 -4.05183
313000 8.88027 -4.01018
314000 8.81991 -4.19352
315000 8.84774 -4.27099
316000 8.82279 -4.20864
317000 8.86522 -4.22343
318000 8.83193 -4.18527
319000 8.7807 -4.11988
320000 8.85166 -4.16769
321000 8.80564 -4.21731
322000 8.83972 -4.08642
