# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
10500000 11.3122 0.653453
10501000 11.2711 -4.18799
10502000 11.1076 -4.02837
10503000 11.3515 -4.35378
10504000 11.4666 -4.54376
10505000 11.6023 -4.39697
10506000 11.6307 -4.36709
10507000 11.538 -4.32195
10508000 11.4471 -4.3431
10509000 11.586 -4.3235
10510000 11.6621 -4.44392
10511000 11.4054 -4.38551
10512000 11.6618 -4.15897
10513000 11.3155 -4.05484
10514000 11.6108 -4.39034
10515000 11.4658 -4.36527
10516000 11.5211 -4.31572
10517000 11.3777 -4.18883
10518000 11.5372 -4.3086
10519000 11.5596 -4.33666
10520000 11.6137 -4.42423
10521000 11.5857 -4.19636
10522000 11.2996 -4.12969
10523000 11.6305 -4.31193
10524000 11.6216 -4.28109
10525000 11.5592 -4.41325
10526000 11.5007 -4.2933
10527000 11.6362 -4.25854
10528000 11.559 -4.23829
10529000 11.5829 -4.47146
10530000 11.4947 -4.31671
10531000 11.4085 -4.07234
10532000 11.5286 -4.36591
10533000 11.4189 -4.22545
10534000 11.8333 -4.5574
10535000 11.3736 -4.21273
10536000 11.3854 -4.3835
10537000 11.3681 -4.3284
10538000 11.3704 -4.28077
10539000 11.4843 -4.34311
10540000 11.3084 -4.25147
10541000 11.361 -4.25573
10542000 11.4992 -4.40982
10543000 11.5865 -4.43473
10544000 11.4247 -4.02978
10545000 11.4069 -4.35978
10546000 11.4953 -4.28892
10547000 11.5809 -4.34215
10548000 11.4773 -4.38943
10549000 11.3697 -4.24276
10550000 11.4375 -4.16146
10551000 11.6189 -4.28279
10552000 11.4847 -4.38205
10553000 11.746 -4.58144
10554000 11.4464 -4.23401
10555000 11.756 -4.58133
10556000 11.7357 -4.37598
10557000 11.7284 -4.38947
10558000 11.5614 -4.32552
10559000 11.7391 -4.14833
10560000 11.9003 -4.54469
10561000 11.7604 -4.28446
10562000 11.8091 -4.2963
10563000 11.7742 -4.41444
10564000 11.9259 -4.39076
10565000 11.5756 -4.44954
10566000 11.7252 -4.49827
10567000 11.6027 -4.65404
10568000 11.5022 -4.24834
10569000 11.5182 -4.44167
10570000 11.7748 -4.54474
10571000 11.4919 -4.42959
10572000 11.6929 -4.30084
10573000 11.6061 -4.57877
10574000 11.3911 -4.27799
10575000 11.5569 -4.02793
10576000 11.6493 -4.42222
10577000 11.6143 -4.2977
10578000 11.7101 -4.36384
10579000 11.5271 -4.32901
10580000 11.6124 -4.23101
10581000 11.4948 -4.16738
10582000 11.4561 -4.30951
10583000 11.6366 -4.44247
