# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
2500000 11.1437 1.47905
2501000 11.1981 -4.6839
2502000 11.0216 -4.37513
2503000 11.0082 -4.40213
2504000 11.0429 -4.42439
2505000 11.1193 -4.40856
2506000 11.0753 -4.3496
2507000 11.0282 -4.35866
2508000 10.9626 -4.2093
2509000 11.1685 -4.4242
2510000 11.1565 -4.56433
2511000 11.1599 -4.67552
2512000 11.0401 -4.18667
2513000 10.8941 -4.14405
2514000 10.9352 -4.32448
2515000 11.0199 -4.31123
2516000 11.1458 -4.4504
2517000 11.1599 -4.45024
2518000 11.1334 -4.57834
2519000 11.1748 -4.61615
2520000 10.9871 -4.28732
2521000 10.9882 -4.33241
2522000 11.1191 -4.40682
2523000 11.1296 -4.62768
2524000 11.0944 -4.32198
2525000 11.0514 -4.26483
2526000 11.0527 -4.33137
2527000 11.0252 -4.39231
2528000 10.9932 -4.33007
2529000 11.048 -4.50988
2530000 11.1597 -4.34892
2531000 11.1428 -4.37442
2532000 11.0865 -4.47116
2533000 11.159 -4.45223
2534000 11.0707 -4.39183
2535000 11.0575 -4.45462
2536000 11.0326 -4.38868
2537000 11.0317 -4.28504
2538000 11.1088 -4.46697
2539000 11.1008 -4.42563
2540000 11.1371 -4.5081
2541000 11.1353 -4.42154
2542000 11.0873 -4.40742
2543000 11.0586 -4.44618
2544000 11.162 -4.48803
2545000 11.0222 -4.41546
2546000 11.0991 -4.34939
2547000 11.2169 -4.66449
2548000 11.0617 -4.28656
2549000 11.0344 -4.31409
2550000 10.9556 -4.22304
2551000 11.0553 -4.36246
2552000 11.024 -4.37072
2553000 10.8999 -4.16074
2554000 11.1723 -4.46731
2555000 11.1932 -4.48322
2556000 11.1008 -4.44028
2557000 11.0069 -4.26901
2558000 11.0838 -4.31329
2559000 11.0005 -4.25752
2560000 11.0304 -4.4764
2561000 11.0807 -4.43412
2562000 11.1258 -4.28352
2563000 11.2158 -4.48088
2564000 11.1533 -4.50289
2565000 11.0557 -4.49695
2566000 11.0133 -4.31406
2567000 10.9659 -4.33724
2568000 11.1374 -4.4586
2569000 11.0843 -4.51722
2570000 11.0796 -4.59862
2571000 10.9567 -4.21885
2572000 11.091 -4.27671
2573000 11.059 -4.39114
2574000 11.0666 -4.35817
2575000 11.1442 -4.51452
2576000 11.1285 -4.52381
2577000 11.0388 -4.4164
2578000 11.0569 -4.29357
2579000 11.1339 -4.41903
2580000 11.172 -4.4002
2581000 11.0702 -4.32771
2582000 11.0683 -4.44978
2583000 11.1214 -4.46768
2584000 10.9734 -4.06019
2585000 11.0441 -4.29511
2586000 11.0753 -4.32352
2587000 11.1569 -4.66106
2588000 11.1993 -4.50417
2589000 11.0028 -4.29675
2590000 11.0197 -4.18145
2591000 11.2024 -4.60518
2592000 11.0156 -4.17917
2593000 11.0167 -4.31291
2594000 11.0223 -4.35513
2595000 11.0852 -4.52853
2596000 11.0267 -4.27311
2597000 11.0787 -4.46905
2598000 11.0378 -4.48704
2599000 11.1178 -4.44789
2600000 10.9454 -4.15592
2601000 10.987 -4.30882
2602000 11.1407 -4.49398
2603000 11.0679 -4.30098
2604000 11.0391 -4.39284
2605000 11.0621 -4.3743
2606000 11.0273 -4.30144
2607000 11.0626 -4.38426
2608000 11.1512 -4.45677
2609000 11.1486 -4.47876
2610000 11.1114 -4.38522
2611000 11.0227 -4.23898
2612000 11.0303 -4.35808
2613000 11.1364 -4.50708
2614000 11.0894 -4.29072
2615000 11.0878 -4.43285
2616000 10.9708 -4.11981
2617000 11.1102 -4.59934
2618000 11.1512 -4.64041
2619000 11.0778 -4.43644
2620000 11.0842 -4.38986
2621000 10.9904 -4.31596
2622000 10.9884 -4.17484
2623000 11.0258 -4.51177
2624000 11.0635 -4.41737
2625000 11.132 -4.37557
2626000 11.1908 -4.50418
2627000 11.0367 -4.34156
2628000 11.0553 -4.28158
2629000 11.081 -4.41367
2630000 10.9991 -4.36543
2631000 11.0235 -4.33255
2632000 11.1769 -4.4332
2633000 11.0942 -4.46132
2634000 11.0503 -4.31324
2635000 11.0541 -4.38354
2636000 11.11 -4.53783
2637000 11.0774 -4.60647
2638000 11.037 -4.42028
2639000 10.9324 -4.39198
2640000 10.987 -4.35995
2641000 11.0241 -4.50084
2642000 11.155 -4.5448
2643000 10.9806 -4.2068
2644000 11.0638 -4.36496
2645000 11.0968 -4.27267
2646000 11.1223 -4.60694
2647000 11.093 -4.49422
2648000 11.0029 -4.40932
2649000 11.0066 -4.32459
2650000 11.1092 -4.54357
2651000 11.0827 -4.49924
2652000 11.0842 -4.51618
2653000 10.9733 -4.30293
2654000 11.0522 -4.33761
2655000 11.0928 -4.56627
2656000 10.9986 -4.36204
2657000 11.0284 -4.44616
2658000 11.1164 -4.58901
2659000 11.0264 -4.36809
2660000 11.0753 -4.31309
2661000 10.9797 -4.29939
2662000 11.0477 -4.37386
2663000 11.142 -4.53015
2664000 11.0283 -4.38932
2665000 10.9848 -4.37152
2666000 11.1019 -4.33884
2667000 11.0861 -4.56895
2668000 11.0772 -4.44267
2669000 11.1467 -4.3886
2670000 11.024 -4.27273
2671000 11.1016 -4.59702
2672000 11.0004 -4.2616
2673000 10.9835 -4.3017
2674000 11.015 -4.42429
2675000 10.9762 -4.2675
2676000 11.0118 -4.39203
2677000 11.0071 -4.30588
2678000 11.1007 -4.44103
2679000 11.1362 -4.51329
2680000 11.1035 -4.31207
2681000 11.0649 -4.34435
2682000 11.0089 -4.20694
2683000 11.1744 -4.62599
2684000 11.0714 -4.43059
2685000 11.1173 -4.43246
2686000 11.0103 -4.25226
2687000 11.0105 -4.4304
2688000 11.0531 -4.2357
2689000 11.1423 -4.64733
2690000 11.1664 -4.47092
2691000 11.0739 -4.36398
2692000 11.1148 -4.29687
2693000 11.1626 -4.52836
2694000 11.0593 -4.29101
2695000 11.0072 -4.29614
2696000 11.2019 -4.6852
2697000 11.2012 -4.57286
2698000 11.1755 -4.48747
2699000 11.0594 -4.26086
2700000 11.1306 -4.44911
2701000 11.133 -4.41223
2702000 11.131 -4.37324
2703000 11.0823 -4.50289
2704000 10.9052 -4.1371
2705000 10.9858 -4.29594
2706000 11.167 -4.59996
2707000 11.1749 -4.59126
2708000 11.0585 -4.4423
2709000 10.9817 -4.28069
2710000 11.1803 -4.5263
2711000 11.1166 -4.47751
2712000 11.1303 -4.40537
2713000 11.1764 -4.4662
2714000 11.1645 -4.57455
2715000 11.0136 -4.40708
2716000 11.0457 -4.43558
2717000 11.0609 -4.394
2718000 11.1008 -4.45257
2719000 11.094 -4.4182
2720000 11.2223 -4.75993
2721000 11.0841 -4.38858
2722000 11.0549 -4.45204
2723000 10.9968 -4.38214
2724000 11.1496 -4.43795
2725000 11.1431 -4.4933
2726000 11.023 -4.20696
2727000 11.149 -4.35557
2728000 11.122 -4.45201
2729000 11.1728 -4.59458
2730000 11.2813 -4.77723
2731000 11.0845 -4.36992
2732000 11.0251 -4.36601
2733000 11.0865 -4.50539
2734000 11.1024 -4.40849
2735000 11.1118 -4.45406
2736000 11.0835 -4.41671
2737000 11.0409 -4.41383
2738000 11.0748 -4.21929
2739000 11.1035 -4.54268
2740000 11.1938 -4.53575
2741000 11.1057 -4.49198
2742000 11.1126 -4.48111
2743000 11.0493 -4.28345
2744000 10.9959 -4.28149
2745000 11.0839 -4.37294
2746000 11.0891 -4.48671
2747000 11.1744 -4.58875
2748000 11.0436 -4.33385
2749000 11.0526 -4.3368
2750000 11.0869 -4.37069
