# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
8000000 10.7386 2.06608
8001000 10.7274 -4.19502
8002000 10.7355 -4.17233
8003000 10.7103 -4.11834
8004000 10.7459 -4.28502
8005000 10.7644 -4.25307
8006000 10.5594 -3.89504
8007000 10.7437 -4.27804
8008000 10.6418 -3.98184
8009000 10.7213 -4.12076
8010000 10.6846 -4.06875
8011000 10.781 -4.36882
8012000 10.813 -4.33156
8013000 10.751 -4.20269
8014000 10.7481 -4.20201
8015000 10.7349 -4.07953
8016000 10.699 -4.01707
8017000 10.6993 -4.08016
8018000 10.6982 -4.16034
8019000 10.7803 -4.28573
8020000 10.7 -4.12474
8021000 10.7632 -4.19057
8022000 10.7667 -4.22915
8023000 10.6846 -4.07516
8024000 10.7036 -4.14214
8025000 10.7025 -4.13637
8026000 10.6782 -4.12634
8027000 10.7046 -4.06284
8028000 10.6826 -4.09828
8029000 10.7255 -4.24774
8030000 10.673 -3.88932
8031000 10.7889 -4.14335
8032000 10.7177 -4.09009
8033000 10.6757 -3.95875
8034000 10.7343 -4.27586
8035000 10.7291 -4.19761
8036000 10.7621 -4.21475
8037000 10.7919 -4.22881
8038000 10.641 -3.94524
8039000 10.715 -4.01353
8040000 10.8048 -4.28372
8041000 10.6556 -3.75782
8042000 10.7779 -4.19162
8043000 10.7322 -4.21845
8044000 10.74 -4.18847
8045000 10.6685 -4.10344
8046000 10.709 -3.95941
8047000 10.794 -4.2312
8048000 10.7823 -4.12868
8049000 10.7421 -4.12091
8050000 10.7329 -4.11998
8051000 10.6949 -4.08137
8052000 10.6141 -3.89198
8053000 10.6803 -4.02541
8054000 10.7272 -4.11518
8055000 10.688 -4.06314
8056000 10.69 -3.97128
8057000 10.7202 -4.03698
8058000 10.6151 -3.97116
8059000 10.7283 -4.24192
8060000 10.8068 -4.35964
8061000 10.795 -4.32087
8062000 10.826 -4.25939
8063000 10.7405 -4.0531
8064000 10.8089 -4.30016
8065000 10.7064 -4.05519
8066000 10.7345 -3.99743
8067000 10.6926 -4.07527
8068000 10.7054 -3.9677
8069000 10.6413 -4.00276
8070000 10.7497 -4.13526
8071000 10.7186 -4.17404
8072000 10.6736 -3.97195
8073000 10.7111 -4.15247
8074000 10.5968 -3.9206
8075000 10.6998 -4.14831
8076000 10.7407 -4.18573
8077000 10.6705 -3.9708
8078000 10.6729 -3.9152
8079000 10.7353 -4.11439
8080000 10.7132 -4.0848
8081000 10.6094 -3.90509
8082000 10.7252 -4.16451
8083000 10.5948 -3.95013
8084000 10.7526 -4.06576
8085000 10.7015 -4.09208
8086000 10.6779 -4.01997
8087000 10.6434 -3.96418
8088000 10.6922 -3.96138
8089000 10.668 -4.08958
8090000 10.7229 -4.13914
8091000 10.6728 -4.1678
8092000 10.7116 -3.99764
8093000 10.6766 -4.14421
8094000 10.674 -4.03523
8095000 10.5532 -3.82461
8096000 10.74 -4.13574
8097000 10.7111 -4.03944
8098000 10.766 -4.24614
8099000 10.7927 -4.20954
8100000 10.651 -3.96318
8101000 10.705 -4.23751
8102000 10.648 -3.99984
8103000 10.6611 -4.0533
8104000 10.5927 -4.05369
8105000 10.8121 -4.28473
8106000 10.5535 -4.01476
8107000 10.7941 -4.34644
8108000 10.6508 -4.10856
8109000 10.6814 -4.104
8110000 10.6488 -4.06449
