# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
2000000 9.70339 1.45238
2001000 9.81432 -3.78368
2002000 9.87172 -3.78431
2003000 9.72433 -3.78613
2004000 9.73024 -4.04896
2005000 9.79008 -3.74739
2006000 9.70276 -3.84531
2007000 9.73097 -3.76603
2008000 9.72005 -3.73239
2009000 9.83915 -3.91193
2010000 9.79701 -3.87983
2011000 9.60017 -3.71374
2012000 9.74216 -3.89908
2013000 9.79346 -3.86884
2014000 9.77637 -3.93405
2015000 9.67951 -3.86739
2016000 9.6978 -3.84047
2017000 9.73364 -3.71387
2018000 9.88634 -4.02228
2019000 9.78932 -3.77737
2020000 9.69263 -4.0062
2021000 9.83419 -3.94363
2022000 9.94794 -4.13302
2023000 9.95191 -4.02262
2024000 10.008 -3.88415
2025000 9.71442 -3.74121
2026000 10.0806 -4.02944
2027000 9.80727 -3.67148
2028000 9.81396 -3.87472
2029000 9.82623 -3.84704
2030000 9.80427 -3.58813
2031000 9.84879 -3.67955
2032000 9.89481 -4.03439
2033000 9.80093 -4.01194
2034000 9.84219 -3.89943
2035000 9.77126 -3.77537
2036000 9.84275 -3.90394
2037000 9.75328 -3.76401
2038000 9.71471 -3.55995
2039000 9.655 -3.75343
2040000 9.65667 -3.93574
2041000 9.6637 -3.75843
2042000 9.67156 -4.00378
2043000 9.51562 -3.7947
2044000 9.44483 -3.81655
2045000 9.55898 -4.03697
2046000 9.65332 -3.91514
2047000 9.62479 -3.83404
2048000 9.77664 -3.87848
2049000 9.56305 -3.79921
2050000 9.63642 -3.75083
2051000 9.59772 -3.8605
2052000 9.52919 -3.88282
2053000 9.53 -3.85716
2054000 9.44453 -3.69104
2055000 9.51821 -3.9251
2056000 9.80406 -3.99345
2057000 9.81321 -3.72002
2058000 9.604 -4.03454
2059000 9.65889 -3.85181
2060000 9.53867 -3.85769
2061000 9.77653 -3.91549
2062000 9.6526 -3.83178
2063000 9.75895 -3.50997
2064000 9.86576 -3.70008
2065000 9.71066 -3.87807
2066000 9.7103 -3.72301
2067000 9.87849 -3.94382
2068000 9.64976 -3.95924
2069000 9.76615 -4.00472
2070000 9.80836 -4.07756
2071000 9.68062 -3.94539
2072000 9.80461 -3.82682
2073000 9.68124 -3.89068
2074000 9.66549 -3.89582
2075000 9.69715 -3.87516
2076000 9.57547 -3.74045
2077000 9.66849 -3.92241
2078000 9.6382 -3.69472
2079000 9.75679 -3.77379
2080000 9.49842 -3.67893
2081000 9.60818 -3.86656
2082000 9.57549 -3.95056
2083000 9.45557 -3.88415
2084000 9.54267 -3.80925
2085000 9.54198 -4.0695
2086000 9.595 -3.80475
2087000 9.50225 -3.83171
2088000 9.75934 -3.82447
2089000 9.52611 -3.78361
2090000 9.64433 -3.80994
2091000 9.68031 -3.90892
2092000 9.66371 -3.80968
2093000 9.5446 -3.80983
2094000 9.86355 -3.85843
2095000 9.38139 -3.57581
2096000 9.44895 -3.73013
2097000 9.49967 -3.6795
2098000 9.60882 -4.02946
2099000 9.57629 -3.79607
2100000 9.66784 -3.94587
2101000 9.72042 -4.11111
2102000 9.60924 -3.94768
2103000 9.4907 -3.80679
2104000 9.63341 -3.76431
2105000 9.57737 -3.95945
2106000 9.75428 -3.89593
2107000 9.59702 -3.76222
2108000 9.73415 -3.97125
2109000 9.42205 -3.68652
2110000 9.54662 -3.95294
2111000 9.43803 -3.81043
2112000 9.4327 -3.80743
2113000 9.43873 -3.83507
2114000 9.52559 -3.59429
2115000 9.38049 -3.68362
2116000 9.36449 -3.666
2117000 9.35994 -3.75627
2118000 9.57188 -3.90546
2119000 9.62646 -3.91888
2120000 9.46752 -3.90067
2121000 9.51478 -4.00825
2122000 9.45375 -3.83004
2123000 9.50352 -3.89153
2124000 9.36243 -3.72127
2125000 9.45896 -3.77992
2126000 9.38393 -3.83872
2127000 9.36919 -3.73444
2128000 9.6555 -3.78358
2129000 9.47101 -3.47147
2130000 9.38776 -3.84426
2131000 9.58436 -4.04868
2132000 9.67811 -3.80409
2133000 9.5208 -4.00727
2134000 9.58413 -3.97495
2135000 9.51656 -3.9252
2136000 9.57933 -4.12119
2137000 9.62368 -3.90816
2138000 9.56045 -3.856
2139000 9.57552 -3.83242
2140000 9.71359 -3.90951
2141000 9.66531 -3.94654
2142000 9.63279 -3.79496
2143000 9.64086 -3.63461
2144000 9.57058 -3.9478
2145000 9.6132 -3.88561
2146000 9.5802 -3.93394
2147000 9.68319 -4.08312
2148000 9.47492 -3.64408
2149000 9.56564 -3.71456
2150000 9.61787 -3.78615
2151000 9.6564 -3.89299
2152000 9.76065 -4.06065
2153000 9.78052 -3.88855
2154000 9.77989 -3.94305
2155000 9.59456 -3.73619
2156000 9.60614 -4.01837
2157000 9.50414 -3.88368
2158000 9.5137 -3.63404
2159000 9.47747 -3.66316
2160000 9.56967 -3.87146
2161000 9.8357 -4.17727
2162000 9.67728 -3.90835
2163000 9.43962 -3.6356
2164000 9.66665 -4.00849
2165000 9.61237 -3.78509
2166000 9.61695 -3.80214
2167000 9.59316 -4.02152
2168000 9.6254 -3.96831
2169000 9.56883 -3.64124
2170000 9.60585 -3.94296
2171000 9.46169 -3.84651
2172000 9.73636 -4.00717
2173000 9.59414 -3.88615
2174000 9.5662 -3.83378
2175000 9.55206 -3.64012
2176000 9.43124 -3.72469
2177000 9.76849 -4.20329
2178000 9.40717 -3.74163
2179000 9.56469 -3.91892
2180000 9.58042 -3.67566
2181000 9.54411 -3.6241
2182000 9.7588 -3.80553
2183000 9.69266 -3.73388
2184000 9.74376 -3.94015
2185000 9.84535 -4.0125
2186000 9.96895 -3.96551
2187000 9.89967 -4.02475
2188000 9.9086 -3.81354
2189000 9.81573 -3.89197
2190000 10.0211 -3.90267
2191000 9.8631 -3.79989
2192000 9.71986 -3.68558
2193000 9.82996 -3.88918
2194000 9.85275 -3.97607
2195000 9.67285 -3.94257
2196000 9.63031 -3.88901
2197000 9.45395 -3.69568
2198000 9.55563 -3.78897
2199000 9.49411 -3.88461
2200000 9.55164 -3.91648
2201000 9.60222 -3.65318
2202000 9.53835 -3.84243
2203000 9.61945 -3.90735
2204000 9.58298 -3.86615
2205000 9.59588 -4.01144
2206000 9.38695 -3.75356
2207000 9.42698 -3.8199
2208000 9.56445 -3.81267
2209000 9.52916 -3.73822
2210000 9.67287 -3.82719
2211000 9.35077 -3.79536
2212000 9.56266 -4.14968
2213000 9.6717 -3.87756
2214000 9.68492 -3.90184
2215000 9.62292 -3.95812
2216000 9.58726 -3.95488
2217000 9.59871 -3.74503
2218000 9.71128 -3.98781
2219000 9.49938 -3.79671
2220000 9.60801 -3.94114
2221000 9.52544 -4.02003
2222000 9.46671 -3.84821
2223000 9.61438 -3.80146
2224000 9.56724 -3.73277
2225000 9.45593 -3.79726
2226000 9.35968 -3.84462
2227000 9.49375 -3.62686
2228000 9.48433 -3.8321
2229000 9.74869 -4.09699
2230000 9.73794 -3.87232
2231000 9.55975 -3.67824
2232000 9.5966 -3.53746
2233000 9.76189 -3.83471
2234000 9.74596 -3.90766
2235000 9.59515 -3.8089
2236000 9.46803 -3.70703
2237000 9.70053 -4.16828
2238000 9.62078 -3.7905
2239000 9.65301 -3.92732
2240000 9.78635 -4.0269
2241000 9.56623 -3.66735
2242000 9.62725 -3.82942
2243000 9.53491 -3.94366
2244000 9.62822 -3.67597
2245000 9.49268 -3.73921
2246000 9.6253 -3.94156
2247000 9.56024 -3.59008
2248000 9.54678 -3.92018
2249000 9.59118 -3.70411
2250000 9.64112 -3.73969
