# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
21250000 7.30104 2.06932
21251000 7.3169 -3.77966
21252000 7.31103 -3.71023
21253000 7.3184 -3.82559
21254000 7.32451 -3.87446
21255000 7.29596 -3.69462
21256000 7.33734 -3.79624
21257000 7.30298 -3.71977
21258000 7.30586 -3.73666
21259000 7.34207 -3.82073
21260000 7.33348 -3.75437
21261000 7.32527 -3.83355
21262000 7.33918 -3.83084
21263000 7.33162 -3.82507
21264000 7.31107 -3.78832
21265000 7.30409 -3.69493
21266000 7.31737 -3.75448
21267000 7.30431 -3.67083
21268000 7.31423 -3.85644
21269000 7.32371 -3.81477
21270000 7.30159 -3.70408
21271000 7.3228 -3.79698
21272000 7.33684 -3.83597
21273000 7.31877 -3.834
21274000 7.31632 -3.69462
21275000 7.33525 -3.79332
21276000 7.30492 -3.71214
21277000 7.31537 -3.77305
21278000 7.29847 -3.69635
21279000 7.35007 -3.93676
21280000 7.29309 -3.60116
21281000 7.36274 -3.9403
21282000 7.32166 -3.76065
21283000 7.30938 -3.76417
21284000 7.30327 -3.74124
21285000 7.31957 -3.82195
21286000 7.30688 -3.73498
21287000 7.3135 -3.74729
21288000 7.34061 -3.87451
21289000 7.32491 -3.83096
21290000 7.30555 -3.72965
21291000 7.32198 -3.83377
21292000 7.32006 -3.77203
21293000 7.33931 -3.81695
21294000 7.31984 -3.76895
21295000 7.31297 -3.82439
21296000 7.33658 -3.8648
21297000 7.31536 -3.82638
21298000 7.30812 -3.7799
21299000 7.34598 -3.93502
21300000 7.30454 -3.69023
21301000 7.304 -3.69011
21302000 7.32568 -3.79954
21303000 7.32089 -3.77786
21304000 7.30322 -3.69855
21305000 7.32471 -3.75823
21306000 7.29508 -3.66091
21307000 7.30657 -3.74694
21308000 7.31179 -3.77007
21309000 7.32372 -3.78052
21310000 7.26228 -3.59734
21311000 7.31497 -3.73929
21312000 7.32031 -3.75953
21313000 7.3315 -3.83768
21314000 7.30788 -3.72417
21315000 7.32089 -3.79662
21316000 7.32333 -3.71614
21317000 7.31231 -3.77231
21318000 7.31447 -3.72757
21319000 7.30332 -3.73092
21320000 7.32619 -3.83222
21321000 7.30757 -3.75174
21322000 7.30649 -3.6734
21323000 7.34291 -3.91499
21324000 7.30081 -3.65406
21325000 7.35201 -3.84955
21326000 7.32136 -3.79991
21327000 7.3148 -3.81162
21328000 7.34173 -3.86059
21329000 7.30924 -3.76038
21330000 7.32742 -3.82852
21331000 7.33549 -3.8125
21332000 7.31273 -3.76293
21333000 7.30791 -3.78518
21334000 7.31404 -3.71887
21335000 7.30238 -3.69773
21336000 7.32162 -3.79337
21337000 7.30067 -3.70359
21338000 7.30863 -3.68946
21339000 7.33191 -3.84483
21340000 7.31278 -3.7488
21341000 7.30481 -3.75878
21342000 7.31211 -3.76178
21343000 7.31643 -3.74376
21344000 7.30589 -3.73981
21345000 7.33834 -3.89325
21346000 7.35902 -4.00666
21347000 7.32077 -3.77494
