# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
24500000 7.72397 2.256
24501000 7.70412 -3.80994
24502000 7.71699 -3.71358
24503000 7.6887 -3.78514
24504000 7.70239 -3.83882
24505000 7.70664 -3.74253
24506000 7.72489 -3.90887
24507000 7.6858 -3.79994
24508000 7.72772 -3.97922
24509000 7.68881 -3.69585
24510000 7.72699 -3.83774
24511000 7.70348 -3.8565
24512000 7.71638 -3.8096
24513000 7.69264 -3.84836
24514000 7.65862 -3.59927
24515000 7.712 -3.82873
24516000 7.71419 -3.86256
24517000 7.72643 -3.84637
24518000 7.6748 -3.74804
24519000 7.6948 -3.84237
24520000 7.67913 -3.73199
24521000 7.717 -3.94001
24522000 7.71499 -3.83161
24523000 7.69435 -3.78358
24524000 7.71715 -3.78506
24525000 7.75578 -4.01074
24526000 7.71609 -3.8125
24527000 7.74167 -3.89983
24528000 7.71122 -3.81387
24529000 7.68495 -3.70429
24530000 7.74101 -3.97113
24531000 7.75677 -3.97554
24532000 7.77193 -4.01957
24533000 7.72164 -3.82937
24534000 7.68186 -3.70708
24535000 7.70118 -3.87787
24536000 7.69348 -3.82206
24537000 7.66508 -3.69701
24538000 7.71921 -3.893
24539000 7.70428 -3.87476
24540000 7.7045 -3.89897
24541000 7.70521 -3.86227
24542000 7.68091 -3.69564
24543000 7.7081 -3.79866
24544000 7.71356 -3.89284
24545000 7.68132 -3.81567
24546000 7.69705 -3.93322
24547000 7.67273 -3.66145
24548000 7.66797 -3.71238
24549000 7.68129 -3.71441
24550000 7.6969 -3.8784
24551000 7.72979 -3.74311
24552000 7.76047 -4.06763
24553000 7.68971 -3.81055
24554000 7.72434 -3.81481
24555000 7.71278 -3.83751
24556000 7.77022 -3.94454
24557000 7.7238 -3.80705
24558000 7.71659 -3.83104
24559000 7.73076 -3.90117
24560000 7.72322 -3.89744
24561000 7.69116 -3.77567
24562000 7.70781 -3.79189
24563000 7.6998 -3.81413
24564000 7.7101 -3.85334
24565000 7.73805 -3.98991
24566000 7.70068 -3.83051
24567000 7.69961 -3.92413
24568000 7.68611 -3.76809
24569000 7.72359 -4.01854
24570000 7.72439 -3.85111
24571000 7.7747 -4.08685
24572000 7.74082 -3.82579
24573000 7.69714 -3.8147
24574000 7.64834 -3.68779
24575000 7.73189 -3.9408
24576000 7.7515 -3.93674
24577000 7.73718 -3.98987
24578000 7.71203 -3.76707
24579000 7.68356 -3.76629
24580000 7.72046 -3.84466
24581000 7.74042 -3.91108
24582000 7.69168 -3.81459
24583000 7.66359 -3.61789
24584000 7.73822 -3.83298
24585000 7.66154 -3.66456
24586000 7.69678 -3.8378
24587000 7.73872 -3.93234
24588000 7.69627 -3.77553
24589000 7.69451 -3.83079
24590000 7.72097 -3.88732
24591000 7.71537 -3.97189
24592000 7.72664 -3.89766
24593000 7.75119 -4.042
24594000 7.70948 -3.85682
24595000 7.7232 -3.92765
24596000 7.74682 -4.05363
24597000 7.75911 -4.03571
24598000 7.70775 -3.82038
24599000 7.73558 -3.9365
24600000 7.725 -3.85952
24601000 7.66297 -3.69438
24602000 7.71067 -3.75208
24603000 7.66953 -3.65553
24604000 7.72215 -3.89048
24605000 7.73824 -3.88308
24606000 7.74423 -4.00861
24607000 7.70802 -3.81253
24608000 7.72552 -3.79937
24609000 7.74192 -3.98374
24610000 7.71028 -3.7748
24611000 7.77616 -3.98956
24612000 7.70679 -3.84533
