# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
750000 7.48877 2.14763
751000 7.47688 -3.31323
752000 7.46593 -3.21581
753000 7.46651 -3.20144
754000 7.48571 -3.34844
755000 7.49874 -3.32773
756000 7.50464 -3.25479
757000 7.48586 -3.33533
758000 7.48127 -3.31771
759000 7.50775 -3.26922
760000 7.4962 -3.3035
761000 7.49554 -3.32026
762000 7.52943 -3.31877
763000 7.4696 -3.2277
764000 7.49569 -3.32074
765000 7.49187 -3.29915
766000 7.50364 -3.38841
767000 7.49047 -3.32842
768000 7.4908 -3.3585
769000 7.48845 -3.27267
770000 7.4738 -3.31018
771000 7.47322 -3.34058
772000 7.48434 -3.20881
773000 7.48329 -3.36591
774000 7.52537 -3.30846
775000 7.51131 -3.39457
776000 7.52034 -3.3597
777000 7.52855 -3.46266
778000 7.48787 -3.29448
779000 7.51023 -3.39947
780000 7.51318 -3.33885
781000 7.51614 -3.40877
782000 7.49352 -3.30714
783000 7.50221 -3.33039
784000 7.54637 -3.58873
785000 7.48989 -3.40522
786000 7.47308 -3.31881
787000 7.4705 -3.25004
788000 7.46861 -3.17228
789000 7.44272 -3.14131
790000 7.43607 -3.18777
791000 7.44174 -3.18225
792000 7.47543 -3.27457
793000 7.44709 -3.16279
794000 7.46448 -3.22852
795000 7.46157 -3.28929
796000 7.47885 -3.22798
797000 7.47009 -3.25542
798000 7.45042 -3.23537
799000 7.48987 -3.27291
800000 7.45852 -3.16547
801000 7.4759 -3.27636
802000 7.49136 -3.34533
803000 7.48844 -3.33621
804000 7.54802 -3.46647
805000 7.49157 -3.33225
806000 7.49656 -3.21713
807000 7.4703 -3.23839
808000 7.45156 -3.14478
809000 7.43307 -3.08949
810000 7.44459 -3.17209
811000 7.47168 -3.27055
812000 7.47547 -3.32517
813000 7.4862 -3.24662
814000 7.4818 -3.28355
815000 7.51158 -3.46362
816000 7.51281 -3.30605
817000 7.49331 -3.42113
818000 7.49208 -3.28203
819000 7.46168 -3.2972
820000 7.47418 -3.35098
821000 7.52101 -3.44191
822000 7.46244 -3.18899
823000 7.45535 -3.27705
824000 7.45972 -3.20789
825000 7.45485 -3.08976
826000 7.45027 -3.21977
827000 7.46042 -3.27317
828000 7.50044 -3.26612
829000 7.46952 -3.34245
830000 7.50557 -3.40191
831000 7.4777 -3.30953
832000 7.469 -3.21888
833000 7.47329 -3.33689
834000 7.49671 -3.27624
835000 7.51923 -3.4233
836000 7.48517 -3.25303
837000 7.42913 -3.08635
838000 7.46929 -3.33398
839000 7.42393 -3.14165
840000 7.4721 -3.19696
841000 7.46882 -3.30139
842000 7.46547 -3.20811
843000 7.49509 -3.22301
844000 7.4754 -3.29981
845000 7.45385 -3.2642
846000 7.47757 -3.2806
847000 7.50557 -3.36481
848000 7.49167 -3.41121
849000 7.53515 -3.48252
850000 7.48394 -3.3499
851000 7.47565 -3.27185
852000 7.47644 -3.19359
853000 7.48418 -3.21882
854000 7.51061 -3.3897
855000 7.49114 -3.3451
856000 7.47586 -3.33209
857000 7.46784 -3.23015
858000 7.49058 -3.30371
859000 7.50362 -3.47864
860000 7.49291 -3.37652
861000 7.49782 -3.34228
862000 7.52566 -3.37012
863000 7.51383 -3.32994
