# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1000000 7.90425 2.54734
1001000 7.87624 -3.31403
1002000 7.88474 -3.24345
1003000 7.85609 -3.12017
1004000 7.89727 -3.36717
1005000 7.92943 -3.33266
1006000 7.83185 -3.15105
1007000 7.90022 -3.24108
1008000 7.83421 -2.97192
1009000 7.93097 -3.30849
1010000 7.89053 -3.22563
1011000 7.93028 -3.4897
1012000 7.93807 -3.36
1013000 7.90273 -3.21467
1014000 7.8635 -3.231
1015000 7.8533 -3.06804
1016000 7.93588 -3.37316
1017000 7.88051 -3.21798
1018000 7.91716 -3.48607
1019000 7.92945 -3.41766
1020000 7.88598 -3.33346
1021000 7.88791 -3.24851
1022000 7.92766 -3.27544
1023000 7.8966 -3.32415
1024000 7.89496 -3.34241
1025000 7.92381 -3.40016
1026000 7.91426 -3.33374
1027000 7.87655 -3.26299
1028000 7.90129 -3.23208
1029000 7.83152 -3.09363
1030000 7.89341 -3.21929
1031000 7.96115 -3.40417
1032000 7.87387 -3.04616
1033000 7.9429 -3.45633
1034000 7.88003 -3.31181
1035000 7.87688 -3.35442
1036000 7.84104 -3.14191
1037000 7.88827 -3.37214
1038000 7.90467 -3.28436
1039000 7.93208 -3.4697
1040000 7.9151 -3.26414
1041000 7.84526 -3.11578
1042000 7.86132 -3.13524
1043000 7.88862 -3.1783
1044000 7.89349 -3.36381
1045000 7.86177 -3.25336
1046000 7.85847 -3.2906
1047000 7.87537 -3.15847
1048000 7.84119 -3.19603
1049000 7.94931 -3.38566
1050000 7.84798 -3.19112
1051000 7.97351 -3.42898
1052000 7.85028 -3.06707
1053000 7.86528 -3.34093
1054000 7.93764 -3.2862
1055000 7.8696 -3.16875
1056000 7.96108 -3.36611
1057000 7.82922 -3.04189
1058000 7.93468 -3.51178
1059000 7.95673 -3.44864
1060000 7.8759 -3.16686
1061000 7.89534 -3.24033
1062000 7.90885 -3.25122
1063000 7.95836 -3.34256
1064000 7.94171 -3.49327
1065000 7.84176 -3.2061
1066000 7.91238 -3.30273
1067000 7.91179 -3.36706
1068000 7.94486 -3.46917
1069000 7.94087 -3.55273
1070000 7.91032 -3.34597
1071000 7.92333 -3.46076
1072000 7.93346 -3.1571
1073000 7.87649 -3.38858
1074000 7.84567 -3.23159
1075000 7.90403 -3.35309
1076000 8.00619 -3.59643
1077000 7.83019 -3.16384
1078000 7.88903 -3.20842
1079000 7.87728 -3.25333
1080000 7.94549 -3.42334
1081000 7.93382 -3.46997
1082000 7.85333 -3.22807
1083000 7.89304 -3.1352
1084000 7.93238 -3.30359
1085000 7.89863 -3.31878
1086000 7.88345 -3.29323
1087000 7.85453 -3.26423
1088000 7.91415 -3.31218
1089000 7.85612 -3.2056
1090000 7.87459 -3.17842
1091000 7.90493 -3.3349
1092000 7.93163 -3.42598
1093000 7.93605 -3.36992
1094000 7.8407 -3.20817
1095000 7.83187 -3.28684
1096000 7.91345 -3.26734
1097000 7.86272 -3.16122
1098000 7.9399 -3.53754
1099000 7.85112 -3.26596
1100000 7.89691 -3.43944
1101000 7.91347 -3.58401
1102000 7.9221 -3.3243
1103000 7.92726 -3.34169
1104000 7.85032 -3.07274
1105000 7.85059 -2.92591
1106000 7.9156 -3.3925
1107000 7.86985 -3.20974
1108000 7.91895 -3.1849
1109000 7.86415 -3.16233
1110000 7.88269 -3.12249
1111000 7.90457 -3.23176
1112000 7.9187 -3.29537
1113000 7.81781 -3.11531
1114000 7.95759 -3.41239
1115000 7.95046 -3.48031
1116000 7.8794 -3.27697
1117000 7.86595 -3.25672
1118000 7.8685 -3.15822
1119000 7.90367 -3.35254
1120000 7.89126 -3.23371
1121000 7.90463 -3.2853
1122000 7.86084 -3.06764
1123000 7.93849 -3.38204
1124000 7.92638 -3.31753
1125000 7.8393 -2.92786
1126000 7.88126 -3.28474
1127000 7.909 -3.37198
1128000 7.88922 -3.30839
1129000 7.93775 -3.36362
1130000 7.94399 -3.41153
1131000 7.89574 -3.384
1132000 7.98987 -3.54862
1133000 7.88968 -3.10898
1134000 7.93184 -3.46511
1135000 7.8194 -3.11452
1136000 7.88468 -3.08727
1137000 7.86288 -3.15081
1138000 7.88894 -3.26519
1139000 7.93118 -3.48217
1140000 7.8873 -3.19585
1141000 7.86758 -3.2178
1142000 7.87096 -3.21023
1143000 7.92694 -3.41704
1144000 7.8977 -3.17977
1145000 7.91215 -3.39412
1146000 7.91225 -3.45556
1147000 7.91084 -3.38685
1148000 7.81696 -3.07901
1149000 7.94604 -3.12078
1150000 7.9236 -3.40441
1151000 7.91413 -3.26187
1152000 7.92718 -3.44986
1153000 7.90588 -3.23607
1154000 7.8477 -3.06324
1155000 7.84914 -3.21287
1156000 7.91931 -3.5017
1157000 7.89546 -3.26515
1158000 7.79178 -3.04954
1159000 7.90453 -3.4309
1160000 7.91352 -3.40119
1161000 7.90605 -3.26558
1162000 7.93118 -3.35921
1163000 7.82946 -3.05108
1164000 7.87471 -3.30138
1165000 7.88303 -3.26473
1166000 7.8428 -3.00221
1167000 7.87723 -3.28152
1168000 7.91099 -3.31125
1169000 7.88542 -3.08009
1170000 7.89201 -3.17133
1171000 7.94543 -3.41151
1172000 7.8423 -3.12197
1173000 7.88008 -3.21546
1174000 7.92655 -3.36604
1175000 7.95839 -3.42138
1176000 7.84394 -3.12689
1177000 7.93778 -3.49485
1178000 7.85091 -3.24663
1179000 7.91454 -3.44557
1180000 7.92205 -3.42093
1181000 7.88991 -3.3157
1182000 7.83335 -2.98977
1183000 7.89996 -3.3554
1184000 7.97352 -3.68002
1185000 7.9179 -3.15958
1186000 7.91232 -3.36464
1187000 7.88943 -3.33853
1188000 7.89517 -3.18571
1189000 7.86481 -3.30576
1190000 7.88411 -3.0857
1191000 7.89753 -3.2933
1192000 7.89145 -3.2659
1193000 7.84201 -3.0719
1194000 7.90419 -3.27393
1195000 7.87272 -3.20329
1196000 7.94431 -3.45083
1197000 7.88861 -3.24606
1198000 7.91015 -3.23718
1199000 7.96528 -3.54731
1200000 7.8741 -3.10866
1201000 7.84742 -3.20118
1202000 7.91812 -3.38489
1203000 7.87545 -3.24821
1204000 7.8901 -3.35596
1205000 7.91011 -3.49867
1206000 7.89862 -3.30877
1207000 7.88619 -3.28609
1208000 7.92552 -3.37425
1209000 7.90765 -3.3301
1210000 7.92818 -3.39729
1211000 7.88286 -3.36549
1212000 7.92886 -3.37667
1213000 7.88985 -3.24605
1214000 7.91485 -3.30627
1215000 7.88584 -3.37849
1216000 7.87499 -3.22862
1217000 7.88527 -3.39943
1218000 7.88968 -3.23805
1219000 7.84023 -3.05831
1220000 7.88359 -3.38682
1221000 7.91657 -3.38606
1222000 7.8752 -3.405
1223000 7.83784 -3.10655
1224000 7.90587 -3.3594
1225000 7.92315 -3.50512
1226000 7.85676 -3.18647
1227000 7.883 -3.18935
1228000 7.87827 -3.13937
1229000 7.92853 -3.22705
1230000 7.90811 -3.21952
1231000 7.84019 -3.07872
1232000 7.86422 -3.24153
1233000 7.91608 -3.3439
1234000 7.91883 -3.31958
1235000 7.88328 -3.33637
1236000 7.89182 -3.36727
1237000 7.94562 -3.4004
1238000 7.9142 -3.35839
1239000 7.86728 -3.23629
1240000 7.86169 -3.0755
1241000 7.84486 -3.24484
1242000 7.89808 -3.22685
1243000 7.95293 -3.39192
1244000 7.83407 -3.0465
1245000 7.86048 -3.03797
1246000 7.95848 -3.49835
1247000 7.90542 -3.28353
1248000 7.84697 -3.09794
1249000 7.89078 -3.33106
1250000 7.84762 -3.08202
