# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
11000000 7.48647 2.13747
11001000 7.46305 -3.3542
11002000 7.48729 -3.4188
11003000 7.44574 -3.29008
11004000 7.50084 -3.54673
11005000 7.55401 -3.58195
11006000 7.52783 -3.48853
11007000 7.51365 -3.53488
11008000 7.556 -3.731
11009000 7.50463 -3.47047
11010000 7.47003 -3.34549
11011000 7.51 -3.49211
11012000 7.55203 -3.63028
11013000 7.51864 -3.47415
11014000 7.50306 -3.50609
11015000 7.51046 -3.51561
11016000 7.54005 -3.62939
11017000 7.5173 -3.5337
11018000 7.54977 -3.66908
11019000 7.48089 -3.42876
11020000 7.48327 -3.43452
11021000 7.50912 -3.57114
11022000 7.50857 -3.42971
11023000 7.47591 -3.44321
11024000 7.52794 -3.5078
11025000 7.52818 -3.49794
11026000 7.54729 -3.67155
11027000 7.52492 -3.53494
11028000 7.53604 -3.6525
11029000 7.53234 -3.59418
11030000 7.52822 -3.5519
11031000 7.53278 -3.55774
11032000 7.54294 -3.52461
11033000 7.5175 -3.52967
11034000 7.50548 -3.53613
11035000 7.49808 -3.501
11036000 7.50883 -3.46999
11037000 7.50539 -3.50859
11038000 7.50295 -3.40565
11039000 7.54448 -3.65915
11040000 7.46763 -3.34728
11041000 7.45939 -3.43658
11042000 7.48649 -3.47543
11043000 7.47212 -3.34637
11044000 7.48961 -3.4833
11045000 7.47404 -3.5418
11046000 7.50717 -3.51316
11047000 7.49357 -3.47677
11048000 7.50039 -3.51616
11049000 7.52068 -3.49406
11050000 7.47138 -3.30685
11051000 7.51733 -3.48228
11052000 7.51004 -3.57052
11053000 7.51183 -3.49048
11054000 7.55082 -3.54654
11055000 7.48724 -3.44785
11056000 7.5011 -3.44633
11057000 7.49073 -3.41034
11058000 7.48866 -3.48187
11059000 7.51671 -3.51043
11060000 7.48891 -3.51583
11061000 7.50333 -3.50771
11062000 7.49739 -3.47899
11063000 7.49517 -3.3796
11064000 7.4751 -3.38501
11065000 7.52189 -3.53003
11066000 7.52391 -3.47622
11067000 7.4971 -3.51023
11068000 7.48017 -3.4141
11069000 7.50166 -3.596
11070000 7.51548 -3.59064
11071000 7.52312 -3.53578
11072000 7.48645 -3.34452
11073000 7.45393 -3.38338
11074000 7.47475 -3.34899
11075000 7.45365 -3.31495
11076000 7.46386 -3.3597
11077000 7.43424 -3.25931
11078000 7.49296 -3.34612
11079000 7.46314 -3.34502
11080000 7.50608 -3.47733
11081000 7.50749 -3.45293
11082000 7.51072 -3.55487
11083000 7.50763 -3.5021
11084000 7.53648 -3.55022
11085000 7.50958 -3.55101
11086000 7.54021 -3.63976
11087000 7.4814 -3.40792
11088000 7.47684 -3.33789
11089000 7.45185 -3.42165
11090000 7.48918 -3.432
11091000 7.46762 -3.38477
11092000 7.42579 -3.27598
11093000 7.47889 -3.32649
11094000 7.50881 -3.47114
11095000 7.46686 -3.48572
11096000 7.54066 -3.64405
11097000 7.52264 -3.51115
11098000 7.5543 -3.7044
11099000 7.53795 -3.59408
11100000 7.52095 -3.53972
11101000 7.46466 -3.38233
11102000 7.48169 -3.3506
11103000 7.51569 -3.52843
11104000 7.5185 -3.53854
11105000 7.5058 -3.45689
11106000 7.47056 -3.41551
11107000 7.50564 -3.3648
11108000 7.48045 -3.44592
11109000 7.49573 -3.53379
11110000 7.48213 -3.50067
11111000 7.50258 -3.44667
11112000 7.49827 -3.40462
11113000 7.55072 -3.6785
11114000 7.5053 -3.43827
11115000 7.49462 -3.35209
11116000 7.47246 -3.35617
11117000 7.47973 -3.45532
11118000 7.4953 -3.49019
11119000 7.51071 -3.52284
11120000 7.51307 -3.5117
11121000 7.4902 -3.4062
11122000 7.51664 -3.45484
11123000 7.52212 -3.58786
11124000 7.49917 -3.49308
11125000 7.51368 -3.4445
11126000 7.50722 -3.55786
11127000 7.51518 -3.49374
11128000 7.49117 -3.49566
11129000 7.48833 -3.42667
11130000 7.45162 -3.34569
11131000 7.44557 -3.3451
11132000 7.50836 -3.54076
11133000 7.5225 -3.53814
11134000 7.50027 -3.49173
11135000 7.46885 -3.52875
11136000 7.51171 -3.49554
11137000 7.49951 -3.47199
11138000 7.51101 -3.47422
11139000 7.46874 -3.39418
11140000 7.49336 -3.44508
11141000 7.50709 -3.52597
11142000 7.46642 -3.43005
11143000 7.46525 -3.3588
11144000 7.46253 -3.38289
11145000 7.45626 -3.28346
11146000 7.48705 -3.51507
11147000 7.48757 -3.41203
11148000 7.4577 -3.43933
11149000 7.48983 -3.42284
11150000 7.49465 -3.47012
11151000 7.49913 -3.41291
11152000 7.49111 -3.49323
11153000 7.53606 -3.58312
11154000 7.5194 -3.582
11155000 7.53918 -3.62066
11156000 7.48843 -3.58159
11157000 7.51873 -3.52674
11158000 7.53493 -3.64658
11159000 7.52702 -3.50338
11160000 7.47228 -3.36466
11161000 7.4501 -3.33341
11162000 7.48059 -3.37193
11163000 7.47589 -3.3266
11164000 7.4696 -3.42639
11165000 7.47543 -3.42969
11166000 7.52804 -3.51715
11167000 7.52047 -3.72532
11168000 7.5204 -3.4982
11169000 7.52785 -3.59891
11170000 7.47385 -3.39071
11171000 7.50181 -3.4604
11172000 7.49796 -3.406
11173000 7.44794 -3.30454
11174000 7.48041 -3.38087
11175000 7.50355 -3.55829
11176000 7.4921 -3.41471
11177000 7.50823 -3.51526
11178000 7.53084 -3.57531
11179000 7.53813 -3.64672
11180000 7.50629 -3.58916
11181000 7.46317 -3.32644
11182000 7.46414 -3.24341
11183000 7.4731 -3.39912
11184000 7.45134 -3.25877
11185000 7.47962 -3.33407
11186000 7.48741 -3.28895
11187000 7.51125 -3.59059
11188000 7.47415 -3.36831
11189000 7.46265 -3.43536
11190000 7.49762 -3.42594
11191000 7.53718 -3.61362
11192000 7.49422 -3.48725
11193000 7.50298 -3.44763
11194000 7.54392 -3.66654
11195000 7.50519 -3.56647
11196000 7.50598 -3.51712
11197000 7.4935 -3.4215
11198000 7.45054 -3.24501
11199000 7.47447 -3.32398
11200000 7.45422 -3.34268
11201000 7.45978 -3.28045
11202000 7.4872 -3.44283
11203000 7.48065 -3.49223
11204000 7.50885 -3.48679
11205000 7.49671 -3.53945
11206000 7.4772 -3.49317
11207000 7.48744 -3.42164
11208000 7.49999 -3.48475
11209000 7.53763 -3.56163
11210000 7.49974 -3.47826
11211000 7.49701 -3.39696
11212000 7.50542 -3.50388
11213000 7.51643 -3.52668
11214000 7.4911 -3.45894
11215000 7.48763 -3.4452
11216000 7.51986 -3.54105
11217000 7.50575 -3.40538
11218000 7.48286 -3.41042
11219000 7.47334 -3.44685
11220000 7.49695 -3.43307
11221000 7.48248 -3.40892
11222000 7.46492 -3.39357
11223000 7.47991 -3.45782
11224000 7.48308 -3.2701
11225000 7.49156 -3.4913
11226000 7.45324 -3.32351
11227000 7.5518 -3.60648
11228000 7.52589 -3.50465
11229000 7.52054 -3.59651
11230000 7.52066 -3.5597
11231000 7.52646 -3.57073
11232000 7.51458 -3.47748
11233000 7.4966 -3.45441
11234000 7.49241 -3.43407
11235000 7.47105 -3.42745
11236000 7.43829 -3.23936
11237000 7.45555 -3.30811
11238000 7.54486 -3.55695
11239000 7.5414 -3.65163
11240000 7.49595 -3.36847
11241000 7.48761 -3.4794
11242000 7.50043 -3.49682
11243000 7.50124 -3.44617
11244000 7.52569 -3.55386
11245000 7.5053 -3.45428
11246000 7.51366 -3.60177
11247000 7.49773 -3.4246
11248000 7.50621 -3.53003
11249000 7.51186 -3.57673
11250000 7.5055 -3.4677
