# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
4750000 7.44107 2.52038
4751000 7.45918 -3.03919
4752000 7.39327 -2.74184
4753000 7.4098 -2.91244
4754000 7.43777 -3.07498
4755000 7.45963 -3.04346
4756000 7.44946 -2.97431
4757000 7.43638 -3.06338
4758000 7.45061 -3.07762
4759000 7.44817 -2.92568
4760000 7.45271 -2.94601
4761000 7.42845 -2.95084
4762000 7.47319 -3.01029
4763000 7.49607 -3.18428
4764000 7.42948 -3.00109
4765000 7.44491 -3.01221
4766000 7.45233 -3.03219
4767000 7.42865 -2.91512
4768000 7.44102 -3.15731
4769000 7.42402 -2.87261
4770000 7.41899 -2.97114
4771000 7.48008 -3.19198
4772000 7.44697 -2.96389
4773000 7.41571 -2.93371
4774000 7.46085 -2.97671
4775000 7.46456 -3.05133
4776000 7.44697 -2.98694
4777000 7.45187 -3.03775
4778000 7.4077 -2.92641
4779000 7.41824 -2.92156
4780000 7.41216 -2.81148
4781000 7.44114 -2.92009
4782000 7.44194 -2.91305
4783000 7.42038 -2.91217
4784000 7.42317 -2.99853
4785000 7.41046 -2.98249
4786000 7.37855 -2.77998
4787000 7.39657 -2.80367
4788000 7.40995 -2.79105
4789000 7.42886 -3.08384
4790000 7.41424 -2.9137
4791000 7.39627 -2.83602
4792000 7.41392 -2.97101
4793000 7.43102 -2.96457
4794000 7.43343 -3.00863
4795000 7.41051 -2.96958
4796000 7.41706 -2.86596
4797000 7.39243 -2.90851
4798000 7.41171 -2.96233
4799000 7.45242 -3.03215
4800000 7.42506 -2.95624
4801000 7.45293 -3.01171
4802000 7.45469 -3.08717
4803000 7.42465 -2.92372
4804000 7.43821 -2.97324
4805000 7.428 -2.946
4806000 7.42405 -2.92517
4807000 7.40123 -2.85262
4808000 7.40943 -2.92412
4809000 7.37469 -2.67974
4810000 7.37764 -2.83759
4811000 7.44066 -2.96862
4812000 7.42154 -2.84954
4813000 7.40405 -2.71717
4814000 7.39285 -2.82981
4815000 7.43908 -3.1031
4816000 7.43418 -2.87982
4817000 7.40137 -2.93171
4818000 7.40507 -2.86857
4819000 7.40953 -2.95852
4820000 7.43575 -2.97713
4821000 7.44677 -2.9957
4822000 7.44376 -2.89234
4823000 7.39378 -2.93985
4824000 7.41028 -2.83192
4825000 7.42707 -2.84472
4826000 7.39943 -2.83298
4827000 7.3927 -2.8829
4828000 7.42791 -2.88695
4829000 7.41491 -2.9504
4830000 7.4409 -2.98177
4831000 7.43105 -2.92835
4832000 7.43252 -2.96015
4833000 7.41727 -2.97142
4834000 7.43228 -2.91073
4835000 7.41947 -2.93431
4836000 7.43681 -2.9755
4837000 7.40564 -2.87032
4838000 7.40582 -2.76719
4839000 7.39601 -2.918
4840000 7.38467 -2.79349
4841000 7.40733 -2.91143
4842000 7.38119 -2.7328
4843000 7.41283 -2.92885
4844000 7.43703 -2.98421
4845000 7.40411 -2.97707
4846000 7.43773 -3.01581
4847000 7.43629 -2.93575
4848000 7.39499 -2.95966
4849000 7.45195 -3.02503
4850000 7.44352 -3.0415
4851000 7.42593 -2.95164
4852000 7.44898 -3.01782
4853000 7.44586 -3.02901
4854000 7.44847 -3.02328
4855000 7.44417 -2.9781
4856000 7.39198 -2.88363
4857000 7.39258 -2.7452
4858000 7.40717 -2.92812
4859000 7.39342 -2.8444
4860000 7.39906 -2.84654
4861000 7.41479 -2.96183
4862000 7.42825 -2.94645
4863000 7.44652 -3.01696
4864000 7.45979 -3.01298
4865000 7.44994 -3.01838
4866000 7.37681 -2.83008
4867000 7.39744 -2.90381
4868000 7.39464 -2.92656
4869000 7.42556 -2.9544
4870000 7.42244 -2.89776
4871000 7.42365 -3.02566
4872000 7.44999 -3.06441
4873000 7.44176 -3.04399
4874000 7.42718 -2.98654
4875000 7.40818 -2.80752
4876000 7.38902 -2.84183
4877000 7.40672 -2.84238
4878000 7.40598 -2.93128
4879000 7.43158 -2.91063
4880000 7.43832 -3.09731
4881000 7.37746 -2.8592
4882000 7.46673 -3.12721
4883000 7.449 -3.02577
4884000 7.42285 -2.97625
4885000 7.40901 -3.00651
4886000 7.44214 -2.97982
4887000 7.41356 -3.00152
4888000 7.39401 -2.82438
4889000 7.3907 -2.89015
4890000 7.40799 -2.89459
4891000 7.44155 -3.07389
4892000 7.43016 -3.01039
