# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
14750000 7.89235 2.72371
14751000 7.87275 -2.44284
14752000 7.89261 -2.2529
14753000 7.93665 -2.44369
14754000 7.81952 -2.30879
14755000 7.93047 -2.21654
14756000 7.8613 -2.10499
14757000 7.84253 -2.26886
14758000 7.8324 -2.3402
14759000 7.76087 -1.90021
14760000 7.73255 -1.9307
14761000 7.71544 -1.90329
14762000 7.8171 -1.89795
14763000 7.81926 -2.22168
14764000 7.79137 -2.03136
14765000 7.83983 -2.30279
14766000 7.72013 -2.07471
14767000 7.70848 -1.90033
14768000 7.83035 -2.47234
14769000 7.79122 -2.15804
14770000 7.78821 -2.24412
14771000 7.87173 -2.51557
14772000 7.81376 -2.24724
14773000 7.77627 -2.13287
14774000 7.78752 -2.05045
14775000 7.7977 -2.39535
14776000 7.78869 -2.01528
14777000 7.753 -2.05457
14778000 7.82515 -2.40259
14779000 7.74087 -2.39572
14780000 7.66765 -1.97091
14781000 7.77933 -2.30275
14782000 7.86011 -2.62191
14783000 7.82477 -2.16994
14784000 7.81282 -2.51872
14785000 7.74666 -2.11551
14786000 7.77747 -2.12464
14787000 7.70352 -1.89779
14788000 7.78934 -2.2186
14789000 7.81506 -2.2118
14790000 7.86824 -2.34451
14791000 7.8188 -2.06037
14792000 7.82083 -2.34196
14793000 7.86573 -2.18388
14794000 7.72518 -2.06496
14795000 7.76468 -2.34292
14796000 7.70518 -2.03153
14797000 7.83741 -2.25163
14798000 7.8044 -2.20035
14799000 7.81384 -2.23633
14800000 7.73756 -2.07596
14801000 7.82829 -2.17445
14802000 7.75821 -2.05466
14803000 7.69516 -2.06983
14804000 7.74196 -2.2158
14805000 7.78727 -2.23795
14806000 7.8342 -2.03465
14807000 7.74974 -2.14972
14808000 7.81585 -2.35575
14809000 7.85218 -2.26811
14810000 7.77771 -2.19682
14811000 7.87608 -2.34681
14812000 7.77042 -2.23557
14813000 7.89416 -2.36555
14814000 7.82138 -2.22932
14815000 7.84401 -2.45875
14816000 7.86696 -2.3433
14817000 7.84572 -2.38303
14818000 7.7281 -2.10477
14819000 7.82075 -2.40657
14820000 7.82001 -2.10174
14821000 7.85459 -2.54737
14822000 7.8127 -1.85109
14823000 7.82891 -2.42405
14824000 7.76431 -2.04303
14825000 7.82096 -2.28469
14826000 7.78429 -2.02436
14827000 7.7882 -2.19903
14828000 7.82352 -2.12994
14829000 7.72866 -2.04022
14830000 7.87408 -2.17537
14831000 7.7749 -2.31541
14832000 7.83932 -2.45968
14833000 7.83978 -2.17569
14834000 7.80506 -2.17708
14835000 7.76731 -2.25494
14836000 7.75747 -2.27553
14837000 7.76887 -2.2452
14838000 7.76898 -2.21744
14839000 7.7821 -2.3793
14840000 7.82491 -2.15078
14841000 7.76987 -2.13595
14842000 7.84316 -2.08582
14843000 7.73445 -2.17115
14844000 7.85306 -2.27594
14845000 7.80539 -2.29733
14846000 7.84478 -2.12522
14847000 7.83117 -2.14766
14848000 7.79939 -2.47497
14849000 7.80514 -2.21484
14850000 7.80955 -2.23772
14851000 7.75532 -2.26055
14852000 7.98438 -2.72706
14853000 7.8324 -2.14277
14854000 7.83123 -2.22804
14855000 7.92001 -2.20946
14856000 7.86639 -2.32673
14857000 7.73551 -2.11895
14858000 7.86701 -2.34819
14859000 7.73724 -2.13233
14860000 7.75588 -2.17589
14861000 7.67586 -2.07037
14862000 7.84537 -2.45963
14863000 7.78312 -2.23603
14864000 7.8359 -2.39596
14865000 7.87957 -2.3026
14866000 7.63557 -1.97613
14867000 7.79695 -2.24896
14868000 7.78766 -2.15014
14869000 7.79789 -2.05178
14870000 7.75081 -1.95817
14871000 7.77401 -2.15813
14872000 7.79848 -2.12378
14873000 7.74815 -2.30098
14874000 7.75194 -2.09896
14875000 7.71191 -2.05247
14876000 7.7274 -1.98301
14877000 7.8162 -2.29371
14878000 7.83607 -2.23218
14879000 7.94702 -2.29136
14880000 7.75408 -2.01242
14881000 7.79979 -2.28048
14882000 7.82825 -2.11857
14883000 7.82824 -2.2893
14884000 7.849 -2.35344
14885000 7.74754 -2.15842
14886000 7.89117 -2.55696
14887000 7.74293 -2.17687
14888000 7.87308 -2.20357
14889000 7.78997 -2.33752
14890000 7.8463 -2.3086
14891000 7.90684 -2.61353
14892000 7.84096 -2.34729
14893000 7.85476 -2.45579
14894000 7.83256 -2.19655
14895000 7.90406 -2.5248
14896000 7.87947 -2.47309
