# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
5750000 8.14177 2.6278
5751000 8.15405 -3.00992
5752000 8.16751 -2.93909
5753000 8.22112 -3.27241
5754000 8.14324 -3.14178
5755000 8.16495 -3.0495
5756000 8.22649 -3.00857
5757000 8.12803 -2.79365
5758000 8.25106 -3.14042
5759000 8.21486 -2.57058
5760000 8.2697 -2.82007
5761000 8.18847 -2.96171
5762000 8.12265 -2.80458
5763000 8.12736 -2.93428
5764000 8.16682 -3.09735
5765000 8.21325 -3.00176
5766000 8.18324 -2.91646
5767000 8.11634 -2.95936
5768000 8.11272 -3.10606
5769000 8.1001 -2.92409
5770000 8.09546 -2.92705
5771000 8.06542 -2.80675
5772000 8.06415 -2.66725
5773000 8.0303 -3.06466
5774000 8.11834 -2.87433
5775000 8.16698 -2.77332
5776000 8.15312 -2.79515
5777000 8.00767 -2.50729
5778000 8.1296 -3.0203
5779000 8.16197 -2.88039
5780000 8.13092 -2.76943
5781000 8.15467 -3.0076
5782000 8.08799 -2.70636
5783000 8.1405 -2.68285
5784000 8.04348 -2.95568
5785000 8.09689 -2.96825
5786000 8.08499 -2.87013
5787000 7.99011 -2.67548
5788000 8.22974 -3.06661
5789000 8.20699 -3.02756
5790000 8.09889 -2.91348
5791000 8.21454 -3.10782
5792000 8.17825 -3.15707
5793000 8.07506 -2.83501
5794000 8.10406 -2.72445
5795000 8.16047 -2.99228
5796000 8.19074 -2.86124
5797000 8.13731 -3.02313
5798000 8.15758 -3.12188
5799000 8.11971 -3.0208
5800000 8.08953 -2.89783
5801000 8.1225 -2.92987
5802000 8.09479 -2.88775
5803000 8.10319 -3.04223
5804000 8.16056 -2.91599
5805000 8.14259 -3.027
5806000 8.24785 -3.12477
5807000 8.10004 -2.68935
5808000 8.12498 -2.87622
5809000 8.10543 -2.95908
5810000 8.08207 -2.94944
5811000 8.0584 -2.83183
5812000 8.16291 -2.97522
5813000 8.05663 -2.68501
5814000 8.09303 -2.76368
5815000 8.11882 -3.09435
5816000 8.19249 -3.001
5817000 8.25014 -3.22089
5818000 8.10432 -2.7826
5819000 8.15439 -3.27553
5820000 8.13857 -2.98855
5821000 8.13307 -2.85776
5822000 8.09003 -2.73852
5823000 8.09803 -2.96185
5824000 8.08558 -3.01711
5825000 7.9878 -2.73387
5826000 8.12451 -2.99591
5827000 8.12836 -3.04976
5828000 8.00114 -2.68408
5829000 8.12937 -2.98784
5830000 8.05149 -2.68888
5831000 8.14597 -3.14271
5832000 8.16975 -3.09876
5833000 8.09303 -2.76231
5834000 8.17413 -3.0292
5835000 8.08774 -3.07661
5836000 8.03044 -2.87923
5837000 8.15096 -3.03197
5838000 8.0645 -2.7781
5839000 8.07807 -3.08272
5840000 7.99641 -2.75465
5841000 8.06873 -2.96111
5842000 8.11848 -2.7441
5843000 8.08445 -2.9542
5844000 8.18397 -2.80748
5845000 8.21688 -2.97715
5846000 8.21976 -2.79078
5847000 8.22467 -2.82192
5848000 8.14505 -2.95198
5849000 8.15588 -2.94418
5850000 8.09218 -2.91858
5851000 8.0071 -2.92721
5852000 8.05927 -2.88872
5853000 8.07213 -2.95442
5854000 8.04363 -2.71042
5855000 8.22992 -3.06428
5856000 8.27082 -3.06123
5857000 8.13454 -3.04434
5858000 8.03416 -2.82848
5859000 8.1177 -3.10825
5860000 8.14652 -3.01874
5861000 8.17444 -2.92939
5862000 8.11873 -3.0249
5863000 8.14183 -3.14691
5864000 8.17016 -2.94971
5865000 8.14166 -2.80605
5866000 8.01227 -2.62008
5867000 8.12474 -3.00937
5868000 8.06186 -2.86075
5869000 8.09161 -2.82172
5870000 8.14948 -2.90253
