# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
11000000 8.19138 2.12139
11001000 8.23647 -3.14253
11002000 8.23522 -3.1753
11003000 8.26403 -3.33861
11004000 8.2592 -3.34698
11005000 8.37354 -3.03225
11006000 8.29415 -3.01912
11007000 8.18498 -2.97024
11008000 8.28722 -2.98824
11009000 8.27463 -2.85233
11010000 8.24776 -2.95965
11011000 8.27781 -3.1443
11012000 8.30281 -3.01794
11013000 8.30446 -3.2511
11014000 8.24658 -3.1692
11015000 8.19028 -3.08215
11016000 8.13252 -2.99169
11017000 8.25211 -3.11246
11018000 8.26723 -3.19374
11019000 8.13816 -3.054
11020000 8.15588 -3.26337
11021000 8.17862 -3.12984
11022000 8.18488 -3.19526
11023000 8.12412 -3.16843
11024000 8.23248 -2.97575
11025000 8.17324 -3.09266
11026000 8.24499 -3.18618
11027000 8.31513 -3.21286
11028000 8.22348 -3.05434
11029000 8.18935 -3.21248
11030000 8.18432 -3.14289
11031000 8.29667 -3.29201
11032000 8.25136 -3.1358
11033000 8.261 -3.26421
11034000 8.33356 -3.28844
11035000 8.21248 -3.14494
11036000 8.23383 -3.15615
11037000 8.25928 -3.22376
11038000 8.2863 -3.30501
11039000 8.28314 -3.16982
11040000 8.26788 -3.012
11041000 8.22696 -3.09799
11042000 8.16886 -3.03162
11043000 8.28724 -3.28006
11044000 8.20614 -3.00116
11045000 8.31522 -3.12738
11046000 8.36681 -3.1767
11047000 8.28378 -3.18571
11048000 8.1892 -2.76135
11049000 8.31582 -3.11229
11050000 8.16405 -2.95148
11051000 8.25632 -3.15651
11052000 8.14445 -2.89066
11053000 8.2231 -2.95071
11054000 8.23719 -3.01818
11055000 8.30744 -3.27984
11056000 8.12142 -2.79399
11057000 8.21632 -3.10315
11058000 8.23775 -3.25112
11059000 8.25328 -3.27842
11060000 8.14763 -3.07741
11061000 8.15226 -3.0925
11062000 8.22913 -3.32937
11063000 8.24888 -3.13507
11064000 8.20594 -3.33954
11065000 8.14308 -3.32681
11066000 8.16503 -2.9888
11067000 8.00875 -2.82668
11068000 8.23166 -3.1132
11069000 8.16589 -3.09455
11070000 8.29293 -3.31599
11071000 8.25347 -3.20843
11072000 8.29422 -3.07326
11073000 8.20621 -3.20092
11074000 8.28915 -3.02312
11075000 8.24418 -2.9813
11076000 8.21968 -2.91317
11077000 8.14462 -3.17
11078000 8.2432 -3.10064
11079000 8.16109 -3.16274
11080000 8.13442 -2.96586
11081000 8.17432 -3.34348
11082000 8.18705 -3.24374
11083000 8.19659 -2.99214
11084000 8.27654 -3.33371
11085000 8.14479 -3.18043
11086000 8.222 -3.36148
11087000 8.2371 -3.48123
11088000 8.22571 -2.97235
11089000 8.18333 -3.26809
11090000 8.23793 -3.01894
11091000 8.21212 -3.0928
11092000 8.21266 -2.96928
11093000 8.2751 -3.03083
11094000 8.25013 -3.40424
11095000 8.20599 -3.07375
11096000 8.31055 -3.31459
11097000 8.21969 -3.07311
11098000 8.12566 -2.96849
11099000 8.23714 -3.29869
11100000 8.21617 -3.15503
11101000 8.27577 -3.04864
11102000 8.29658 -3.07857
11103000 8.31655 -3.07693
11104000 8.26197 -3.08852
11105000 8.35644 -3.22991
11106000 8.32041 -3.36383
11107000 8.24681 -3.15844
11108000 8.28837 -3.07992
11109000 8.22633 -3.2111
11110000 8.26497 -3.49467
11111000 8.25193 -3.1158
11112000 8.23147 -3.17972
11113000 8.2967 -3.04168
11114000 8.26064 -3.10003
11115000 8.24197 -2.88783
11116000 8.33678 -3.27432
11117000 8.17577 -3.09716
11118000 8.20331 -3.12433
11119000 8.23809 -3.23063
11120000 8.27272 -3.22186
11121000 8.2344 -3.18747
11122000 8.3265 -3.14511
11123000 8.21406 -3.28366
11124000 8.19388 -3.19525
11125000 8.14294 -3.07171
11126000 8.2666 -3.0579
11127000 8.24604 -3.12184
11128000 8.07889 -2.68751
11129000 8.21602 -3.21844
11130000 8.18167 -3.36017
11131000 8.16352 -3.24437
11132000 8.20526 -2.91378
11133000 8.14013 -3.16686
11134000 8.24469 -3.0462
11135000 8.2251 -3.25524
11136000 8.28528 -3.26074
11137000 8.24165 -3.25153
11138000 8.24479 -3.25274
11139000 8.25434 -3.32461
11140000 8.20789 -3.20368
11141000 8.20995 -3.47435
11142000 8.21138 -3.46676
11143000 8.18477 -3.18246
11144000 8.20554 -3.28871
11145000 8.22998 -3.09551
11146000 8.17884 -3.33347
11147000 8.12169 -2.95296
11148000 8.10333 -3.11873
11149000 8.23013 -3.01097
11150000 8.27743 -3.28315
11151000 8.16592 -3.16283
11152000 8.28807 -3.25878
11153000 8.1829 -3.20369
11154000 8.26088 -3.32274
11155000 8.25587 -3.27689
11156000 8.20328 -3.20296
11157000 8.23625 -3.15079
11158000 8.25054 -3.365
11159000 8.28364 -3.0395
11160000 8.27242 -2.91548
11161000 8.20787 -3.06466
11162000 8.35737 -2.98285
11163000 8.27912 -2.91056
11164000 8.30949 -3.00843
11165000 8.2626 -2.95513
11166000 8.44278 -3.14438
11167000 8.30898 -3.11177
11168000 8.21043 -2.91773
11169000 8.34349 -3.3317
11170000 8.33379 -3.20593
11171000 8.39717 -3.36211
11172000 8.25324 -3.31685
11173000 8.18526 -2.96324
11174000 8.22935 -3.28316
11175000 8.25395 -2.90062
11176000 8.25343 -3.27709
11177000 8.21805 -2.9629
11178000 8.22102 -2.96676
11179000 8.34031 -3.31386
11180000 8.3071 -3.25803
11181000 8.33941 -3.16336
11182000 8.29077 -3.09158
11183000 8.18689 -2.83075
11184000 8.2492 -3.29824
11185000 8.15087 -3.0148
11186000 8.24985 -3.10502
11187000 8.22458 -3.10331
11188000 8.12649 -2.82759
11189000 8.19024 -3.27711
11190000 8.22831 -3.23099
11191000 8.23328 -3.05772
11192000 8.21717 -2.97933
11193000 8.19403 -3.15064
11194000 8.23202 -3.18023
11195000 8.19758 -3.09975
11196000 8.2916 -3.37271
11197000 8.2589 -3.13842
11198000 8.37146 -3.28535
11199000 8.30741 -3.32445
11200000 8.17072 -2.98285
11201000 8.17069 -3.08532
11202000 8.29713 -3.22362
11203000 8.20127 -3.00126
11204000 8.28105 -2.93449
11205000 8.2852 -3.01968
11206000 8.32089 -3.20787
11207000 8.25434 -3.25299
11208000 8.25602 -3.27425
11209000 8.17659 -3.11435
11210000 8.23359 -2.91566
11211000 8.28441 -3.1218
11212000 8.34345 -3.31111
11213000 8.22327 -3.00715
11214000 8.22929 -3.16883
11215000 8.27476 -3.34667
11216000 8.1833 -3.18793
11217000 8.16409 -3.22298
11218000 8.21531 -3.1397
11219000 8.25914 -2.97747
11220000 8.27291 -3.38303
11221000 8.22063 -3.00772
11222000 8.19027 -3.25821
11223000 8.19518 -3.0485
11224000 8.24371 -3.13307
11225000 8.34181 -3.02915
11226000 8.26181 -3.16082
11227000 8.21035 -2.88148
11228000 8.24012 -3.17302
11229000 8.16411 -3.01384
11230000 8.28809 -3.13786
11231000 8.25018 -3.14906
11232000 8.26388 -3.12415
11233000 8.15217 -2.89408
11234000 8.35305 -3.04059
11235000 8.36128 -3.19636
11236000 8.40863 -3.34865
11237000 8.30416 -3.26171
11238000 8.30324 -3.1437
11239000 8.34391 -3.20652
11240000 8.29018 -3.12922
11241000 8.2061 -3.07536
11242000 8.25611 -3.06821
11243000 8.24274 -2.89311
11244000 8.29755 -3.1036
11245000 8.43379 -3.21035
11246000 8.29051 -3.37065
11247000 8.15505 -2.96248
11248000 8.29835 -3.40521
11249000 8.2773 -3.20685
11250000 8.24354 -3.06326
