# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
11500000 7.87951 3.186
11501000 7.88396 -2.39806
11502000 7.83813 -2.19939
11503000 7.87777 -2.29248
11504000 7.81551 -2.51838
11505000 7.83148 -2.3412
11506000 7.90793 -2.64976
11507000 7.77851 -2.07407
11508000 7.95702 -2.57589
11509000 7.88972 -2.24367
11510000 7.92898 -2.01945
11511000 7.82281 -2.20146
11512000 7.93355 -2.1987
11513000 7.92097 -2.27532
11514000 7.80444 -2.32281
11515000 7.8631 -2.42446
11516000 7.81847 -2.39091
11517000 7.87975 -2.23726
11518000 7.83534 -2.49819
11519000 7.8037 -2.3851
11520000 7.87672 -2.4141
11521000 7.9261 -2.61906
11522000 7.75352 -2.178
11523000 7.80868 -2.40597
11524000 7.86071 -2.36816
11525000 7.82168 -2.30007
11526000 7.91727 -2.26351
11527000 7.8498 -2.29311
11528000 7.82631 -2.11155
11529000 7.8577 -2.44368
11530000 7.85715 -2.1217
11531000 7.88725 -2.28277
11532000 7.9242 -2.36808
11533000 7.80539 -2.19976
11534000 7.83239 -2.44617
11535000 7.85765 -2.38175
11536000 7.9393 -2.78559
11537000 7.842 -2.21741
11538000 7.80109 -2.24217
11539000 7.88291 -2.53136
11540000 7.84956 -2.40205
11541000 7.79112 -2.06984
11542000 7.89201 -2.4869
11543000 7.82639 -2.20232
11544000 7.93835 -2.42361
11545000 7.88357 -2.37
11546000 7.80901 -2.08249
11547000 7.91435 -2.44485
11548000 7.80277 -2.11869
11549000 7.90317 -2.30791
11550000 7.85011 -2.33179
11551000 7.83425 -2.17702
11552000 7.91248 -2.53837
11553000 7.80006 -2.29613
11554000 7.89185 -2.21331
11555000 7.87076 -2.31015
11556000 7.98869 -2.59538
11557000 7.89548 -2.43593
11558000 7.8552 -2.52342
11559000 7.87581 -2.40124
11560000 7.85699 -2.43132
11561000 7.88844 -2.37401
11562000 7.84807 -2.21641
11563000 7.85632 -2.38259
11564000 7.91311 -2.35353
11565000 7.74783 -2.24338
11566000 7.89017 -2.28631
11567000 7.93929 -2.51119
11568000 7.77137 -2.22252
11569000 7.86214 -2.53722
11570000 7.88464 -2.40123
11571000 7.7993 -2.40361
11572000 7.89694 -2.2094
11573000 7.75821 -2.20124
11574000 7.82901 -2.4387
11575000 7.7818 -2.23439
11576000 7.78634 -2.2278
11577000 7.78591 -2.46086
11578000 7.85695 -2.2349
11579000 7.87282 -2.42254
11580000 7.90502 -2.24202
11581000 7.87053 -2.24589
11582000 7.82054 -2.28419
11583000 7.83991 -2.24747
11584000 7.88191 -2.3467
11585000 7.78464 -2.08469
11586000 7.86754 -2.22929
11587000 7.82075 -2.46921
11588000 7.80665 -2.05816
11589000 7.80165 -2.28287
11590000 7.81026 -2.29722
11591000 7.76441 -2.20536
11592000 7.89579 -2.50759
11593000 7.87514 -2.35739
11594000 7.90882 -2.40561
11595000 7.91267 -2.54535
11596000 7.87862 -2.2525
11597000 7.79556 -1.99183
11598000 7.90305 -2.57941
11599000 7.86658 -2.36192
11600000 7.90693 -2.46893
11601000 7.74964 -2.08262
11602000 7.94446 -2.4563
11603000 7.88479 -2.56544
11604000 7.81146 -2.39674
11605000 7.82427 -2.4439
11606000 7.89094 -2.39003
11607000 7.76557 -2.24701
11608000 7.93793 -2.58365
11609000 7.88178 -2.38257
11610000 7.87619 -2.3081
11611000 7.85107 -2.36914
11612000 7.74241 -1.96786
11613000 7.78423 -2.05371
11614000 7.85634 -2.34537
11615000 7.92098 -2.39683
11616000 7.83361 -2.33476
11617000 7.79234 -2.25937
11618000 7.82945 -2.22555
11619000 7.92034 -2.34368
11620000 7.79742 -2.20515
11621000 7.78523 -2.22845
11622000 7.87916 -2.45474
11623000 7.86242 -2.50645
11624000 7.77849 -2.09455
11625000 7.92364 -2.4045
11626000 7.87486 -2.03033
11627000 7.82215 -2.14326
11628000 7.77737 -2.23015
11629000 7.90637 -2.44608
11630000 7.79856 -2.43567
11631000 7.79084 -2.32521
11632000 7.90901 -2.35268
11633000 7.88732 -2.60646
11634000 7.83956 -2.48351
11635000 7.8306 -2.63346
11636000 7.86112 -2.41311
11637000 7.83684 -2.28953
