# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
34750000 7.69364 2.04062
34751000 7.67754 -4.25245
34752000 7.67894 -4.18862
34753000 7.7048 -4.32387
34754000 7.67102 -4.21873
34755000 7.72124 -4.30653
34756000 7.68598 -4.14427
34757000 7.70605 -4.21936
34758000 7.69707 -4.15884
34759000 7.68698 -4.14581
34760000 7.67162 -4.17896
34761000 7.66283 -4.11047
34762000 7.723 -4.28268
34763000 7.70519 -4.17715
34764000 7.69496 -4.229
34765000 7.67484 -4.13587
34766000 7.66094 -4.05788
34767000 7.69445 -4.223
34768000 7.70797 -4.25193
34769000 7.70773 -4.2847
34770000 7.70025 -4.23236
34771000 7.68877 -4.24036
34772000 7.71864 -4.31236
34773000 7.71763 -4.29366
34774000 7.71419 -4.27145
34775000 7.69559 -4.17214
34776000 7.70373 -4.31764
34777000 7.66513 -3.99625
34778000 7.67796 -4.19174
34779000 7.69237 -4.1506
34780000 7.72962 -4.30293
34781000 7.64533 -4.02117
34782000 7.66213 -4.10019
34783000 7.71898 -4.28706
34784000 7.68171 -4.20057
34785000 7.6886 -4.24291
34786000 7.68473 -4.2245
34787000 7.70036 -4.24274
34788000 7.68147 -4.19827
34789000 7.69794 -4.28168
34790000 7.65102 -4.08067
34791000 7.72195 -4.37172
34792000 7.68518 -4.2187
34793000 7.66544 -4.06309
34794000 7.71831 -4.35758
34795000 7.68023 -4.18699
34796000 7.70917 -4.22945
34797000 7.68959 -4.23124
34798000 7.72195 -4.29208
34799000 7.69689 -4.26067
34800000 7.68796 -4.16234
34801000 7.7024 -4.20965
34802000 7.71903 -4.39916
34803000 7.69579 -4.31521
34804000 7.68747 -4.20089
34805000 7.69969 -4.20833
34806000 7.70338 -4.21574
34807000 7.71474 -4.30791
34808000 7.70222 -4.31847
34809000 7.72782 -4.37323
34810000 7.70318 -4.26664
34811000 7.67199 -4.1242
34812000 7.69355 -4.20838
34813000 7.63627 -4.05406
34814000 7.68081 -4.14146
34815000 7.70227 -4.17214
34816000 7.70557 -4.23399
34817000 7.69106 -4.1903
34818000 7.7203 -4.27356
34819000 7.67026 -4.16982
34820000 7.68347 -4.20792
34821000 7.6622 -4.12272
34822000 7.67609 -4.14674
34823000 7.64956 -4.06862
34824000 7.67842 -4.23863
34825000 7.6586 -4.09644
34826000 7.67438 -4.20779
34827000 7.68733 -4.24396
34828000 7.70469 -4.24367
34829000 7.687 -4.23596
34830000 7.70926 -4.2462
34831000 7.67419 -4.11405
34832000 7.68411 -4.24976
34833000 7.69047 -4.30364
34834000 7.7098 -4.30011
34835000 7.71733 -4.32393
34836000 7.67195 -4.17101
34837000 7.69113 -4.21729
34838000 7.71899 -4.28472
34839000 7.67034 -4.19651
34840000 7.67098 -4.16351
34841000 7.67036 -4.17398
34842000 7.70779 -4.28472
34843000 7.6947 -4.26734
34844000 7.68845 -4.22991
34845000 7.69518 -4.27866
34846000 7.69401 -4.22894
34847000 7.67665 -4.21328
34848000 7.68361 -4.15708
34849000 7.7145 -4.24829
34850000 7.68884 -4.15747
34851000 7.68995 -4.24091
34852000 7.68885 -4.12915
34853000 7.67948 -4.14509
34854000 7.70337 -4.25958
34855000 7.67902 -4.15137
34856000 7.66117 -4.08488
34857000 7.67956 -4.17812
34858000 7.69425 -4.16695
34859000 7.68708 -4.1376
34860000 7.68874 -4.20353
34861000 7.71016 -4.28769
34862000 7.70336 -4.21295
34863000 7.67573 -4.20291
34864000 7.68876 -4.22679
34865000 7.67689 -4.15483
34866000 7.69028 -4.19279
34867000 7.68234 -4.17618
34868000 7.68798 -4.2145
34869000 7.69489 -4.23158
34870000 7.69689 -4.23201
34871000 7.69627 -4.23349
34872000 7.7227 -4.30583
34873000 7.68295 -4.19962
34874000 7.68736 -4.20105
34875000 7.66391 -4.06305
34876000 7.67345 -4.13072
34877000 7.66349 -4.14525
34878000 7.69112 -4.22743
34879000 7.67667 -4.20881
34880000 7.69065 -4.25371
34881000 7.67692 -4.1754
34882000 7.69239 -4.14788
34883000 7.67324 -4.14515
34884000 7.70308 -4.28512
34885000 7.70679 -4.35497
34886000 7.71822 -4.3449
34887000 7.67941 -4.15186
34888000 7.69998 -4.28973
34889000 7.68764 -4.2666
34890000 7.6793 -4.20581
34891000 7.74321 -4.39765
34892000 7.68331 -4.25572
34893000 7.70203 -4.26208
34894000 7.70504 -4.263
34895000 7.67879 -4.17187
34896000 7.70794 -4.29596
34897000 7.6946 -4.28406
34898000 7.70659 -4.26096
34899000 7.66115 -4.02693
34900000 7.6607 -4.14767
34901000 7.69455 -4.15315
34902000 7.69106 -4.22104
34903000 7.68423 -4.18155
34904000 7.67827 -4.18573
34905000 7.68917 -4.21852
34906000 7.71599 -4.33081
34907000 7.70188 -4.24291
34908000 7.69632 -4.1853
34909000 7.6917 -4.19458
34910000 7.68316 -4.18702
34911000 7.66924 -4.118
34912000 7.69767 -4.12404
34913000 7.69473 -4.23295
34914000 7.67342 -4.26128
34915000 7.67456 -4.19083
34916000 7.68001 -4.15434
34917000 7.7017 -4.28884
34918000 7.72949 -4.30776
34919000 7.67783 -4.17071
34920000 7.71798 -4.3374
34921000 7.68327 -4.22021
34922000 7.6627 -4.15155
34923000 7.7005 -4.34098
34924000 7.71435 -4.30061
34925000 7.70519 -4.32765
34926000 7.68817 -4.20699
34927000 7.66387 -4.12086
34928000 7.69305 -4.18299
34929000 7.6838 -4.19901
34930000 7.7117 -4.28575
34931000 7.70762 -4.30087
34932000 7.69109 -4.16815
34933000 7.69346 -4.26564
34934000 7.67644 -4.21336
34935000 7.69208 -4.19942
34936000 7.68669 -4.0982
34937000 7.69098 -4.28493
34938000 7.70181 -4.22661
34939000 7.67314 -4.10346
34940000 7.6706 -4.14205
34941000 7.64416 -4.08815
34942000 7.68999 -4.21183
34943000 7.70325 -4.25042
34944000 7.71428 -4.3108
34945000 7.68238 -4.15797
34946000 7.73115 -4.35988
34947000 7.68907 -4.20254
34948000 7.67839 -4.20585
34949000 7.68061 -4.14361
34950000 7.71229 -4.32082
34951000 7.68775 -4.25686
34952000 7.67189 -4.19526
34953000 7.68789 -4.30601
34954000 7.69891 -4.26677
34955000 7.6943 -4.30577
34956000 7.67406 -4.18312
34957000 7.67792 -4.17194
34958000 7.69448 -4.2721
34959000 7.6664 -4.15051
34960000 7.68725 -4.20298
34961000 7.6673 -4.10984
34962000 7.72653 -4.349
34963000 7.70295 -4.35713
34964000 7.66786 -4.10178
34965000 7.67678 -4.24694
34966000 7.69404 -4.25027
34967000 7.68631 -4.25865
34968000 7.69858 -4.25302
34969000 7.71551 -4.31974
34970000 7.6796 -4.17708
34971000 7.65204 -4.06434
34972000 7.65165 -4.11806
34973000 7.67971 -4.17117
34974000 7.70485 -4.34145
34975000 7.67061 -4.16305
34976000 7.6875 -4.25133
34977000 7.69889 -4.18936
34978000 7.68041 -4.22531
34979000 7.68976 -4.17289
34980000 7.68448 -4.22236
34981000 7.69778 -4.24749
34982000 7.70686 -4.28737
34983000 7.69075 -4.21889
34984000 7.71539 -4.37039
34985000 7.68364 -4.21644
34986000 7.69482 -4.28868
34987000 7.68823 -4.23897
34988000 7.68071 -4.12106
34989000 7.70753 -4.25942
34990000 7.66501 -4.10983
