# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
15500000 8.33862 2.28214
15501000 8.33536 -3.76972
15502000 8.28642 -3.78813
15503000 8.33151 -3.92028
15504000 8.23918 -3.66509
15505000 8.35071 -3.96948
15506000 8.29342 -3.64911
15507000 8.26124 -3.70206
15508000 8.25382 -3.45832
15509000 8.35441 -3.68637
15510000 8.23495 -3.66527
15511000 8.32459 -3.93434
15512000 8.33268 -3.60595
15513000 8.32345 -3.65582
15514000 8.30389 -3.67693
15515000 8.4026 -3.88826
15516000 8.33633 -3.78833
15517000 8.30876 -3.79175
15518000 8.34376 -3.89174
15519000 8.3725 -3.95737
15520000 8.27971 -3.75103
15521000 8.27449 -3.74951
15522000 8.31526 -3.75105
15523000 8.32491 -3.78087
15524000 8.25796 -3.60786
15525000 8.30159 -3.68892
15526000 8.26489 -3.64588
15527000 8.34175 -3.94858
15528000 8.23114 -3.66647
15529000 8.20721 -3.52151
15530000 8.26989 -3.63983
15531000 8.24341 -3.70297
15532000 8.30042 -3.74763
15533000 8.29241 -3.71406
15534000 8.23236 -3.76443
15535000 8.29697 -3.75544
15536000 8.28173 -3.77857
15537000 8.25947 -3.72782
15538000 8.27165 -3.62779
15539000 8.26719 -3.81593
15540000 8.27588 -3.73862
15541000 8.36557 -3.93616
15542000 8.24853 -3.65469
15543000 8.24935 -3.70411
15544000 8.24452 -3.70872
15545000 8.29821 -3.76956
15546000 8.3444 -3.8295
15547000 8.33444 -3.86649
15548000 8.23877 -3.74766
15549000 8.34139 -3.82707
15550000 8.29432 -3.80268
15551000 8.32519 -3.82557
15552000 8.28872 -3.79642
15553000 8.30755 -3.83274
15554000 8.27193 -3.61563
15555000 8.30131 -3.8472
15556000 8.21774 -3.42038
15557000 8.25145 -3.63765
15558000 8.23528 -3.52746
15559000 8.3131 -3.96886
15560000 8.22322 -3.48917
15561000 8.28845 -3.62757
15562000 8.27622 -3.51451
15563000 8.25859 -3.59494
15564000 8.29051 -3.79789
15565000 8.28773 -3.64928
15566000 8.2929 -3.66959
15567000 8.28518 -3.83433
15568000 8.23691 -3.63268
15569000 8.2521 -3.6568
15570000 8.26232 -3.84704
15571000 8.26939 -3.82777
15572000 8.2703 -3.69057
15573000 8.30732 -3.94228
15574000 8.19437 -3.48882
15575000 8.25714 -3.6891
15576000 8.30854 -3.82711
15577000 8.27264 -3.79933
15578000 8.33668 -3.76186
15579000 8.25988 -3.80065
15580000 8.24615 -3.50656
15581000 8.33319 -3.87672
15582000 8.26182 -3.89063
15583000 8.21334 -3.57231
15584000 8.30962 -4.04308
15585000 8.25658 -3.64184
15586000 8.2337 -3.65255
15587000 8.2841 -3.63673
15588000 8.26176 -3.7693
15589000 8.1541 -3.44056
15590000 8.35831 -3.87465
15591000 8.26941 -3.5893
15592000 8.25791 -3.67759
15593000 8.26315 -3.66245
15594000 8.28501 -3.85148
15595000 8.28758 -3.79673
15596000 8.27109 -3.6186
15597000 8.28091 -3.62259
15598000 8.36291 -3.91649
15599000 8.29975 -3.71854
15600000 8.25412 -3.62425
15601000 8.34532 -3.8565
15602000 8.3873 -3.88765
15603000 8.22371 -3.61364
15604000 8.2614 -3.56875
15605000 8.26057 -3.5796
15606000 8.22427 -3.58523
15607000 8.28319 -3.75948
15608000 8.29899 -3.73022
15609000 8.332 -3.88493
15610000 8.31511 -3.77468
15611000 8.21094 -3.60698
15612000 8.28406 -3.86097
15613000 8.30418 -3.87713
15614000 8.34634 -3.85407
15615000 8.30768 -3.82651
15616000 8.31122 -3.80276
15617000 8.29607 -3.80986
15618000 8.28147 -3.76593
15619000 8.31909 -3.83049
15620000 8.26965 -3.65419
15621000 8.26769 -3.72177
15622000 8.34914 -3.80617
15623000 8.29073 -3.87053
15624000 8.28043 -3.65058
15625000 8.41484 -4.00619
15626000 8.27115 -3.83905
15627000 8.32294 -3.86654
15628000 8.3174 -3.69482
15629000 8.34682 -3.89374
15630000 8.37521 -3.78801
15631000 8.19902 -3.69529
15632000 8.28803 -3.53727
15633000 8.34404 -3.90563
15634000 8.19291 -3.60434
15635000 8.3067 -3.90256
15636000 8.30895 -3.85967
15637000 8.22618 -3.56046
15638000 8.38331 -3.88695
15639000 8.26449 -3.81524
15640000 8.26493 -3.65316
15641000 8.2733 -3.76054
15642000 8.33379 -3.78993
15643000 8.30607 -3.9063
15644000 8.22329 -3.68243
15645000 8.25426 -3.70563
15646000 8.28114 -3.88997
15647000 8.25028 -3.7492
15648000 8.33309 -3.79998
15649000 8.26307 -3.58807
15650000 8.30083 -3.86902
15651000 8.30266 -3.67379
15652000 8.23452 -3.76195
15653000 8.31206 -3.87829
15654000 8.33432 -3.77409
15655000 8.24472 -3.72302
15656000 8.34341 -3.85796
15657000 8.32032 -3.75122
15658000 8.28221 -3.75948
15659000 8.31924 -3.7528
15660000 8.26564 -3.81686
15661000 8.31455 -3.71956
15662000 8.3107 -3.69115
15663000 8.31094 -3.87311
15664000 8.3334 -3.89367
15665000 8.33073 -3.74376
15666000 8.27347 -3.7226
15667000 8.2951 -3.84401
15668000 8.29154 -3.8788
15669000 8.30048 -3.68322
15670000 8.35135 -3.80255
15671000 8.27986 -3.70289
15672000 8.2905 -3.72435
15673000 8.30319 -3.77951
15674000 8.29809 -3.72229
15675000 8.29491 -3.81465
15676000 8.29348 -3.79579
15677000 8.28372 -3.71881
15678000 8.22168 -3.5225
15679000 8.29207 -3.55371
15680000 8.30045 -3.79685
15681000 8.2284 -3.47033
15682000 8.31357 -3.56234
15683000 8.31524 -3.89769
15684000 8.34513 -3.89386
15685000 8.20726 -3.55808
15686000 8.26416 -3.64417
15687000 8.37324 -3.91109
15688000 8.24219 -3.58919
15689000 8.22994 -3.63384
15690000 8.30008 -3.64082
15691000 8.30602 -3.85054
15692000 8.3117 -3.74405
15693000 8.24882 -3.64336
15694000 8.25257 -3.57193
15695000 8.32103 -3.92892
15696000 8.30336 -3.79496
15697000 8.26728 -3.82804
15698000 8.2943 -3.77861
15699000 8.25221 -3.67238
15700000 8.24784 -3.75336
15701000 8.3479 -3.73961
15702000 8.29127 -3.7024
15703000 8.36352 -3.86226
15704000 8.32231 -3.85884
15705000 8.30436 -3.79486
15706000 8.27928 -3.80054
15707000 8.25127 -3.79233
15708000 8.28702 -3.73936
15709000 8.29975 -3.73874
15710000 8.28491 -3.61101
15711000 8.28642 -3.60103
15712000 8.31461 -3.83441
15713000 8.22329 -3.42038
15714000 8.25452 -3.87287
15715000 8.24929 -3.61567
15716000 8.3259 -3.7866
15717000 8.22061 -3.68663
15718000 8.29264 -3.76077
15719000 8.27546 -3.61393
15720000 8.20975 -3.56454
15721000 8.28286 -3.63706
15722000 8.32126 -3.95674
15723000 8.31072 -3.83
15724000 8.2964 -3.68781
15725000 8.28303 -3.74944
15726000 8.31815 -3.88049
15727000 8.33107 -3.77085
15728000 8.34598 -3.73626
15729000 8.2677 -3.71225
15730000 8.25741 -3.63366
15731000 8.26527 -3.79234
15732000 8.28957 -3.80192
15733000 8.29138 -3.75281
15734000 8.30097 -3.86669
15735000 8.26264 -3.71452
15736000 8.30839 -3.70947
15737000 8.26972 -3.7178
15738000 8.27673 -3.72676
15739000 8.36108 -3.89824
15740000 8.30484 -3.71599
15741000 8.3303 -3.78759
15742000 8.27112 -3.68763
15743000 8.255 -3.66006
15744000 8.29091 -3.65637
15745000 8.29315 -3.64757
15746000 8.28112 -3.69693
15747000 8.27619 -3.79425
15748000 8.25923 -3.72835
15749000 8.29598 -3.77901
15750000 8.30859 -3.64752
