# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1000000 7.89005 2.2623
1001000 7.96556 -3.42647
1002000 7.90611 -3.32758
1003000 7.93849 -3.4076
1004000 7.88772 -3.36845
1005000 7.86593 -3.25109
1006000 7.94072 -3.37172
1007000 7.85862 -3.26604
1008000 7.95718 -3.35019
1009000 7.94091 -3.33471
1010000 7.85545 -3.1073
1011000 7.88884 -3.23185
1012000 7.92288 -3.40855
1013000 7.94927 -3.34801
1014000 7.8996 -3.34906
1015000 7.86889 -3.17542
1016000 7.97238 -3.4084
1017000 7.92611 -3.40738
1018000 7.92844 -3.35462
1019000 7.88726 -3.30512
1020000 7.87129 -3.25255
1021000 7.95163 -3.69482
1022000 7.88566 -3.26945
1023000 7.96133 -3.6373
1024000 7.92605 -3.32581
1025000 7.90084 -3.27273
1026000 7.89806 -3.20574
1027000 7.93301 -3.37232
1028000 7.97244 -3.52427
1029000 7.85016 -3.11426
1030000 7.91883 -3.34684
1031000 8.00292 -3.55939
1032000 7.90212 -3.36202
1033000 7.88714 -3.05901
1034000 7.86185 -3.22727
1035000 7.90005 -3.40298
1036000 7.86898 -3.22942
1037000 7.94249 -3.37998
1038000 7.89423 -3.3241
1039000 7.91944 -3.44236
1040000 7.93958 -3.47177
1041000 7.92719 -3.50999
1042000 7.89232 -3.30282
1043000 7.92551 -3.3953
1044000 7.97395 -3.47617
1045000 7.83457 -3.06508
1046000 7.90496 -3.32167
1047000 7.94648 -3.35064
1048000 7.89994 -3.39738
1049000 7.87529 -3.08055
1050000 7.92079 -3.39685
1051000 7.9395 -3.24665
1052000 7.90212 -3.24967
1053000 7.90416 -3.35271
1054000 7.95482 -3.35886
1055000 7.88145 -3.21981
1056000 7.96739 -3.28904
1057000 7.85738 -3.24626
1058000 7.95653 -3.47056
1059000 7.8918 -3.38099
1060000 7.87439 -3.2886
1061000 7.97366 -3.50499
1062000 7.9103 -3.09499
1063000 7.93699 -3.39793
1064000 7.92549 -3.30172
1065000 7.87193 -3.17322
1066000 7.88277 -3.2906
1067000 7.93934 -3.33937
1068000 7.91839 -3.41299
1069000 7.94233 -3.49644
1070000 7.8429 -3.06821
1071000 7.9277 -3.3726
1072000 7.98788 -3.37659
1073000 7.86535 -3.40656
1074000 7.92547 -3.39314
1075000 7.86532 -3.30391
1076000 7.97063 -3.50101
1077000 7.92054 -3.53973
1078000 7.94726 -3.25867
1079000 7.88395 -3.31075
1080000 7.91605 -3.11597
1081000 7.91003 -3.20858
1082000 7.92888 -3.50923
1083000 7.94689 -3.34523
1084000 7.95519 -3.44886
1085000 7.8551 -3.13257
1086000 7.89458 -3.27882
1087000 7.89517 -3.33127
1088000 7.86466 -3.32407
1089000 7.92776 -3.37385
1090000 7.89542 -3.37636
1091000 7.89364 -3.35557
1092000 7.89722 -3.30317
1093000 7.87649 -3.31638
1094000 7.83885 -3.1463
1095000 7.90603 -3.47905
1096000 7.97575 -3.56263
1097000 7.87915 -3.2485
1098000 7.9608 -3.55011
1099000 7.89755 -3.31858
1100000 7.8292 -2.99773
1101000 7.88809 -3.3666
1102000 7.91753 -3.29628
1103000 7.92885 -3.30429
1104000 7.89199 -3.30903
1105000 7.96038 -3.44683
1106000 7.92974 -3.54111
1107000 7.93779 -3.39972
1108000 7.87491 -3.23401
1109000 7.96671 -3.54091
1110000 7.91741 -3.21038
1111000 7.92152 -3.20963
1112000 7.93238 -3.43798
1113000 7.86207 -3.25581
1114000 7.91273 -3.26549
1115000 7.95302 -3.4209
1116000 7.96025 -3.57584
1117000 7.93423 -3.51755
1118000 7.84976 -3.18069
1119000 7.89068 -3.34937
1120000 7.94342 -3.4333
1121000 7.88101 -3.17799
1122000 7.97251 -3.38416
1123000 7.86145 -3.22348
1124000 7.89801 -3.2173
1125000 7.95386 -3.36142
1126000 7.95936 -3.60647
1127000 7.88748 -3.25477
1128000 7.9618 -3.51049
1129000 7.90873 -3.37558
1130000 7.89015 -3.53676
1131000 7.90508 -3.37386
1132000 7.94102 -3.39
1133000 7.91264 -3.26636
1134000 7.80743 -2.95722
1135000 7.91489 -3.34636
1136000 7.9102 -3.35178
1137000 7.89524 -3.29989
1138000 7.93982 -3.47922
1139000 7.84629 -3.23797
1140000 7.90632 -3.37509
1141000 7.97196 -3.54952
1142000 7.89423 -3.29071
1143000 7.89434 -3.37917
1144000 7.85861 -3.28804
1145000 7.92605 -3.25873
1146000 7.8503 -3.16035
1147000 7.93711 -3.45106
1148000 7.90319 -3.25483
1149000 7.90825 -3.28671
1150000 7.9761 -3.64171
1151000 7.94405 -3.34733
1152000 7.91146 -3.39343
1153000 7.91039 -3.39709
1154000 7.89287 -3.28942
1155000 7.86949 -3.31562
1156000 7.9002 -3.3577
1157000 7.84727 -3.19586
1158000 7.93326 -3.46017
1159000 7.8688 -3.29341
1160000 7.90613 -3.23393
1161000 7.90988 -3.39141
1162000 7.96469 -3.47062
1163000 7.78021 -2.85854
1164000 7.90411 -3.3111
1165000 7.88023 -3.2705
1166000 7.91443 -3.32586
1167000 7.89363 -3.36471
1168000 7.87557 -3.16592
1169000 7.98332 -3.46374
1170000 7.90025 -3.28198
1171000 7.93126 -3.34513
1172000 7.87278 -3.30131
1173000 7.93702 -3.35656
1174000 7.96652 -3.67953
1175000 7.89504 -3.337
1176000 7.84197 -3.17221
1177000 7.90764 -3.42733
1178000 7.95497 -3.36857
1179000 7.94071 -3.48405
1180000 7.91871 -3.40361
1181000 7.86174 -3.22525
1182000 7.88454 -3.18864
1183000 7.90714 -3.43877
1184000 7.8881 -3.24161
1185000 7.87142 -3.21544
1186000 7.92053 -3.55947
1187000 7.91453 -3.34106
1188000 7.91746 -3.29846
1189000 7.90063 -3.31771
1190000 7.91194 -3.21003
1191000 7.93731 -3.41726
1192000 7.87361 -3.21299
1193000 7.87443 -3.28817
1194000 7.91641 -3.34821
1195000 7.90226 -3.31084
1196000 7.98481 -3.66936
1197000 7.92509 -3.49212
1198000 7.91009 -3.30261
1199000 7.88864 -3.30494
1200000 7.90438 -3.30302
1201000 7.95885 -3.52807
1202000 7.90748 -3.39162
1203000 7.91499 -3.46365
1204000 7.87818 -3.50251
1205000 7.94113 -3.62376
1206000 7.89036 -3.32041
1207000 7.85561 -3.09073
1208000 7.92367 -3.37154
1209000 7.89903 -3.4557
1210000 7.89625 -3.27806
1211000 7.85348 -3.18473
1212000 8.02125 -3.6963
1213000 7.8887 -3.37747
1214000 7.90139 -3.43385
1215000 7.92508 -3.49135
1216000 7.92383 -3.45301
1217000 7.84752 -3.20782
1218000 7.97031 -3.40833
1219000 7.87966 -3.22488
1220000 7.92211 -3.44882
1221000 7.79785 -3.05334
1222000 7.91935 -3.55588
1223000 7.91672 -3.34829
1224000 7.94496 -3.34256
1225000 7.83586 -3.29662
1226000 8.02548 -3.6898
1227000 7.9199 -3.24748
1228000 7.87503 -3.05895
1229000 7.92561 -3.27081
1230000 7.98936 -3.48888
1231000 7.86879 -3.21093
1232000 7.95284 -3.43935
1233000 7.91699 -3.37204
1234000 7.90031 -3.38027
1235000 7.87112 -3.26077
1236000 7.93711 -3.53168
1237000 7.94564 -3.46167
1238000 7.92561 -3.24983
1239000 7.90025 -3.3611
1240000 7.91589 -3.37779
1241000 7.93344 -3.56673
1242000 7.9896 -3.66141
1243000 7.88721 -3.32097
1244000 7.91071 -3.19558
1245000 7.96641 -3.44222
1246000 7.86903 -3.25341
1247000 7.89544 -3.24176
1248000 7.94354 -3.3964
1249000 7.86442 -3.17444
1250000 7.91301 -3.32951
