# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1500000 8.37631 2.60516
1501000 8.48603 -3.68101
1502000 8.39925 -3.51903
1503000 8.41562 -3.41316
1504000 8.41126 -3.56716
1505000 8.40051 -3.32989
1506000 8.32346 -3.17815
1507000 8.34339 -3.25707
1508000 8.31125 -3.20449
1509000 8.38152 -3.18256
1510000 8.3624 -3.1728
1511000 8.32909 -3.25312
1512000 8.46498 -3.45134
1513000 8.4238 -3.33492
1514000 8.40666 -3.462
1515000 8.41674 -3.36699
1516000 8.37171 -3.25593
1517000 8.35362 -3.30666
1518000 8.34727 -3.10381
1519000 8.3489 -3.21931
1520000 8.39573 -3.31937
1521000 8.35245 -3.18446
1522000 8.46767 -3.50663
1523000 8.37221 -3.42637
1524000 8.35449 -3.23753
1525000 8.35386 -3.10436
1526000 8.41145 -3.26343
1527000 8.40113 -3.22764
1528000 8.36205 -3.20176
1529000 8.35746 -3.30309
1530000 8.39216 -3.26768
1531000 8.46678 -3.3263
1532000 8.38529 -3.14454
1533000 8.33293 -3.3163
1534000 8.39619 -3.26863
1535000 8.34926 -3.37562
1536000 8.26302 -3.06795
1537000 8.33791 -3.21829
1538000 8.39378 -3.297
1539000 8.37122 -3.30267
1540000 8.35637 -3.3295
1541000 8.42686 -3.52907
1542000 8.38311 -3.27767
1543000 8.34608 -3.10495
1544000 8.31752 -3.36381
1545000 8.38453 -3.4327
1546000 8.42362 -3.43817
1547000 8.37709 -3.20071
1548000 8.37427 -3.20073
1549000 8.38243 -3.15066
1550000 8.3755 -3.30961
1551000 8.38404 -3.25891
1552000 8.3997 -3.44336
1553000 8.27225 -3.1186
1554000 8.36968 -3.1146
1555000 8.39567 -3.27886
1556000 8.41995 -3.24782
1557000 8.43087 -3.34298
1558000 8.34535 -3.32987
1559000 8.37352 -3.25436
1560000 8.39759 -3.39237
1561000 8.39895 -3.33199
1562000 8.39822 -2.95134
1563000 8.38748 -3.27982
1564000 8.31488 -3.1492
1565000 8.33031 -3.2068
1566000 8.47116 -3.43926
1567000 8.35749 -3.39364
1568000 8.31192 -3.24414
1569000 8.37162 -3.3356
1570000 8.43909 -3.40918
1571000 8.27546 -3.07619
1572000 8.48093 -3.3802
1573000 8.32247 -3.15309
1574000 8.38929 -3.30331
1575000 8.489 -3.56401
1576000 8.41707 -3.41904
1577000 8.31889 -3.26698
1578000 8.4226 -3.24013
1579000 8.39716 -3.40766
1580000 8.40866 -3.28558
1581000 8.48906 -3.45408
1582000 8.31381 -3.15137
1583000 8.48134 -3.47527
1584000 8.35842 -3.2642
1585000 8.42021 -3.37838
1586000 8.40314 -3.5812
1587000 8.37589 -3.2336
1588000 8.37707 -3.34586
1589000 8.31901 -3.27122
1590000 8.37043 -3.43401
1591000 8.3109 -3.13288
1592000 8.40328 -3.18813
