# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
3500000 8.09479 2.04383e+220
3501000 8.01174 -3.92379
3502000 8.16145 -4.26551
3503000 8.01398 -3.8129
3504000 8.04955 -4.13934
3505000 8.11009 -4.15999
3506000 8.02854 -3.93974
3507000 8.08105 -4.06941
3508000 8.07365 -4.08017
3509000 8.07268 -4.05807
3510000 8.05789 -4.02813
3511000 8.01225 -3.94583
3512000 8.13201 -4.13218
3513000 8.07131 -3.9829
3514000 8.01796 -3.96069
3515000 8.07405 -4.11851
3516000 8.07957 -4.10806
3517000 8.0589 -4.02232
3518000 8.07115 -4.16185
3519000 8.0415 -3.86273
3520000 8.0342 -3.99205
3521000 8.05072 -4.08957
3522000 8.05169 -4.098
3523000 8.02559 -4.06875
3524000 8.03679 -3.78647
3525000 8.07789 -4.06467
3526000 8.04577 -4.02739
3527000 8.15231 -4.23313
3528000 8.02389 -4.01316
3529000 8.06618 -4.13162
3530000 8.06765 -4.04048
3531000 8.12567 -4.20273
3532000 8.10509 -4.08874
3533000 8.13396 -4.36722
3534000 8.02696 -4.0688
3535000 8.01838 -3.95338
3536000 8.07862 -4.18682
3537000 7.99433 -3.90775
3538000 8.10124 -4.14177
3539000 8.03577 -4.04515
3540000 8.07388 -4.09267
3541000 8.09591 -4.07174
3542000 8.03915 -4.00036
3543000 8.04675 -3.94639
3544000 8.02353 -3.98713
3545000 8.03402 -4.04951
3546000 8.05633 -4.19132
3547000 8.07001 -4.03277
3548000 7.98582 -3.87355
3549000 7.99776 -3.85515
3550000 8.05937 -4.13751
3551000 8.17925 -4.23908
3552000 8.02716 -3.9837
3553000 8.04409 -4.05578
3554000 8.10535 -4.07147
3555000 8.0946 -3.92974
3556000 8.07952 -3.92671
3557000 8.01237 -3.96427
3558000 8.02985 -3.88682
3559000 8.06461 -4.03939
3560000 8.02972 -3.92287
3561000 8.03332 -3.93759
3562000 8.07731 -3.99419
3563000 8.08826 -4.01024
3564000 8.0774 -4.10074
3565000 8.09299 -4.08879
3566000 7.98828 -3.64068
3567000 8.04282 -4.0118
3568000 8.04498 -3.91334
3569000 8.0236 -4.00604
3570000 8.12523 -4.15693
3571000 7.97383 -3.85242
3572000 8.10698 -4.07931
3573000 8.03259 -4.07701
3574000 8.05036 -4.12493
3575000 8.03599 -3.91374
3576000 8.13509 -4.20476
3577000 8.02285 -4.04165
3578000 8.05133 -3.90151
3579000 8.04549 -4.02046
3580000 8.10253 -4.13257
3581000 8.07295 -4.10989
3582000 8.05135 -4.08447
3583000 8.0777 -4.03572
3584000 8.06773 -4.01759
3585000 8.03491 -3.95099
3586000 7.97723 -3.85818
3587000 8.03178 -3.87099
3588000 8.06732 -3.99533
3589000 7.97585 -3.82506
3590000 8.04401 -4.01068
3591000 8.02433 -3.89148
3592000 7.98725 -3.8318
3593000 8.07281 -4.10902
3594000 8.05547 -3.98946
3595000 8.0594 -4.07195
3596000 8.06634 -4.01292
3597000 8.04953 -4.10046
3598000 8.01335 -3.92283
3599000 7.99489 -3.9072
3600000 8.02445 -3.87754
3601000 8.06115 -4.07474
3602000 8.0653 -4.04217
3603000 8.01962 -3.93662
3604000 8.03915 -3.88171
3605000 8.02507 -3.88042
3606000 8.05467 -4.07569
3607000 8.05685 -3.95457
3608000 8.04948 -3.81048
3609000 8.05887 -4.05901
3610000 8.05032 -3.98337
3611000 8.02681 -3.92165
3612000 8.0727 -4.11895
3613000 7.99373 -3.96406
3614000 8.05521 -3.90366
3615000 8.03737 -4.01702
3616000 8.00388 -3.89942
3617000 8.03953 -4.13012
3618000 8.02782 -4.00824
3619000 8.07989 -4.13826
3620000 8.07674 -4.08449
3621000 8.07979 -4.1196
3622000 8.06797 -4.03385
3623000 8.08666 -4.05113
3624000 8.08524 -4.1876
3625000 8.08243 -4.0144
3626000 8.05723 -3.99834
3627000 8.06836 -4.09486
3628000 8.02285 -3.98175
3629000 8.0794 -4.05808
3630000 8.02979 -4.02892
3631000 8.04897 -4.05938
3632000 8.09435 -3.99535
3633000 8.14407 -4.19836
3634000 8.06848 -4.04378
3635000 7.98995 -3.91367
3636000 8.03932 -3.97737
3637000 8.06166 -3.983
3638000 8.06154 -4.05232
3639000 8.00988 -4.02199
3640000 8.05892 -3.97499
3641000 8.03534 -4.09472
3642000 8.09114 -4.14454
3643000 8.0104 -3.98735
3644000 8.05807 -4.04923
3645000 8.07545 -4.05973
3646000 8.05609 -4.06251
3647000 8.05528 -4.15237
3648000 8.02431 -3.94642
3649000 8.07488 -4.02313
3650000 8.06091 -4.08954
