# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
11750000 8.35466 2.06468
11751000 8.39841 -3.28898
11752000 8.39248 -3.22388
11753000 8.24961 -3.11604
11754000 8.2607 -3.15182
11755000 8.33388 -3.07845
11756000 8.29876 -2.99435
11757000 8.31743 -3.07206
11758000 8.18906 -2.95972
11759000 8.26505 -3.05113
11760000 8.38819 -3.10666
11761000 8.27361 -3.06294
11762000 8.33445 -3.07863
11763000 8.25124 -3.05369
11764000 8.30493 -3.10344
11765000 8.339 -3.21533
11766000 8.40222 -3.12932
11767000 8.28687 -2.97107
11768000 8.41469 -3.15582
11769000 8.2779 -3.11405
11770000 8.39384 -3.29249
11771000 8.38625 -3.23197
11772000 8.24025 -3.10641
11773000 8.32837 -3.10469
11774000 8.38781 -3.00594
11775000 8.39609 -3.17875
11776000 8.32045 -2.86988
11777000 8.32812 -3.04645
11778000 8.34111 -3.18443
11779000 8.33822 -3.21184
11780000 8.35252 -3.16764
11781000 8.3584 -3.21055
11782000 8.41062 -3.16326
11783000 8.33403 -3.14692
11784000 8.26164 -3.09047
11785000 8.36658 -3.19175
11786000 8.28183 -3.12103
11787000 8.23093 -3.11734
11788000 8.11214 -3.04976
11789000 8.14654 -2.97449
11790000 8.37669 -3.27744
11791000 8.39283 -3.27139
11792000 8.25202 -3.04655
11793000 8.29325 -3.02245
11794000 8.14709 -2.83708
11795000 8.35625 -3.55093
11796000 8.30587 -3.24298
11797000 8.44661 -3.4848
11798000 8.36464 -3.30621
11799000 8.32761 -3.13606
11800000 8.25296 -3.06613
11801000 8.2331 -2.8575
11802000 8.27805 -2.94148
11803000 8.33236 -3.19423
11804000 8.41793 -3.15724
11805000 8.36195 -3.16822
11806000 8.30458 -3.14367
11807000 8.43455 -3.2238
11808000 8.19788 -2.95059
11809000 8.33873 -3.08869
11810000 8.30214 -3.11826
11811000 8.37852 -3.34377
11812000 8.28449 -2.95892
11813000 8.28669 -2.96376
11814000 8.33149 -3.0721
11815000 8.36369 -3.24056
11816000 8.40459 -3.1119
11817000 8.2784 -3.23909
11818000 8.23401 -3.24026
11819000 8.25519 -3.3567
11820000 8.35583 -3.38881
11821000 8.2904 -3.11841
11822000 8.29553 -2.94421
11823000 8.42349 -3.26795
11824000 8.31637 -3.11171
11825000 8.36215 -3.07753
11826000 8.38351 -3.24814
11827000 8.35853 -3.04884
11828000 8.36459 -3.02444
11829000 8.37584 -3.2961
11830000 8.27044 -3.01968
11831000 8.30496 -3.09232
11832000 8.32208 -3.16704
11833000 8.28664 -3.22015
11834000 8.31508 -2.92549
11835000 8.31637 -2.99532
11836000 8.3474 -3.16395
11837000 8.41566 -3.49357
11838000 8.37124 -3.17679
11839000 8.30155 -3.23238
11840000 8.2385 -3.3151
11841000 8.32017 -3.46748
11842000 8.24196 -2.94471
11843000 8.28655 -3.21225
11844000 8.21963 -3.03576
11845000 8.152 -2.93202
11846000 8.28098 -3.23844
11847000 8.20843 -2.92885
11848000 8.28059 -3.26825
11849000 8.24876 -3.37183
11850000 8.34072 -3.14897
11851000 8.22735 -3.07325
11852000 8.36122 -3.17748
11853000 8.31998 -3.32171
11854000 8.24821 -3.14427
11855000 8.35886 -3.34052
11856000 8.34908 -3.36593
11857000 8.26287 -3.15635
11858000 8.3559 -3.05886
11859000 8.32235 -3.27154
11860000 8.30472 -3.1433
11861000 8.23754 -3.24906
11862000 8.39564 -3.37603
11863000 8.24767 -3.02797
11864000 8.22568 -2.94573
11865000 8.30292 -3.37577
11866000 8.22784 -3.07495
11867000 8.22997 -3.39045
11868000 8.27603 -3.29602
11869000 8.28192 -3.17936
11870000 8.24913 -3.08655
11871000 8.37063 -3.43929
11872000 8.33663 -3.21875
11873000 8.32914 -3.36343
11874000 8.26498 -2.96405
11875000 8.34743 -3.20785
11876000 8.17562 -3.09821
11877000 8.27063 -3.1723
11878000 8.25947 -2.9769
11879000 8.40463 -3.33343
11880000 8.22711 -3.10069
11881000 8.28084 -3.34404
11882000 8.26238 -3.14965
11883000 8.27423 -3.05379
11884000 8.39595 -3.17749
11885000 8.28464 -3.22777
11886000 8.27993 -3.24297
11887000 8.3447 -3.32268
