# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
1750000 8.01237 1.81921
1751000 8.02014 -3.90734
1752000 8.03005 -3.88119
1753000 8.05437 -3.84657
1754000 7.98896 -3.79211
1755000 8.0552 -3.91828
1756000 7.98635 -3.74298
1757000 8.04402 -3.84065
1758000 7.99739 -3.77813
1759000 8.02636 -3.81365
1760000 7.96881 -3.6741
1761000 7.96278 -3.72057
1762000 8.03902 -3.79227
1763000 8.04368 -3.86801
1764000 8.02188 -3.84267
1765000 7.99493 -3.68867
1766000 8.01624 -3.80831
1767000 8.00854 -3.70216
1768000 8.07165 -4.06168
1769000 7.99274 -3.62985
1770000 8.02679 -3.96294
1771000 8.06325 -4.08348
1772000 8.02253 -3.7187
1773000 8.02874 -3.83867
1774000 8.01051 -3.69696
1775000 7.98102 -3.71137
1776000 8.00796 -3.68112
1777000 8.04352 -3.74198
1778000 7.99281 -3.88455
1779000 8.04346 -3.89854
1780000 7.97988 -3.59462
1781000 8.06803 -3.87255
1782000 8.00072 -3.72094
1783000 8.03615 -3.85726
1784000 8.02223 -3.91112
1785000 8.0221 -3.848
1786000 7.92194 -3.58219
1787000 7.96012 -3.53663
1788000 8.01726 -3.82082
1789000 8.0673 -4.04025
1790000 7.99835 -3.66813
1791000 8.04637 -3.84094
1792000 7.92379 -3.53483
1793000 8.1161 -4.10479
1794000 7.9498 -3.72684
1795000 8.0352 -4.0391
1796000 8.00056 -3.8947
1797000 8.08883 -4.0119
1798000 7.99296 -3.90842
1799000 7.99289 -3.73132
1800000 8.02911 -3.92133
1801000 8.05935 -3.73183
1802000 7.98544 -3.84408
1803000 7.97795 -3.79064
1804000 7.96115 -3.71161
1805000 7.99485 -3.75824
1806000 8.01184 -3.77862
1807000 8.01286 -3.81403
1808000 8.01295 -3.85075
1809000 8.03902 -3.88797
1810000 7.95867 -3.67749
1811000 8.06395 -4.01745
1812000 8.01469 -3.74762
1813000 8.08045 -3.87848
1814000 7.9884 -3.62161
1815000 8.07819 -4.06214
1816000 8.02241 -3.7307
1817000 8.03541 -3.94854
1818000 7.98593 -3.64964
1819000 8.00327 -3.83958
1820000 8.03033 -3.7956
1821000 8.02244 -3.77358
1822000 8.05828 -3.87157
1823000 8.01437 -3.85243
1824000 8.02043 -3.83175
1825000 7.99757 -3.75795
1826000 8.03401 -3.93141
1827000 8.04073 -4.00216
1828000 7.96779 -3.56124
1829000 8.07546 -3.89433
1830000 7.99907 -3.68904
1831000 8.04442 -3.80865
1832000 7.99733 -3.76172
1833000 7.96791 -3.38178
1834000 8.06885 -3.92136
1835000 7.91868 -3.45972
1836000 8.08151 -4.00945
1837000 8.049 -4.04701
1838000 8.06123 -3.98694
1839000 7.98451 -3.81614
1840000 7.96432 -3.66765
1841000 8.04164 -3.90362
1842000 8.00853 -3.80593
1843000 8.0604 -3.87652
1844000 7.99455 -3.73056
1845000 7.98185 -3.82213
1846000 8.00802 -3.77382
1847000 7.99678 -3.80455
1848000 8.04947 -3.92265
1849000 8.00052 -3.82545
1850000 8.0369 -3.88281
1851000 8.05715 -3.95474
1852000 8.04613 -3.92496
1853000 8.10464 -4.02854
1854000 7.94054 -3.596
1855000 8.04119 -3.83188
1856000 8.07316 -3.97897
1857000 7.99872 -3.7612
1858000 8.07056 -3.94173
1859000 7.91744 -3.61411
1860000 8.0865 -4.06618
1861000 8.0026 -3.6753
1862000 8.02906 -3.90896
1863000 7.98713 -3.86644
1864000 8.06147 -3.8971
1865000 8.01502 -3.82235
1866000 8.00251 -3.82823
1867000 7.99995 -3.91232
1868000 7.98485 -3.63271
1869000 8.10739 -4.14494
1870000 7.95174 -3.59998
1871000 7.99031 -3.64651
1872000 8.0498 -3.80082
1873000 7.9996 -3.8445
1874000 8.01366 -3.75635
1875000 8.07865 -3.82896
1876000 8.05353 -3.92047
1877000 8.01657 -3.78777
1878000 8.05076 -3.92636
1879000 8.03747 -3.91078
1880000 8.03732 -4.06078
1881000 7.99823 -3.85763
1882000 8.0567 -3.81459
1883000 8.06124 -3.85599
1884000 7.98032 -3.85675
1885000 7.97299 -3.63468
1886000 8.02824 -3.78613
1887000 7.98592 -3.70268
1888000 8.01383 -3.75165
1889000 7.97709 -3.71489
1890000 8.00547 -3.69195
1891000 8.05225 -3.99556
1892000 8.05937 -3.95798
1893000 8.05299 -3.97847
1894000 7.99772 -3.71769
1895000 8.05051 -3.98512
1896000 7.97684 -3.73121
1897000 8.00145 -3.94039
1898000 8.01032 -3.80504
1899000 8.01313 -3.77299
1900000 7.98857 -3.95548
1901000 8.00062 -3.73331
1902000 7.99347 -3.68838
1903000 8.06414 -3.9494
1904000 7.92761 -3.57628
1905000 8.01353 -3.68372
1906000 8.05792 -3.97963
1907000 7.99902 -3.84672
1908000 7.978 -3.80048
1909000 8.02408 -3.87278
1910000 8.06049 -3.85395
1911000 7.99442 -3.7947
1912000 8.06233 -4.04331
1913000 8.00573 -3.69774
1914000 7.98906 -3.73401
1915000 7.97891 -3.67431
1916000 8.03728 -3.76967
1917000 7.94612 -3.72752
1918000 8.0758 -3.94977
1919000 8.021 -3.74876
1920000 8.02321 -3.82846
1921000 8.01613 -3.80429
1922000 7.99987 -3.74833
1923000 8.02288 -3.91499
1924000 8.00932 -3.8057
1925000 8.02269 -3.99759
1926000 7.99351 -3.91833
1927000 8.02069 -3.83921
1928000 8.00673 -3.64968
1929000 8.04903 -3.83418
1930000 7.96075 -3.53444
1931000 8.07043 -3.99734
1932000 8.04168 -3.83666
1933000 8.06609 -4.02506
1934000 8.03207 -3.83178
1935000 7.97224 -3.55895
1936000 8.03489 -3.94503
1937000 8.03137 -3.99356
1938000 7.99869 -3.75064
1939000 8.00582 -3.90481
1940000 8.02606 -3.70699
1941000 8.04577 -3.9542
1942000 8.03737 -3.85647
1943000 7.95372 -3.68078
1944000 8.02186 -3.72818
1945000 8.00309 -3.80264
1946000 8.00049 -3.74305
1947000 7.99806 -3.86522
1948000 8.10234 -4.08525
1949000 8.00097 -3.65337
1950000 8.00329 -3.85562
1951000 8.04996 -3.9518
1952000 7.97319 -3.75425
1953000 8.00384 -3.99482
1954000 7.98125 -3.78938
1955000 8.08678 -4.09563
1956000 7.99964 -3.88038
1957000 8.02647 -3.76869
1958000 7.9779 -3.76828
1959000 8.10076 -4.00412
1960000 8.06076 -3.9486
1961000 8.02719 -3.81524
1962000 7.96859 -3.68423
1963000 8.05975 -3.76807
1964000 7.97481 -3.68799
1965000 7.95327 -3.69045
1966000 7.98067 -3.64512
1967000 7.96869 -3.87482
1968000 8.05894 -3.94729
1969000 8.02873 -3.80704
1970000 7.92951 -3.61263
1971000 8.06786 -3.93132
1972000 8.01361 -3.87145
1973000 7.99003 -3.80192
1974000 8.01545 -3.81924
1975000 7.92467 -3.5838
1976000 8.04897 -4.02744
1977000 8.02649 -3.69013
1978000 8.05779 -3.78299
1979000 8.06264 -3.8131
1980000 8.02432 -3.73088
1981000 8.02864 -3.75527
1982000 8.05128 -3.92451
1983000 7.99915 -3.66049
1984000 8.00169 -3.76336
1985000 8.01174 -3.86835
1986000 8.01778 -3.91149
1987000 8.06377 -3.99702
1988000 8.02546 -3.95598
1989000 8.02439 -3.94227
1990000 8.00291 -3.71584
1991000 8.03297 -3.88574
1992000 8.01223 -3.90847
1993000 8.04332 -3.86909
1994000 8.04769 -3.89472
1995000 7.95034 -3.58331
1996000 8.03941 -3.88919
1997000 8.00595 -3.91602
1998000 7.99168 -3.59839
1999000 8.01663 -3.94095
2000000 7.98433 -3.67664
