# Time-averaged data for fix AVG
# TimeStep v_Vol v_H
11750000 8.62463 1.74686
11751000 8.68959 -3.67945
11752000 8.67547 -3.64207
11753000 8.68803 -3.56176
11754000 8.69947 -3.6645
11755000 8.65821 -3.59495
11756000 8.71617 -3.48073
11757000 8.75086 -3.53221
11758000 8.67436 -3.45989
11759000 8.7322 -3.35469
11760000 8.67424 -3.60137
11761000 8.70891 -3.58627
11762000 8.63468 -3.49757
11763000 8.66483 -3.524
11764000 8.63328 -3.51266
11765000 8.70191 -3.8374
11766000 8.64122 -3.51593
11767000 8.65826 -3.77245
11768000 8.6594 -3.53542
11769000 8.68822 -3.47598
11770000 8.75149 -3.74632
11771000 8.65121 -3.56489
11772000 8.67213 -3.56923
11773000 8.57651 -3.50649
11774000 8.68363 -3.55127
11775000 8.73219 -3.54042
11776000 8.67352 -3.61004
11777000 8.71434 -3.53828
11778000 8.70935 -3.58469
11779000 8.68156 -3.59513
11780000 8.77259 -3.4565
11781000 8.84675 -3.70098
11782000 8.80396 -3.72227
11783000 8.86149 -3.65672
11784000 8.64791 -3.58716
11785000 8.7184 -3.44946
11786000 8.78056 -3.79663
11787000 8.6031 -3.49094
11788000 8.74992 -3.78533
11789000 8.58393 -3.47568
11790000 8.61783 -3.61653
11791000 8.66758 -3.85633
11792000 8.62436 -3.59348
11793000 8.67203 -3.70222
11794000 8.55954 -3.37862
11795000 8.65163 -3.50219
11796000 8.72366 -3.62412
11797000 8.68459 -3.62067
11798000 8.72144 -3.63215
11799000 8.69973 -3.89157
11800000 8.70753 -3.84397
11801000 8.72131 -3.57786
11802000 8.60406 -3.61646
11803000 8.71999 -3.44743
11804000 8.65973 -3.5339
11805000 8.84353 -3.81723
11806000 8.72486 -3.5281
11807000 8.66821 -3.49789
11808000 8.67542 -3.49519
11809000 8.69009 -3.46657
11810000 8.73756 -3.6301
11811000 8.65047 -3.45351
11812000 8.74606 -3.63229
11813000 8.72456 -3.4021
11814000 8.52826 -3.28709
11815000 8.64212 -3.40333
11816000 8.52413 -3.4181
11817000 8.63482 -3.56598
11818000 8.60788 -3.50353
11819000 8.72595 -3.76129
11820000 8.72185 -3.71757
11821000 8.69983 -3.54354
11822000 8.83769 -3.55583
11823000 8.71431 -3.41692
11824000 8.63582 -3.46073
11825000 8.7536 -3.66941
